# _root_ The subsidiary also increased reserves by $ 140 million , however , and set aside an additional $ 25 million for claims connected with Hurricane Hugo .
#goldHeads=2,13,13,13,4,4,6,7,7,13,13,13,0,13,14,17,14,17,18,18,14,21,22,23,26,24,13,
#predictedHeads=2,4,4,13,4,4,6,7,7,4,4,13,0,13,14,17,14,17,18,18,17,21,22,23,26,24,13,
(0,2),-2.07941 # DEPENDENCYPART_ARC
(0,4),-1.92015 # DEPENDENCYPART_ARC
(0,5),-2.76239 # DEPENDENCYPART_ARC
(0,13),-1.42434 # DEPENDENCYPART_ARC
(0,14),-2.25644 # DEPENDENCYPART_ARC
(0,18),-2.69453 # DEPENDENCYPART_ARC
(1,2),-0.452226 # DEPENDENCYPART_ARC
(2,1),1.16107 # DEPENDENCYPART_ARC
(2,3),-0.180787 # DEPENDENCYPART_ARC
(2,4),-0.816918 # DEPENDENCYPART_ARC
(2,5),-1.33123 # DEPENDENCYPART_ARC
(2,6),-1.15883 # DEPENDENCYPART_ARC
(2,7),-1.54612 # DEPENDENCYPART_ARC
(2,8),-1.60511 # DEPENDENCYPART_ARC
(2,9),-1.64621 # DEPENDENCYPART_ARC
(2,10),-1.48582 # DEPENDENCYPART_ARC
(2,11),-1.84136 # DEPENDENCYPART_ARC
(2,12),-1.7495 # DEPENDENCYPART_ARC
(2,13),-1.36613 # DEPENDENCYPART_ARC
(2,14),-2.15482 # DEPENDENCYPART_ARC
(2,15),-1.53835 # DEPENDENCYPART_ARC
(2,16),-1.45515 # DEPENDENCYPART_ARC
(2,27),-2.07215 # DEPENDENCYPART_ARC
(3,2),-0.215831 # DEPENDENCYPART_ARC
(3,4),-0.247831 # DEPENDENCYPART_ARC
(3,5),-0.946705 # DEPENDENCYPART_ARC
(3,6),-1.17269 # DEPENDENCYPART_ARC
(3,8),-1.52171 # DEPENDENCYPART_ARC
(3,9),-1.4508 # DEPENDENCYPART_ARC
(4,1),-0.598717 # DEPENDENCYPART_ARC
(4,2),-0.117516 # DEPENDENCYPART_ARC
(4,3),1.01846 # DEPENDENCYPART_ARC
(4,5),1.03575 # DEPENDENCYPART_ARC
(4,6),-0.0855388 # DEPENDENCYPART_ARC
(4,7),-0.793349 # DEPENDENCYPART_ARC
(4,8),-1.02914 # DEPENDENCYPART_ARC
(4,9),-1.12671 # DEPENDENCYPART_ARC
(4,10),-0.528619 # DEPENDENCYPART_ARC
(4,11),-1.1497 # DEPENDENCYPART_ARC
(4,12),-1.03747 # DEPENDENCYPART_ARC
(4,13),-0.714396 # DEPENDENCYPART_ARC
(4,14),-1.50653 # DEPENDENCYPART_ARC
(4,15),-1.79522 # DEPENDENCYPART_ARC
(4,17),-1.52008 # DEPENDENCYPART_ARC
(4,21),-1.44923 # DEPENDENCYPART_ARC
(4,23),-1.5504 # DEPENDENCYPART_ARC
(4,24),-1.59208 # DEPENDENCYPART_ARC
