# _root_ But , IRS private ruling 8940061 notes , no rule or court case bears directly on the issue of adding land to a principal residence .
#goldHeads=14,7,5,5,7,5,14,7,11,11,14,13,11,0,14,14,18,16,18,19,20,20,25,25,22,14,
#predictedHeads=14,14,5,5,7,7,11,11,10,11,14,11,11,0,14,14,18,16,18,19,20,21,25,25,22,14,
(0,1),-2.08333 # DEPENDENCYPART_ARC
(0,3),-3.22432 # DEPENDENCYPART_ARC
(0,7),-3.49319 # DEPENDENCYPART_ARC
(0,11),-2.90913 # DEPENDENCYPART_ARC
(0,13),-3.46331 # DEPENDENCYPART_ARC
(0,14),-1.26711 # DEPENDENCYPART_ARC
(0,15),-3.19421 # DEPENDENCYPART_ARC
(1,2),-0.559561 # DEPENDENCYPART_ARC
(1,3),-1.73368 # DEPENDENCYPART_ARC
(1,4),-2.23994 # DEPENDENCYPART_ARC
(1,5),-2.69148 # DEPENDENCYPART_ARC
(1,6),-2.7159 # DEPENDENCYPART_ARC
(1,7),-3.21691 # DEPENDENCYPART_ARC
(1,8),-2.60248 # DEPENDENCYPART_ARC
(1,11),-1.89716 # DEPENDENCYPART_ARC
(1,14),-2.2086 # DEPENDENCYPART_ARC
(1,26),-1.54852 # DEPENDENCYPART_ARC
(3,1),-1.48415 # DEPENDENCYPART_ARC
(3,2),-0.585057 # DEPENDENCYPART_ARC
(3,4),-0.181582 # DEPENDENCYPART_ARC
(3,5),-1.16534 # DEPENDENCYPART_ARC
(3,6),-1.37581 # DEPENDENCYPART_ARC
(3,7),-1.69933 # DEPENDENCYPART_ARC
(3,8),-1.46287 # DEPENDENCYPART_ARC
(3,10),-2.13483 # DEPENDENCYPART_ARC
(3,13),-2.18688 # DEPENDENCYPART_ARC
(3,14),-2.00654 # DEPENDENCYPART_ARC
(3,16),-1.98756 # DEPENDENCYPART_ARC
(4,1),-1.66961 # DEPENDENCYPART_ARC
(4,2),-1.23678 # DEPENDENCYPART_ARC
(4,3),-0.157709 # DEPENDENCYPART_ARC
(4,5),-0.212475 # DEPENDENCYPART_ARC
(4,6),-1.09563 # DEPENDENCYPART_ARC
