# _root_ Cineplex traded on the New York Stock Exchange at $ 11.25 a share , up $ 1.125 , before trading was halted .
#goldHeads=2,0,2,8,8,8,8,3,2,11,9,13,11,11,11,17,15,2,21,21,2,21,2,
#predictedHeads=2,0,2,8,8,8,8,3,2,11,9,13,11,2,2,17,15,2,21,21,2,21,2,
(0,1),-1.83569 # DEPENDENCYPART_ARC
(0,2),-1.49947 # DEPENDENCYPART_ARC
(0,21),-2.84644 # DEPENDENCYPART_ARC
(0,22),-3.07304 # DEPENDENCYPART_ARC
(1,2),0.0996025 # DEPENDENCYPART_ARC
(1,3),-0.905133 # DEPENDENCYPART_ARC
(1,6),-1.48231 # DEPENDENCYPART_ARC
(1,8),-1.65337 # DEPENDENCYPART_ARC
(1,9),-1.5027 # DEPENDENCYPART_ARC
(1,10),-1.63313 # DEPENDENCYPART_ARC
(1,14),-1.7086 # DEPENDENCYPART_ARC
(1,18),-1.8557 # DEPENDENCYPART_ARC
(1,23),-2.35102 # DEPENDENCYPART_ARC
(2,1),0.745823 # DEPENDENCYPART_ARC
(2,3),1.17285 # DEPENDENCYPART_ARC
(2,4),-0.778552 # DEPENDENCYPART_ARC
(2,5),-0.763882 # DEPENDENCYPART_ARC
(2,6),-0.812773 # DEPENDENCYPART_ARC
(2,7),-0.960728 # DEPENDENCYPART_ARC
(2,8),-0.966522 # DEPENDENCYPART_ARC
(2,9),-0.652402 # DEPENDENCYPART_ARC
(2,10),-1.11216 # DEPENDENCYPART_ARC
(2,14),-0.962115 # DEPENDENCYPART_ARC
(2,15),-1.67909 # DEPENDENCYPART_ARC
(2,18),-1.21537 # DEPENDENCYPART_ARC
(2,19),-1.19921 # DEPENDENCYPART_ARC
(2,21),-0.910545 # DEPENDENCYPART_ARC
(2,22),-1.32279 # DEPENDENCYPART_ARC
(2,23),-0.620887 # DEPENDENCYPART_ARC
(3,4),0.114148 # DEPENDENCYPART_ARC
(3,5),-0.0829111 # DEPENDENCYPART_ARC
(3,6),-0.790785 # DEPENDENCYPART_ARC
(3,7),-1.10541 # DEPENDENCYPART_ARC
(3,8),-1.15699 # DEPENDENCYPART_ARC
(3,9),-1.26575 # DEPENDENCYPART_ARC
(3,10),-1.53488 # DEPENDENCYPART_ARC
(3,15),-1.57044 # DEPENDENCYPART_ARC
(3,23),-0.974401 # DEPENDENCYPART_ARC
(5,4),-0.826924 # DEPENDENCYPART_ARC
(5,6),-0.632223 # DEPENDENCYPART_ARC
(5,7),-1.57464 # DEPENDENCYPART_ARC
(5,9),-1.48834 # DEPENDENCYPART_ARC
(5,11),-2.04463 # DEPENDENCYPART_ARC
(6,4),-1.36754 # DEPENDENCYPART_ARC
(6,5),-0.237982 # DEPENDENCYPART_ARC
(6,7),-0.799229 # DEPENDENCYPART_ARC
(6,8),-1.72418 # DEPENDENCYPART_ARC
(6,9),-1.75985 # DEPENDENCYPART_ARC
(6,11),-2.30234 # DEPENDENCYPART_ARC
(7,4),-1.78687 # DEPENDENCYPART_ARC
(7,5),-0.825235 # DEPENDENCYPART_ARC
(7,6),0.093013 # DEPENDENCYPART_ARC
(7,8),-0.570174 # DEPENDENCYPART_ARC
(7,9),-1.38158 # DEPENDENCYPART_ARC
(7,10),-1.65713 # DEPENDENCYPART_ARC
(7,11),-1.95499 # DEPENDENCYPART_ARC
(7,13),-2.01976 # DEPENDENCYPART_ARC
(7,16),-2.34075 # DEPENDENCYPART_ARC
(8,1),-2.02385 # DEPENDENCYPART_ARC
(8,4),-0.345985 # DEPENDENCYPART_ARC
(8,5),-0.00425495 # DEPENDENCYPART_ARC
(8,6),0.488597 # DEPENDENCYPART_ARC
(8,7),1.64641 # DEPENDENCYPART_ARC
(8,9),-0.0254211 # DEPENDENCYPART_ARC
(8,10),-1.38275 # DEPENDENCYPART_ARC
(8,11),-1.56564 # DEPENDENCYPART_ARC
(8,13),-1.60888 # DEPENDENCYPART_ARC
(8,14),-1.72468 # DEPENDENCYPART_ARC
(8,15),-1.88555 # DEPENDENCYPART_ARC
(8,16),-2.13648 # DEPENDENCYPART_ARC
(8,18),-1.91389 # DEPENDENCYPART_ARC
(8,19),-2.0306 # DEPENDENCYPART_ARC
(8,21),-2.14478 # DEPENDENCYPART_ARC
(8,23),-2.21366 # DEPENDENCYPART_ARC
(9,10),-0.565395 # DEPENDENCYPART_ARC
(9,11),-0.866144 # DEPENDENCYPART_ARC
(9,13),-1.49975 # DEPENDENCYPART_ARC
(9,14),-1.63569 # DEPENDENCYPART_ARC
(9,15),-2.15531 # DEPENDENCYPART_ARC
(9,16),-2.34663 # DEPENDENCYPART_ARC
(9,20),-2.51905 # DEPENDENCYPART_ARC
(10,4),-1.29276 # DEPENDENCYPART_ARC
(10,8),-0.859587 # DEPENDENCYPART_ARC
(10,9),0.313698 # DEPENDENCYPART_ARC
(10,11),-0.193429 # DEPENDENCYPART_ARC
(10,12),-1.23572 # DEPENDENCYPART_ARC
(10,13),-1.35038 # DEPENDENCYPART_ARC
(10,14),-1.50156 # DEPENDENCYPART_ARC
(10,15),-1.88436 # DEPENDENCYPART_ARC
(10,16),-2.0308 # DEPENDENCYPART_ARC
(10,17),-2.72712 # DEPENDENCYPART_ARC
(10,20),-2.12335 # DEPENDENCYPART_ARC
(10,21),-1.97622 # DEPENDENCYPART_ARC
