# _root_ Directors of Bergen Bank and Den Norske Creditbank , two of Norway 's leading banks , announced they had agreed to the formal merger of the banks .
#goldHeads=17,1,4,5,2,8,8,5,5,5,10,15,12,15,11,5,0,19,17,19,20,24,24,21,24,27,25,17,
#predictedHeads=17,1,4,5,2,8,8,5,8,8,10,15,12,15,11,8,0,19,17,19,20,24,24,21,24,27,25,17,
(0,1),-1.81465 # DEPENDENCYPART_ARC
(0,5),-3.13068 # DEPENDENCYPART_ARC
(0,17),-1.39762 # DEPENDENCYPART_ARC
(0,19),-2.87295 # DEPENDENCYPART_ARC
(0,20),-2.78384 # DEPENDENCYPART_ARC
(1,2),0.856275 # DEPENDENCYPART_ARC
(1,3),-0.653745 # DEPENDENCYPART_ARC
(1,4),-1.16206 # DEPENDENCYPART_ARC
(1,5),-0.682764 # DEPENDENCYPART_ARC
(1,6),-1.16278 # DEPENDENCYPART_ARC
(1,7),-1.34015 # DEPENDENCYPART_ARC
(1,8),-1.52496 # DEPENDENCYPART_ARC
(1,9),-1.12865 # DEPENDENCYPART_ARC
(1,10),-1.70318 # DEPENDENCYPART_ARC
(1,11),-2.08742 # DEPENDENCYPART_ARC
(1,15),-2.06973 # DEPENDENCYPART_ARC
(1,16),-1.2591 # DEPENDENCYPART_ARC
(1,17),-1.1518 # DEPENDENCYPART_ARC
(1,19),-1.14691 # DEPENDENCYPART_ARC
(1,20),-1.60256 # DEPENDENCYPART_ARC
(1,28),-1.69513 # DEPENDENCYPART_ARC
(2,3),0.20012 # DEPENDENCYPART_ARC
(2,4),-0.199822 # DEPENDENCYPART_ARC
(2,5),-0.961066 # DEPENDENCYPART_ARC
(2,6),-1.72799 # DEPENDENCYPART_ARC
(2,7),-1.85781 # DEPENDENCYPART_ARC
(2,8),-1.90011 # DEPENDENCYPART_ARC
(2,11),-1.56725 # DEPENDENCYPART_ARC
(2,15),-3.3626 # DEPENDENCYPART_ARC
(3,1),-2.42005 # DEPENDENCYPART_ARC
(3,4),-0.682728 # DEPENDENCYPART_ARC
(3,5),-1.34666 # DEPENDENCYPART_ARC
(4,1),-1.69573 # DEPENDENCYPART_ARC
(4,2),-1.66458 # DEPENDENCYPART_ARC
(4,3),1.03092 # DEPENDENCYPART_ARC
(4,5),-0.677956 # DEPENDENCYPART_ARC
(4,6),-1.27774 # DEPENDENCYPART_ARC
(4,7),-1.62603 # DEPENDENCYPART_ARC
(4,8),-1.92118 # DEPENDENCYPART_ARC
(4,10),-2.28756 # DEPENDENCYPART_ARC
(4,16),-1.89607 # DEPENDENCYPART_ARC
(5,1),-0.868274 # DEPENDENCYPART_ARC
(5,2),-1.03234 # DEPENDENCYPART_ARC
(5,3),-0.19437 # DEPENDENCYPART_ARC
(5,4),2.01656 # DEPENDENCYPART_ARC
(5,6),1.67277 # DEPENDENCYPART_ARC
(5,7),-0.0368538 # DEPENDENCYPART_ARC
(5,8),-0.773472 # DEPENDENCYPART_ARC
(5,9),-1.3276 # DEPENDENCYPART_ARC
(5,10),-2.361 # DEPENDENCYPART_ARC
(5,11),-1.97243 # DEPENDENCYPART_ARC
(5,12),-2.36715 # DEPENDENCYPART_ARC
(5,14),-1.93921 # DEPENDENCYPART_ARC
(5,15),-2.28418 # DEPENDENCYPART_ARC
(5,16),-1.80059 # DEPENDENCYPART_ARC
(5,17),-2.07738 # DEPENDENCYPART_ARC
(5,19),-2.52826 # DEPENDENCYPART_ARC
(5,20),-2.60166 # DEPENDENCYPART_ARC
(5,24),-2.46252 # DEPENDENCYPART_ARC
(5,28),-1.36896 # DEPENDENCYPART_ARC
(6,5),-1.71617 # DEPENDENCYPART_ARC
(6,7),-0.707397 # DEPENDENCYPART_ARC
(6,8),-1.7607 # DEPENDENCYPART_ARC
(7,1),-2.56305 # DEPENDENCYPART_ARC
(7,3),-1.43512 # DEPENDENCYPART_ARC
(7,4),-1.7379 # DEPENDENCYPART_ARC
(7,5),-1.05609 # DEPENDENCYPART_ARC
(7,6),0.0757926 # DEPENDENCYPART_ARC
(7,8),-0.820909 # DEPENDENCYPART_ARC
(7,9),-1.46509 # DEPENDENCYPART_ARC
(7,10),-2.20027 # DEPENDENCYPART_ARC
(7,11),-2.31005 # DEPENDENCYPART_ARC
(7,13),-2.33022 # DEPENDENCYPART_ARC
(7,15),-2.71155 # DEPENDENCYPART_ARC
(7,16),-1.87911 # DEPENDENCYPART_ARC
(8,3),-0.235077 # DEPENDENCYPART_ARC
(8,4),-0.941582 # DEPENDENCYPART_ARC
(8,5),-0.565977 # DEPENDENCYPART_ARC
(8,6),0.455808 # DEPENDENCYPART_ARC
(8,7),1.42831 # DEPENDENCYPART_ARC
(8,9),0.372011 # DEPENDENCYPART_ARC
(8,10),-1.37269 # DEPENDENCYPART_ARC
(8,11),-1.68709 # DEPENDENCYPART_ARC
(8,12),-1.7666 # DEPENDENCYPART_ARC
(8,13),-1.62261 # DEPENDENCYPART_ARC
