# _root_ We think it is n't such a great burden , that it carries no stigma , and we are prepared to do it . ''
#goldHeads=2,17,4,13,4,9,9,9,4,13,13,13,2,15,13,17,0,19,17,19,22,20,22,17,17,
#predictedHeads=2,17,4,2,4,9,9,9,4,17,13,13,17,15,13,17,0,19,17,19,22,20,22,17,17,
(0,2),-1.76091 # DEPENDENCYPART_ARC
(0,4),-2.15747 # DEPENDENCYPART_ARC
(0,13),-2.94591 # DEPENDENCYPART_ARC
(0,17),-1.19182 # DEPENDENCYPART_ARC
(0,19),-2.01484 # DEPENDENCYPART_ARC
(0,22),-3.1268 # DEPENDENCYPART_ARC
(1,2),-0.443699 # DEPENDENCYPART_ARC
(2,1),0.962959 # DEPENDENCYPART_ARC
(2,3),0.315196 # DEPENDENCYPART_ARC
(2,4),0.181657 # DEPENDENCYPART_ARC
(2,5),-0.794284 # DEPENDENCYPART_ARC
(2,6),-0.892455 # DEPENDENCYPART_ARC
(2,7),-1.14031 # DEPENDENCYPART_ARC
(2,8),-1.21084 # DEPENDENCYPART_ARC
(2,9),-0.986111 # DEPENDENCYPART_ARC
(2,10),-1.15728 # DEPENDENCYPART_ARC
(2,13),-1.84628 # DEPENDENCYPART_ARC
(2,16),-1.74519 # DEPENDENCYPART_ARC
(2,17),-0.761444 # DEPENDENCYPART_ARC
(2,19),-1.53301 # DEPENDENCYPART_ARC
(2,22),-1.77088 # DEPENDENCYPART_ARC
(2,24),-1.80416 # DEPENDENCYPART_ARC
(2,25),-0.381413 # DEPENDENCYPART_ARC
(4,1),-1.23318 # DEPENDENCYPART_ARC
(4,2),-1.21917 # DEPENDENCYPART_ARC
(4,3),0.859658 # DEPENDENCYPART_ARC
(4,5),0.609565 # DEPENDENCYPART_ARC
(4,6),0.0095367 # DEPENDENCYPART_ARC
(4,8),-0.70114 # DEPENDENCYPART_ARC
(4,9),-0.363844 # DEPENDENCYPART_ARC
(4,10),-0.847053 # DEPENDENCYPART_ARC
(4,11),-1.89151 # DEPENDENCYPART_ARC
(4,13),-1.89071 # DEPENDENCYPART_ARC
(4,15),-2.25064 # DEPENDENCYPART_ARC
(4,16),-1.80925 # DEPENDENCYPART_ARC
(4,17),-0.869775 # DEPENDENCYPART_ARC
(4,19),-2.29847 # DEPENDENCYPART_ARC
(4,24),-1.04578 # DEPENDENCYPART_ARC
(4,25),-0.0946018 # DEPENDENCYPART_ARC
(5,3),-1.44669 # DEPENDENCYPART_ARC
(5,4),-0.282053 # DEPENDENCYPART_ARC
(5,6),-0.334295 # DEPENDENCYPART_ARC
(5,7),-1.05592 # DEPENDENCYPART_ARC
(5,8),-1.21189 # DEPENDENCYPART_ARC
(5,9),-1.3866 # DEPENDENCYPART_ARC
(5,10),-1.36802 # DEPENDENCYPART_ARC
(5,11),-1.859 # DEPENDENCYPART_ARC
(5,13),-1.92939 # DEPENDENCYPART_ARC
(6,1),-1.60132 # DEPENDENCYPART_ARC
(6,3),-1.47893 # DEPENDENCYPART_ARC
(6,5),0.30821 # DEPENDENCYPART_ARC
(6,8),-0.843803 # DEPENDENCYPART_ARC
(6,9),-1.21401 # DEPENDENCYPART_ARC
(6,10),-1.00706 # DEPENDENCYPART_ARC
(6,11),-1.6094 # DEPENDENCYPART_ARC
(6,13),-1.50556 # DEPENDENCYPART_ARC
(6,15),-1.98525 # DEPENDENCYPART_ARC
(6,17),-0.9764 # DEPENDENCYPART_ARC
(6,22),-1.39546 # DEPENDENCYPART_ARC
(6,24),-1.27079 # DEPENDENCYPART_ARC
(7,8),-0.383435 # DEPENDENCYPART_ARC
(7,19),-1.73856 # DEPENDENCYPART_ARC
(8,3),-1.8346 # DEPENDENCYPART_ARC
(8,5),-1.09496 # DEPENDENCYPART_ARC
(8,6),-1.20376 # DEPENDENCYPART_ARC
(8,7),-0.0878717 # DEPENDENCYPART_ARC
(8,9),-0.42184 # DEPENDENCYPART_ARC
(9,2),-1.40484 # DEPENDENCYPART_ARC
(9,5),-0.880368 # DEPENDENCYPART_ARC
(9,6),-0.635331 # DEPENDENCYPART_ARC
(9,7),0.223487 # DEPENDENCYPART_ARC
(9,8),1.48272 # DEPENDENCYPART_ARC
