# _root_ And some carriers are facing other unexpected headaches : USAir , for example , blamed some of its loss on merger expenses and on disruptions caused by Hurricane Hugo last month .
#goldHeads=4,3,4,0,4,8,8,5,4,15,15,15,12,15,4,15,16,19,17,23,22,20,15,23,24,25,26,29,27,31,26,4,
#predictedHeads=4,3,4,0,4,8,8,5,4,15,15,15,12,15,4,15,16,19,17,23,22,20,15,23,24,25,26,29,27,31,26,4,
(0,1),-2.38364 # DEPENDENCYPART_ARC
(0,3),-2.79196 # DEPENDENCYPART_ARC
(0,4),-1.63106 # DEPENDENCYPART_ARC
(0,5),-2.6951 # DEPENDENCYPART_ARC
(0,15),-2.49674 # DEPENDENCYPART_ARC
(1,2),-0.624225 # DEPENDENCYPART_ARC
(1,3),-1.14253 # DEPENDENCYPART_ARC
(1,4),-1.52451 # DEPENDENCYPART_ARC
(1,5),-2.24249 # DEPENDENCYPART_ARC
(1,6),-2.17012 # DEPENDENCYPART_ARC
(1,8),-2.37526 # DEPENDENCYPART_ARC
(1,9),-1.81031 # DEPENDENCYPART_ARC
(1,10),-2.54198 # DEPENDENCYPART_ARC
(1,11),-2.23132 # DEPENDENCYPART_ARC
(1,15),-3.15805 # DEPENDENCYPART_ARC
(1,17),-2.77669 # DEPENDENCYPART_ARC
(1,32),-2.0099 # DEPENDENCYPART_ARC
(2,3),-0.250096 # DEPENDENCYPART_ARC
(2,4),-0.992494 # DEPENDENCYPART_ARC
(2,5),-1.37571 # DEPENDENCYPART_ARC
(3,1),-0.539322 # DEPENDENCYPART_ARC
(3,2),1.08783 # DEPENDENCYPART_ARC
(3,4),-0.180572 # DEPENDENCYPART_ARC
(3,5),-1.08948 # DEPENDENCYPART_ARC
(3,6),-1.37823 # DEPENDENCYPART_ARC
(3,8),-1.34239 # DEPENDENCYPART_ARC
(3,9),-0.91964 # DEPENDENCYPART_ARC
(3,10),-1.53996 # DEPENDENCYPART_ARC
(3,14),-1.86862 # DEPENDENCYPART_ARC
(3,16),-1.59169 # DEPENDENCYPART_ARC
(4,1),-0.248564 # DEPENDENCYPART_ARC
(4,2),-0.44417 # DEPENDENCYPART_ARC
(4,3),0.999091 # DEPENDENCYPART_ARC
(4,5),1.06924 # DEPENDENCYPART_ARC
(4,6),-0.802077 # DEPENDENCYPART_ARC
(4,7),-1.21822 # DEPENDENCYPART_ARC
(4,8),-0.917039 # DEPENDENCYPART_ARC
(4,9),-1.08597 # DEPENDENCYPART_ARC
(4,11),-1.66043 # DEPENDENCYPART_ARC
(4,12),-2.1983 # DEPENDENCYPART_ARC
(4,14),-2.24286 # DEPENDENCYPART_ARC
(4,15),-1.80777 # DEPENDENCYPART_ARC
(4,23),-0.497032 # DEPENDENCYPART_ARC
(4,32),-0.0592458 # DEPENDENCYPART_ARC
(5,1),-1.35816 # DEPENDENCYPART_ARC
(5,3),-1.28532 # DEPENDENCYPART_ARC
(5,4),-0.934618 # DEPENDENCYPART_ARC
(5,6),0.451003 # DEPENDENCYPART_ARC
(5,7),-0.546964 # DEPENDENCYPART_ARC
(5,8),-0.183748 # DEPENDENCYPART_ARC
(5,9),-0.839669 # DEPENDENCYPART_ARC
(5,10),-0.540951 # DEPENDENCYPART_ARC
(5,11),-0.801966 # DEPENDENCYPART_ARC
(5,12),-1.26492 # DEPENDENCYPART_ARC
(5,13),-1.92269 # DEPENDENCYPART_ARC
(5,14),-1.25236 # DEPENDENCYPART_ARC
(5,15),-1.2536 # DEPENDENCYPART_ARC
(5,19),-1.95088 # DEPENDENCYPART_ARC
(5,20),-1.77796 # DEPENDENCYPART_ARC
(5,23),-0.689575 # DEPENDENCYPART_ARC
(5,32),-0.821618 # DEPENDENCYPART_ARC
(6,1),-1.32906 # DEPENDENCYPART_ARC
(6,2),-1.42974 # DEPENDENCYPART_ARC
(6,3),-1.1964 # DEPENDENCYPART_ARC
(6,7),-0.265726 # DEPENDENCYPART_ARC
(6,8),-1.12104 # DEPENDENCYPART_ARC
(6,9),-0.898758 # DEPENDENCYPART_ARC
(6,10),-1.47583 # DEPENDENCYPART_ARC
(6,11),-1.30614 # DEPENDENCYPART_ARC
(6,12),-1.85539 # DEPENDENCYPART_ARC
(6,13),-2.02668 # DEPENDENCYPART_ARC
(6,15),-1.54728 # DEPENDENCYPART_ARC
(7,1),-1.25989 # DEPENDENCYPART_ARC
(7,3),-1.23987 # DEPENDENCYPART_ARC
(7,6),-0.0260666 # DEPENDENCYPART_ARC
(7,8),-0.404622 # DEPENDENCYPART_ARC
(7,9),-0.987669 # DEPENDENCYPART_ARC
(7,10),-1.46214 # DEPENDENCYPART_ARC
(7,13),-2.12137 # DEPENDENCYPART_ARC
(8,1),-1.02362 # DEPENDENCYPART_ARC
(8,2),-1.64084 # DEPENDENCYPART_ARC
(8,3),-1.04741 # DEPENDENCYPART_ARC
(8,5),-0.665565 # DEPENDENCYPART_ARC
(8,6),0.619995 # DEPENDENCYPART_ARC
(8,7),1.6345 # DEPENDENCYPART_ARC
(8,9),0.337906 # DEPENDENCYPART_ARC
(8,10),-1.05678 # DEPENDENCYPART_ARC
(8,11),-1.35364 # DEPENDENCYPART_ARC
(8,12),-1.8573 # DEPENDENCYPART_ARC
(8,13),-1.95247 # DEPENDENCYPART_ARC
(8,14),-1.5441 # DEPENDENCYPART_ARC
(8,15),-1.70434 # DEPENDENCYPART_ARC
(8,16),-1.7754 # DEPENDENCYPART_ARC
(8,17),-2.2912 # DEPENDENCYPART_ARC
(8,19),-2.14044 # DEPENDENCYPART_ARC
(8,20),-1.96771 # DEPENDENCYPART_ARC
(8,22),-2.34212 # DEPENDENCYPART_ARC
(8,23),-1.01393 # DEPENDENCYPART_ARC
(8,26),-1.95303 # DEPENDENCYPART_ARC
(8,32),-2.08348 # DEPENDENCYPART_ARC
(9,13),-1.99851 # DEPENDENCYPART_ARC
(10,2),-2.87534 # DEPENDENCYPART_ARC
(10,6),-1.52654 # DEPENDENCYPART_ARC
(10,7),-1.42109 # DEPENDENCYPART_ARC
(10,8),-1.0715 # DEPENDENCYPART_ARC
(10,9),-0.512837 # DEPENDENCYPART_ARC
(10,11),0.111862 # DEPENDENCYPART_ARC
(10,12),-1.3927 # DEPENDENCYPART_ARC
(10,13),-1.44177 # DEPENDENCYPART_ARC
(10,14),-0.987809 # DEPENDENCYPART_ARC
(10,15),-1.62101 # DEPENDENCYPART_ARC
(10,17),-1.97935 # DEPENDENCYPART_ARC
(10,19),-1.77514 # DEPENDENCYPART_ARC
(10,20),-1.65439 # DEPENDENCYPART_ARC
(10,23),-1.04923 # DEPENDENCYPART_ARC
(10,32),-2.04015 # DEPENDENCYPART_ARC
(11,12),-0.614891 # DEPENDENCYPART_ARC
(12,11),0.146529 # DEPENDENCYPART_ARC
(12,13),0.717376 # DEPENDENCYPART_ARC
(12,14),-0.755114 # DEPENDENCYPART_ARC
(12,15),-1.72454 # DEPENDENCYPART_ARC
(13,4),-2.32154 # DEPENDENCYPART_ARC
(13,6),-2.44484 # DEPENDENCYPART_ARC
(13,8),-2.32442 # DEPENDENCYPART_ARC
(13,10),-1.83046 # DEPENDENCYPART_ARC
(13,11),-1.15975 # DEPENDENCYPART_ARC
(13,12),-0.173676 # DEPENDENCYPART_ARC
(13,14),-0.0720883 # DEPENDENCYPART_ARC
(13,15),-1.65325 # DEPENDENCYPART_ARC
(13,16),-1.92714 # DEPENDENCYPART_ARC
(13,17),-2.0924 # DEPENDENCYPART_ARC
(13,19),-1.78605 # DEPENDENCYPART_ARC
(13,22),-2.08178 # DEPENDENCYPART_ARC
(15,1),-0.417825 # DEPENDENCYPART_ARC
(15,2),-1.29634 # DEPENDENCYPART_ARC
(15,3),-1.02153 # DEPENDENCYPART_ARC
(15,4),-1.33454 # DEPENDENCYPART_ARC
(15,5),-0.905809 # DEPENDENCYPART_ARC
(15,6),-0.994729 # DEPENDENCYPART_ARC
(15,7),-0.96384 # DEPENDENCYPART_ARC
(15,8),-0.674675 # DEPENDENCYPART_ARC
(15,9),-0.801928 # DEPENDENCYPART_ARC
(15,10),-0.430219 # DEPENDENCYPART_ARC
(15,11),-1.09028 # DEPENDENCYPART_ARC
(15,12),-0.499008 # DEPENDENCYPART_ARC
(15,13),-1.16413 # DEPENDENCYPART_ARC
(15,14),0.710509 # DEPENDENCYPART_ARC
(15,16),0.641892 # DEPENDENCYPART_ARC
(15,17),-0.219901 # DEPENDENCYPART_ARC
(15,19),-0.046393 # DEPENDENCYPART_ARC
(15,20),-0.649744 # DEPENDENCYPART_ARC
(15,21),-0.927326 # DEPENDENCYPART_ARC
(15,22),-0.598096 # DEPENDENCYPART_ARC
(15,23),-0.128443 # DEPENDENCYPART_ARC
(15,24),-1.07348 # DEPENDENCYPART_ARC
(15,25),-1.29083 # DEPENDENCYPART_ARC
(15,26),-0.609866 # DEPENDENCYPART_ARC
(15,27),-1.20988 # DEPENDENCYPART_ARC
(15,30),-1.03206 # DEPENDENCYPART_ARC
(15,31),-1.34529 # DEPENDENCYPART_ARC
(15,32),0.277622 # DEPENDENCYPART_ARC
(16,17),0.575027 # DEPENDENCYPART_ARC
(16,20),-0.669925 # DEPENDENCYPART_ARC
(16,23),-0.28665 # DEPENDENCYPART_ARC
(16,24),-0.774746 # DEPENDENCYPART_ARC
(16,26),-0.730484 # DEPENDENCYPART_ARC
(17,16),-0.42737 # DEPENDENCYPART_ARC
(17,19),-0.116183 # DEPENDENCYPART_ARC
(17,20),-1.09925 # DEPENDENCYPART_ARC
(17,21),-1.32744 # DEPENDENCYPART_ARC
(17,22),-1.33278 # DEPENDENCYPART_ARC
(17,23),-1.16642 # DEPENDENCYPART_ARC
(17,24),-0.967856 # DEPENDENCYPART_ARC
(17,25),-2.16783 # DEPENDENCYPART_ARC
(17,27),-1.18812 # DEPENDENCYPART_ARC
(19,4),-1.91523 # DEPENDENCYPART_ARC
(19,16),-1.29607 # DEPENDENCYPART_ARC
(19,17),-1.01354 # DEPENDENCYPART_ARC
(19,18),0.730347 # DEPENDENCYPART_ARC
(19,20),0.468984 # DEPENDENCYPART_ARC
(19,21),-0.984722 # DEPENDENCYPART_ARC
(19,22),-1.44134 # DEPENDENCYPART_ARC
(19,23),-0.930055 # DEPENDENCYPART_ARC
(19,24),-1.12227 # DEPENDENCYPART_ARC
(19,25),-1.67102 # DEPENDENCYPART_ARC
(19,26),-1.1963 # DEPENDENCYPART_ARC
(19,27),-1.30423 # DEPENDENCYPART_ARC
(19,29),-1.95875 # DEPENDENCYPART_ARC
(19,30),-1.51567 # DEPENDENCYPART_ARC
(19,32),-1.77321 # DEPENDENCYPART_ARC
(20,19),-0.55385 # DEPENDENCYPART_ARC
(20,21),0.358829 # DEPENDENCYPART_ARC
(20,22),-0.0737532 # DEPENDENCYPART_ARC
(20,23),-1.05754 # DEPENDENCYPART_ARC
(20,24),-0.766037 # DEPENDENCYPART_ARC
(20,25),-1.34889 # DEPENDENCYPART_ARC
(20,27),-1.03915 # DEPENDENCYPART_ARC
(20,29),-2.6051 # DEPENDENCYPART_ARC
(21,16),-2.887 # DEPENDENCYPART_ARC
(21,18),-2.2267 # DEPENDENCYPART_ARC
(21,22),-0.548768 # DEPENDENCYPART_ARC
(21,24),-1.05741 # DEPENDENCYPART_ARC
(21,26),-0.973264 # DEPENDENCYPART_ARC
(22,16),-1.89706 # DEPENDENCYPART_ARC
(22,17),-1.10111 # DEPENDENCYPART_ARC
(22,18),-0.861172 # DEPENDENCYPART_ARC
(22,19),-0.792638 # DEPENDENCYPART_ARC
(22,20),-0.689053 # DEPENDENCYPART_ARC
(22,21),2.01258 # DEPENDENCYPART_ARC
(22,23),-0.478482 # DEPENDENCYPART_ARC
(22,24),-1.0917 # DEPENDENCYPART_ARC
(22,25),-1.61127 # DEPENDENCYPART_ARC
(22,26),-1.37503 # DEPENDENCYPART_ARC
(23,1),-1.53795 # DEPENDENCYPART_ARC
(23,2),-2.46623 # DEPENDENCYPART_ARC
(23,3),-2.03915 # DEPENDENCYPART_ARC
(23,4),-2.68888 # DEPENDENCYPART_ARC
(23,5),-2.00601 # DEPENDENCYPART_ARC
(23,6),-2.12823 # DEPENDENCYPART_ARC
(23,7),-2.2751 # DEPENDENCYPART_ARC
(23,8),-2.03871 # DEPENDENCYPART_ARC
(23,9),-1.47913 # DEPENDENCYPART_ARC
(23,10),-1.54951 # DEPENDENCYPART_ARC
(23,11),-2.17718 # DEPENDENCYPART_ARC
(23,12),-1.18062 # DEPENDENCYPART_ARC
(23,13),-1.91092 # DEPENDENCYPART_ARC
(23,14),-1.34914 # DEPENDENCYPART_ARC
(23,15),-0.906294 # DEPENDENCYPART_ARC
(23,16),-1.37344 # DEPENDENCYPART_ARC
(23,17),-0.960396 # DEPENDENCYPART_ARC
(23,18),-1.26976 # DEPENDENCYPART_ARC
(23,19),-1.02178 # DEPENDENCYPART_ARC
(23,20),-0.290855 # DEPENDENCYPART_ARC
(23,21),-0.781105 # DEPENDENCYPART_ARC
(23,22),0.0836434 # DEPENDENCYPART_ARC
(23,24),0.363602 # DEPENDENCYPART_ARC
(23,25),-0.148104 # DEPENDENCYPART_ARC
(23,26),-1.07383 # DEPENDENCYPART_ARC
(23,27),-1.35676 # DEPENDENCYPART_ARC
(23,28),-1.77388 # DEPENDENCYPART_ARC
(23,29),-1.94137 # DEPENDENCYPART_ARC
(23,30),-1.75889 # DEPENDENCYPART_ARC
(23,31),-2.10102 # DEPENDENCYPART_ARC
(23,32),-1.18581 # DEPENDENCYPART_ARC
(24,25),0.585118 # DEPENDENCYPART_ARC
(24,26),-0.702852 # DEPENDENCYPART_ARC
(24,27),-1.16746 # DEPENDENCYPART_ARC
(24,28),-1.84689 # DEPENDENCYPART_ARC
(24,29),-1.87016 # DEPENDENCYPART_ARC
(24,31),-2.4633 # DEPENDENCYPART_ARC
(25,16),-3.15074 # DEPENDENCYPART_ARC
(25,18),-2.09645 # DEPENDENCYPART_ARC
(25,21),-1.37378 # DEPENDENCYPART_ARC
(25,22),-1.69697 # DEPENDENCYPART_ARC
(25,24),-0.431691 # DEPENDENCYPART_ARC
(25,26),0.535323 # DEPENDENCYPART_ARC
(25,27),-0.698992 # DEPENDENCYPART_ARC
(25,28),-1.0546 # DEPENDENCYPART_ARC
(25,29),-1.34607 # DEPENDENCYPART_ARC
(25,30),-1.27138 # DEPENDENCYPART_ARC
(25,31),-1.48807 # DEPENDENCYPART_ARC
(26,12),-2.32562 # DEPENDENCYPART_ARC
(26,13),-2.84918 # DEPENDENCYPART_ARC
(26,14),-2.45684 # DEPENDENCYPART_ARC
(26,17),-1.52756 # DEPENDENCYPART_ARC
(26,19),-1.20078 # DEPENDENCYPART_ARC
(26,20),-1.31619 # DEPENDENCYPART_ARC
(26,21),-1.45899 # DEPENDENCYPART_ARC
(26,22),-1.42302 # DEPENDENCYPART_ARC
(26,24),-0.704911 # DEPENDENCYPART_ARC
(26,25),-0.376328 # DEPENDENCYPART_ARC
(26,27),0.668723 # DEPENDENCYPART_ARC
(26,28),-1.08413 # DEPENDENCYPART_ARC
(26,29),-1.26827 # DEPENDENCYPART_ARC
(26,30),-1.43161 # DEPENDENCYPART_ARC
(26,31),-1.08088 # DEPENDENCYPART_ARC
(26,32),-0.367773 # DEPENDENCYPART_ARC
(27,28),0.274222 # DEPENDENCYPART_ARC
(27,29),-0.379385 # DEPENDENCYPART_ARC
(27,30),-1.28406 # DEPENDENCYPART_ARC
(27,31),-1.31058 # DEPENDENCYPART_ARC
(28,29),-0.619997 # DEPENDENCYPART_ARC
(28,30),-1.24588 # DEPENDENCYPART_ARC
(28,31),-1.76788 # DEPENDENCYPART_ARC
(29,25),-1.76832 # DEPENDENCYPART_ARC
(29,27),-1.36122 # DEPENDENCYPART_ARC
(29,28),1.02066 # DEPENDENCYPART_ARC
(29,30),-0.265365 # DEPENDENCYPART_ARC
(29,31),-1.34227 # DEPENDENCYPART_ARC
(29,32),-1.03824 # DEPENDENCYPART_ARC
(30,25),-1.54679 # DEPENDENCYPART_ARC
(30,28),-1.0675 # DEPENDENCYPART_ARC
(30,29),-0.201086 # DEPENDENCYPART_ARC
(30,31),-0.409444 # DEPENDENCYPART_ARC
(31,26),-1.13072 # DEPENDENCYPART_ARC
(31,27),-1.15807 # DEPENDENCYPART_ARC
(31,28),-0.343099 # DEPENDENCYPART_ARC
(31,29),-0.16115 # DEPENDENCYPART_ARC
(31,30),1.44853 # DEPENDENCYPART_ARC
(32,30),-1.0435 # DEPENDENCYPART_ARC
