# _root_ While some assets have been written down , others are undervalued in the accounts , Mr. Bond maintained .
#goldHeads=4,3,4,10,4,5,6,10,10,18,10,11,14,12,18,17,18,0,18,
#predictedHeads=4,3,4,10,4,5,6,10,10,18,10,11,14,12,18,17,18,0,18,
(0,1),-1.78302 # DEPENDENCYPART_ARC
(0,3),-2.6097 # DEPENDENCYPART_ARC
(0,4),-2.12216 # DEPENDENCYPART_ARC
(0,5),-2.9105 # DEPENDENCYPART_ARC
(0,6),-3.05314 # DEPENDENCYPART_ARC
(0,10),-2.72642 # DEPENDENCYPART_ARC
(0,11),-3.30933 # DEPENDENCYPART_ARC
(0,18),-2.75707 # DEPENDENCYPART_ARC
(1,2),-0.0492967 # DEPENDENCYPART_ARC
(1,3),-0.376121 # DEPENDENCYPART_ARC
(1,4),-1.32536 # DEPENDENCYPART_ARC
(1,8),-1.30449 # DEPENDENCYPART_ARC
(1,10),-2.23431 # DEPENDENCYPART_ARC
(2,1),-0.195692 # DEPENDENCYPART_ARC
(2,3),-0.146811 # DEPENDENCYPART_ARC
(2,4),-0.935726 # DEPENDENCYPART_ARC
(2,5),-1.32327 # DEPENDENCYPART_ARC
(2,6),-1.40779 # DEPENDENCYPART_ARC
(2,8),-0.970585 # DEPENDENCYPART_ARC
(2,10),-1.94338 # DEPENDENCYPART_ARC
(3,1),-0.883919 # DEPENDENCYPART_ARC
(3,2),1.08915 # DEPENDENCYPART_ARC
(3,4),-0.243524 # DEPENDENCYPART_ARC
(3,5),-1.04942 # DEPENDENCYPART_ARC
(3,6),-1.33786 # DEPENDENCYPART_ARC
(3,8),-1.5829 # DEPENDENCYPART_ARC
(3,10),-2.39838 # DEPENDENCYPART_ARC
(3,19),-2.56911 # DEPENDENCYPART_ARC
(4,1),0.157331 # DEPENDENCYPART_ARC
(4,2),-0.607093 # DEPENDENCYPART_ARC
(4,3),0.771272 # DEPENDENCYPART_ARC
(4,5),1.30488 # DEPENDENCYPART_ARC
(4,6),-0.0502169 # DEPENDENCYPART_ARC
(4,7),-0.989165 # DEPENDENCYPART_ARC
(4,8),-1.47323 # DEPENDENCYPART_ARC
(4,9),-2.15683 # DEPENDENCYPART_ARC
(4,10),-1.8525 # DEPENDENCYPART_ARC
(4,11),-1.49657 # DEPENDENCYPART_ARC
(4,15),-2.09406 # DEPENDENCYPART_ARC
(4,18),-1.92786 # DEPENDENCYPART_ARC
