# _root_ Among these are the company 's Australian brewing assets , in the books at A$ 950 million but actually worth A$ 2.5 billion , he said .
#goldHeads=3,1,26,5,9,5,9,9,18,18,18,13,11,11,14,15,15,3,18,18,20,21,21,26,26,0,26,
#predictedHeads=3,1,26,5,9,5,9,9,3,9,18,13,11,13,14,15,15,9,20,18,20,21,21,26,26,0,26,
(0,3),-1.63996 # DEPENDENCYPART_ARC
(0,18),-1.78178 # DEPENDENCYPART_ARC
(0,21),-3.34979 # DEPENDENCYPART_ARC
(0,26),-0.484706 # DEPENDENCYPART_ARC
(1,2),0.281524 # DEPENDENCYPART_ARC
(1,3),-0.634212 # DEPENDENCYPART_ARC
(1,5),-1.201 # DEPENDENCYPART_ARC
(1,7),-1.37309 # DEPENDENCYPART_ARC
(1,8),-1.59212 # DEPENDENCYPART_ARC
(1,9),-1.60693 # DEPENDENCYPART_ARC
(1,10),-1.25064 # DEPENDENCYPART_ARC
(2,1),-0.0528659 # DEPENDENCYPART_ARC
(2,3),-0.383485 # DEPENDENCYPART_ARC
(3,1),0.21685 # DEPENDENCYPART_ARC
(3,2),0.39943 # DEPENDENCYPART_ARC
(3,4),0.0336436 # DEPENDENCYPART_ARC
(3,5),-0.119649 # DEPENDENCYPART_ARC
(3,7),-0.855256 # DEPENDENCYPART_ARC
(3,8),-0.645352 # DEPENDENCYPART_ARC
(3,9),-0.663953 # DEPENDENCYPART_ARC
(3,10),-1.46221 # DEPENDENCYPART_ARC
(3,11),-2.13907 # DEPENDENCYPART_ARC
(3,13),-1.8402 # DEPENDENCYPART_ARC
(3,14),-2.26693 # DEPENDENCYPART_ARC
(3,18),-1.65964 # DEPENDENCYPART_ARC
(3,27),-0.451137 # DEPENDENCYPART_ARC
(5,1),-1.19533 # DEPENDENCYPART_ARC
(5,2),-0.901946 # DEPENDENCYPART_ARC
(5,3),-0.467804 # DEPENDENCYPART_ARC
(5,4),1.97641 # DEPENDENCYPART_ARC
(5,6),0.816665 # DEPENDENCYPART_ARC
(5,7),-1.17271 # DEPENDENCYPART_ARC
(5,8),-1.33574 # DEPENDENCYPART_ARC
(5,9),-1.62483 # DEPENDENCYPART_ARC
(5,10),-1.84411 # DEPENDENCYPART_ARC
(5,11),-2.0246 # DEPENDENCYPART_ARC
(5,13),-1.89905 # DEPENDENCYPART_ARC
(5,24),-1.57708 # DEPENDENCYPART_ARC
(5,27),-1.63985 # DEPENDENCYPART_ARC
(7,1),-1.32645 # DEPENDENCYPART_ARC
(7,5),-0.850765 # DEPENDENCYPART_ARC
(7,6),-0.204373 # DEPENDENCYPART_ARC
(7,8),-0.507043 # DEPENDENCYPART_ARC
(7,9),-1.4439 # DEPENDENCYPART_ARC
(7,10),-1.42728 # DEPENDENCYPART_ARC
(8,2),-3.22435 # DEPENDENCYPART_ARC
(8,3),-1.94616 # DEPENDENCYPART_ARC
(8,4),-2.16424 # DEPENDENCYPART_ARC
(8,5),-1.35265 # DEPENDENCYPART_ARC
(8,6),-1.65697 # DEPENDENCYPART_ARC
(8,7),0.0542903 # DEPENDENCYPART_ARC
(8,9),-0.844159 # DEPENDENCYPART_ARC
(8,10),-1.89831 # DEPENDENCYPART_ARC
(8,11),-2.18722 # DEPENDENCYPART_ARC
(8,13),-2.38283 # DEPENDENCYPART_ARC
(8,15),-2.31885 # DEPENDENCYPART_ARC
(9,1),-1.44174 # DEPENDENCYPART_ARC
(9,2),-2.06158 # DEPENDENCYPART_ARC
(9,4),-0.894471 # DEPENDENCYPART_ARC
(9,5),0.070194 # DEPENDENCYPART_ARC
(9,6),-1.10492 # DEPENDENCYPART_ARC
(9,7),0.328263 # DEPENDENCYPART_ARC
(9,8),1.99399 # DEPENDENCYPART_ARC
(9,10),-0.131902 # DEPENDENCYPART_ARC
(9,11),-2.01435 # DEPENDENCYPART_ARC
(9,13),-1.87162 # DEPENDENCYPART_ARC
(9,14),-2.32317 # DEPENDENCYPART_ARC
(9,15),-2.08409 # DEPENDENCYPART_ARC
(9,16),-2.51034 # DEPENDENCYPART_ARC
(9,17),-2.61138 # DEPENDENCYPART_ARC
(9,18),-1.60994 # DEPENDENCYPART_ARC
(9,24),-1.61301 # DEPENDENCYPART_ARC
(9,26),-2.28594 # DEPENDENCYPART_ARC
(9,27),-1.8952 # DEPENDENCYPART_ARC
(11,9),-2.01296 # DEPENDENCYPART_ARC
(11,10),-0.208326 # DEPENDENCYPART_ARC
(11,12),-0.0870497 # DEPENDENCYPART_ARC
(11,13),-0.166043 # DEPENDENCYPART_ARC
(11,14),-1.34365 # DEPENDENCYPART_ARC
(11,15),-1.32843 # DEPENDENCYPART_ARC
(11,16),-1.70277 # DEPENDENCYPART_ARC
(11,17),-1.74625 # DEPENDENCYPART_ARC
(11,18),-1.26409 # DEPENDENCYPART_ARC
(11,19),-1.30612 # DEPENDENCYPART_ARC
(13,7),-2.66509 # DEPENDENCYPART_ARC
(13,9),-2.35145 # DEPENDENCYPART_ARC
(13,10),-1.86086 # DEPENDENCYPART_ARC
(13,12),1.22834 # DEPENDENCYPART_ARC
(13,14),0.0772183 # DEPENDENCYPART_ARC
(13,15),-1.18449 # DEPENDENCYPART_ARC
(13,16),-1.42631 # DEPENDENCYPART_ARC
(13,17),-1.6065 # DEPENDENCYPART_ARC
(13,18),-1.15433 # DEPENDENCYPART_ARC
(13,19),-1.25418 # DEPENDENCYPART_ARC
(13,20),-1.38329 # DEPENDENCYPART_ARC
(13,22),-1.76573 # DEPENDENCYPART_ARC
(13,23),-1.84214 # DEPENDENCYPART_ARC
(13,26),-1.97564 # DEPENDENCYPART_ARC
(13,27),-1.74955 # DEPENDENCYPART_ARC
(14,12),-1.4767 # DEPENDENCYPART_ARC
(14,13),-0.592967 # DEPENDENCYPART_ARC
(14,15),-0.455277 # DEPENDENCYPART_ARC
(14,16),-0.9989 # DEPENDENCYPART_ARC
(14,17),-1.63279 # DEPENDENCYPART_ARC
(14,18),-1.27886 # DEPENDENCYPART_ARC
(14,19),-1.56726 # DEPENDENCYPART_ARC
(14,20),-1.27343 # DEPENDENCYPART_ARC
(14,21),-1.77343 # DEPENDENCYPART_ARC
(15,11),-1.18705 # DEPENDENCYPART_ARC
(15,12),-1.21559 # DEPENDENCYPART_ARC
(15,14),0.0754338 # DEPENDENCYPART_ARC
(15,16),0.695298 # DEPENDENCYPART_ARC
(15,17),-0.353552 # DEPENDENCYPART_ARC
(15,18),-0.788509 # DEPENDENCYPART_ARC
(15,19),-1.15835 # DEPENDENCYPART_ARC
(15,20),-1.1707 # DEPENDENCYPART_ARC
(15,21),-1.19426 # DEPENDENCYPART_ARC
(15,22),-1.58749 # DEPENDENCYPART_ARC
(15,23),-1.48252 # DEPENDENCYPART_ARC
(15,24),-1.03312 # DEPENDENCYPART_ARC
(15,26),-1.75539 # DEPENDENCYPART_ARC
(15,27),-1.6729 # DEPENDENCYPART_ARC
(16,11),-1.82803 # DEPENDENCYPART_ARC
(16,12),-1.70658 # DEPENDENCYPART_ARC
(16,14),-1.63975 # DEPENDENCYPART_ARC
(16,15),-0.72112 # DEPENDENCYPART_ARC
(16,17),-0.654337 # DEPENDENCYPART_ARC
(16,19),-1.0208 # DEPENDENCYPART_ARC
(16,20),-1.1181 # DEPENDENCYPART_ARC
(16,22),-1.72696 # DEPENDENCYPART_ARC
(16,23),-1.97245 # DEPENDENCYPART_ARC
(16,26),-1.81469 # DEPENDENCYPART_ARC
(17,11),-0.989479 # DEPENDENCYPART_ARC
(17,12),-1.15683 # DEPENDENCYPART_ARC
(17,14),-0.929788 # DEPENDENCYPART_ARC
(17,15),-0.86015 # DEPENDENCYPART_ARC
(17,16),0.657496 # DEPENDENCYPART_ARC
(17,21),-1.21745 # DEPENDENCYPART_ARC
(18,1),-1.24016 # DEPENDENCYPART_ARC
(18,2),-2.65534 # DEPENDENCYPART_ARC
(18,3),-1.62928 # DEPENDENCYPART_ARC
(18,5),-1.33682 # DEPENDENCYPART_ARC
(18,7),-1.84081 # DEPENDENCYPART_ARC
(18,8),-1.43622 # DEPENDENCYPART_ARC
(18,9),-1.44551 # DEPENDENCYPART_ARC
(18,10),-1.2239 # DEPENDENCYPART_ARC
(18,11),-0.707335 # DEPENDENCYPART_ARC
(18,12),-1.46667 # DEPENDENCYPART_ARC
(18,13),-0.738653 # DEPENDENCYPART_ARC
(18,14),-0.663664 # DEPENDENCYPART_ARC
(18,15),-0.477459 # DEPENDENCYPART_ARC
(18,16),-0.310226 # DEPENDENCYPART_ARC
(18,17),0.80214 # DEPENDENCYPART_ARC
(18,19),0.402417 # DEPENDENCYPART_ARC
(18,20),-0.387452 # DEPENDENCYPART_ARC
(18,21),-0.838638 # DEPENDENCYPART_ARC
(18,22),-1.11055 # DEPENDENCYPART_ARC
(18,23),-1.27263 # DEPENDENCYPART_ARC
(18,24),-0.988232 # DEPENDENCYPART_ARC
(18,26),-2.09781 # DEPENDENCYPART_ARC
(18,27),-1.03501 # DEPENDENCYPART_ARC
(19,9),-2.45679 # DEPENDENCYPART_ARC
(19,13),-1.9977 # DEPENDENCYPART_ARC
(19,15),-1.8959 # DEPENDENCYPART_ARC
(19,18),-0.422687 # DEPENDENCYPART_ARC
(19,20),-0.206985 # DEPENDENCYPART_ARC
(19,21),-1.0545 # DEPENDENCYPART_ARC
(19,22),-1.2727 # DEPENDENCYPART_ARC
(19,23),-1.41417 # DEPENDENCYPART_ARC
(20,5),-1.62598 # DEPENDENCYPART_ARC
(20,8),-1.5897 # DEPENDENCYPART_ARC
(20,14),-0.902673 # DEPENDENCYPART_ARC
(20,18),-0.782393 # DEPENDENCYPART_ARC
(20,19),0.683898 # DEPENDENCYPART_ARC
(20,21),0.107123 # DEPENDENCYPART_ARC
(20,22),-0.94672 # DEPENDENCYPART_ARC
(20,23),-1.24296 # DEPENDENCYPART_ARC
(20,24),-1.06614 # DEPENDENCYPART_ARC
(20,26),-1.59145 # DEPENDENCYPART_ARC
(21,19),-0.664695 # DEPENDENCYPART_ARC
(21,20),0.230113 # DEPENDENCYPART_ARC
(21,22),0.891459 # DEPENDENCYPART_ARC
(21,23),-0.0764245 # DEPENDENCYPART_ARC
(21,24),-0.747236 # DEPENDENCYPART_ARC
(21,26),-1.39338 # DEPENDENCYPART_ARC
(21,27),-1.47313 # DEPENDENCYPART_ARC
(22,19),-1.78455 # DEPENDENCYPART_ARC
(22,20),-1.40513 # DEPENDENCYPART_ARC
(22,21),-0.587892 # DEPENDENCYPART_ARC
(22,23),-0.702676 # DEPENDENCYPART_ARC
(22,24),-1.15883 # DEPENDENCYPART_ARC
(22,26),-1.67049 # DEPENDENCYPART_ARC
(23,11),-1.11541 # DEPENDENCYPART_ARC
(23,20),-1.04754 # DEPENDENCYPART_ARC
(23,21),-0.933253 # DEPENDENCYPART_ARC
(23,22),0.48345 # DEPENDENCYPART_ARC
(23,24),-0.306376 # DEPENDENCYPART_ARC
(23,26),-1.59853 # DEPENDENCYPART_ARC
(25,24),0.540255 # DEPENDENCYPART_ARC
(26,1),-1.78351 # DEPENDENCYPART_ARC
(26,3),-1.49861 # DEPENDENCYPART_ARC
(26,5),-1.69476 # DEPENDENCYPART_ARC
(26,7),-1.46155 # DEPENDENCYPART_ARC
(26,8),-1.66055 # DEPENDENCYPART_ARC
(26,9),-1.55448 # DEPENDENCYPART_ARC
(26,10),-2.56418 # DEPENDENCYPART_ARC
(26,11),-1.70356 # DEPENDENCYPART_ARC
(26,13),-2.47338 # DEPENDENCYPART_ARC
(26,14),-1.78447 # DEPENDENCYPART_ARC
(26,15),-1.64196 # DEPENDENCYPART_ARC
(26,16),-1.69573 # DEPENDENCYPART_ARC
(26,17),-1.66709 # DEPENDENCYPART_ARC
(26,18),-1.34642 # DEPENDENCYPART_ARC
(26,19),-1.82888 # DEPENDENCYPART_ARC
(26,20),-1.74855 # DEPENDENCYPART_ARC
(26,21),-1.41676 # DEPENDENCYPART_ARC
(26,22),-1.54211 # DEPENDENCYPART_ARC
(26,23),-1.43802 # DEPENDENCYPART_ARC
(26,24),-0.149186 # DEPENDENCYPART_ARC
(26,25),1.24363 # DEPENDENCYPART_ARC
(26,27),0.968584 # DEPENDENCYPART_ARC
(0,3),(0,18),-0.173072 # DEPENDENCYPART_SIBL
(0,3),(0,21),-0.0732835 # DEPENDENCYPART_SIBL
(0,3),(0,26),-0.263344 # DEPENDENCYPART_SIBL
(0,18),(0,21),-0.0283726 # DEPENDENCYPART_SIBL
(0,18),(0,26),-0.163911 # DEPENDENCYPART_SIBL
(0,21),(0,26),-0.116009 # DEPENDENCYPART_SIBL
(1,2),(1,3),0.00363089 # DEPENDENCYPART_SIBL
(1,2),(1,5),-0.0261328 # DEPENDENCYPART_SIBL
(1,2),(1,7),-0.00434907 # DEPENDENCYPART_SIBL
(1,2),(1,8),-0.0246333 # DEPENDENCYPART_SIBL
(1,2),(1,9),-0.0264722 # DEPENDENCYPART_SIBL
(1,2),(1,10),0.0284345 # DEPENDENCYPART_SIBL
(1,3),(1,5),-0.0325433 # DEPENDENCYPART_SIBL
(1,3),(1,7),-0.00741608 # DEPENDENCYPART_SIBL
(1,3),(1,8),-0.0226257 # DEPENDENCYPART_SIBL
(1,3),(1,9),-0.0251768 # DEPENDENCYPART_SIBL
(1,3),(1,10),0.116296 # DEPENDENCYPART_SIBL
(1,5),(1,7),-0.00258151 # DEPENDENCYPART_SIBL
(1,5),(1,8),-0.0517281 # DEPENDENCYPART_SIBL
(1,5),(1,9),-0.0545857 # DEPENDENCYPART_SIBL
(1,5),(1,10),0.0675247 # DEPENDENCYPART_SIBL
(1,7),(1,8),-0.045408 # DEPENDENCYPART_SIBL
(1,7),(1,9),-0.047374 # DEPENDENCYPART_SIBL
(1,7),(1,10),0.0170237 # DEPENDENCYPART_SIBL
(1,8),(1,9),-0.0668544 # DEPENDENCYPART_SIBL
(1,8),(1,10),0.0662731 # DEPENDENCYPART_SIBL
(1,9),(1,10),0.0563133 # DEPENDENCYPART_SIBL
(2,1),(2,3),-0.00969799 # DEPENDENCYPART_SIBL
(3,1),(3,2),-0.0189612 # DEPENDENCYPART_SIBL
(3,1),(3,4),-0.0240248 # DEPENDENCYPART_SIBL
(3,1),(3,5),-0.0550805 # DEPENDENCYPART_SIBL
(3,1),(3,7),0.0194162 # DEPENDENCYPART_SIBL
(3,1),(3,8),-0.0265837 # DEPENDENCYPART_SIBL
(3,1),(3,9),-0.0571482 # DEPENDENCYPART_SIBL
(3,1),(3,10),-0.0479556 # DEPENDENCYPART_SIBL
(3,1),(3,11),-0.01197 # DEPENDENCYPART_SIBL
(3,1),(3,13),-0.0286707 # DEPENDENCYPART_SIBL
(3,1),(3,14),-0.0715538 # DEPENDENCYPART_SIBL
(3,1),(3,18),0.0849443 # DEPENDENCYPART_SIBL
(3,1),(3,27),0.019195 # DEPENDENCYPART_SIBL
(3,2),(3,4),-0.0483907 # DEPENDENCYPART_SIBL
(3,2),(3,5),-0.0405932 # DEPENDENCYPART_SIBL
(3,2),(3,7),-0.0101479 # DEPENDENCYPART_SIBL
(3,2),(3,8),-0.0405173 # DEPENDENCYPART_SIBL
(3,2),(3,9),-0.0602301 # DEPENDENCYPART_SIBL
(3,2),(3,10),-0.0319201 # DEPENDENCYPART_SIBL
(3,2),(3,11),-0.026956 # DEPENDENCYPART_SIBL
(3,2),(3,13),-0.0399663 # DEPENDENCYPART_SIBL
(3,2),(3,14),-0.0392298 # DEPENDENCYPART_SIBL
(3,2),(3,18),0.0330814 # DEPENDENCYPART_SIBL
(3,2),(3,27),0.0245717 # DEPENDENCYPART_SIBL
(3,4),(3,5),-0.00975238 # DEPENDENCYPART_SIBL
(3,4),(3,7),-0.0020485 # DEPENDENCYPART_SIBL
(3,4),(3,8),0.00126533 # DEPENDENCYPART_SIBL
(3,4),(3,9),0.00719533 # DEPENDENCYPART_SIBL
(3,4),(3,10),-0.00532922 # DEPENDENCYPART_SIBL
(3,4),(3,11),-0.0546322 # DEPENDENCYPART_SIBL
(3,4),(3,13),0.00126007 # DEPENDENCYPART_SIBL
(3,4),(3,14),0.00596093 # DEPENDENCYPART_SIBL
(3,4),(3,18),-0.0503805 # DEPENDENCYPART_SIBL
(3,4),(3,27),-0.00713822 # DEPENDENCYPART_SIBL
(3,5),(3,7),-0.0214366 # DEPENDENCYPART_SIBL
(3,5),(3,8),-0.0177061 # DEPENDENCYPART_SIBL
(3,5),(3,9),-0.0124492 # DEPENDENCYPART_SIBL
(3,5),(3,10),-0.0115602 # DEPENDENCYPART_SIBL
(3,5),(3,11),-0.0150274 # DEPENDENCYPART_SIBL
(3,5),(3,13),-0.0177206 # DEPENDENCYPART_SIBL
(3,5),(3,14),0.00831656 # DEPENDENCYPART_SIBL
(3,5),(3,18),-0.0717605 # DEPENDENCYPART_SIBL
(3,5),(3,27),-0.0407286 # DEPENDENCYPART_SIBL
(3,7),(3,8),-0.0188172 # DEPENDENCYPART_SIBL
(3,7),(3,9),-0.0129951 # DEPENDENCYPART_SIBL
(3,7),(3,10),-0.00320069 # DEPENDENCYPART_SIBL
(3,7),(3,11),0.0316613 # DEPENDENCYPART_SIBL
(3,7),(3,13),-0.0188225 # DEPENDENCYPART_SIBL
(3,7),(3,14),0.0276425 # DEPENDENCYPART_SIBL
(3,7),(3,18),-0.073996 # DEPENDENCYPART_SIBL
(3,7),(3,27),-0.00342875 # DEPENDENCYPART_SIBL
(3,8),(3,9),-0.0235295 # DEPENDENCYPART_SIBL
(3,8),(3,10),0.00561586 # DEPENDENCYPART_SIBL
(3,8),(3,11),0.00163052 # DEPENDENCYPART_SIBL
(3,8),(3,13),-0.0288009 # DEPENDENCYPART_SIBL
(3,8),(3,14),0.0198087 # DEPENDENCYPART_SIBL
(3,8),(3,18),-0.0814166 # DEPENDENCYPART_SIBL
(3,8),(3,27),0.00150301 # DEPENDENCYPART_SIBL
(3,9),(3,10),-0.00994308 # DEPENDENCYPART_SIBL
(3,9),(3,11),-0.000493382 # DEPENDENCYPART_SIBL
(3,9),(3,13),-0.0293038 # DEPENDENCYPART_SIBL
(3,9),(3,14),0.0192339 # DEPENDENCYPART_SIBL
(3,9),(3,18),-0.0778416 # DEPENDENCYPART_SIBL
(3,9),(3,27),0.000137567 # DEPENDENCYPART_SIBL
(3,10),(3,11),0.0218768 # DEPENDENCYPART_SIBL
(3,10),(3,13),0.0555968 # DEPENDENCYPART_SIBL
(3,10),(3,14),0.0168815 # DEPENDENCYPART_SIBL
(3,10),(3,18),-0.0133404 # DEPENDENCYPART_SIBL
(3,10),(3,27),0.00366912 # DEPENDENCYPART_SIBL
(3,11),(3,13),-0.0155838 # DEPENDENCYPART_SIBL
(3,11),(3,14),0.0415713 # DEPENDENCYPART_SIBL
(3,11),(3,18),-0.119656 # DEPENDENCYPART_SIBL
(3,11),(3,27),-0.0431457 # DEPENDENCYPART_SIBL
(3,13),(3,14),0.0193338 # DEPENDENCYPART_SIBL
(3,13),(3,18),-0.0818319 # DEPENDENCYPART_SIBL
(3,13),(3,27),0.00231202 # DEPENDENCYPART_SIBL
(3,14),(3,18),-0.0973998 # DEPENDENCYPART_SIBL
(3,14),(3,27),-0.00404364 # DEPENDENCYPART_SIBL
(3,18),(3,27),0.023767 # DEPENDENCYPART_SIBL
(5,1),(5,2),-0.0466808 # DEPENDENCYPART_SIBL
(5,1),(5,3),0.0235092 # DEPENDENCYPART_SIBL
(5,1),(5,4),-0.0548742 # DEPENDENCYPART_SIBL
(5,1),(5,6),-0.113956 # DEPENDENCYPART_SIBL
(5,1),(5,7),-0.0364202 # DEPENDENCYPART_SIBL
(5,1),(5,8),-0.0141775 # DEPENDENCYPART_SIBL
(5,1),(5,9),-0.0228684 # DEPENDENCYPART_SIBL
(5,1),(5,10),-0.0283603 # DEPENDENCYPART_SIBL
(5,1),(5,11),-0.00868238 # DEPENDENCYPART_SIBL
(5,1),(5,13),-0.0116441 # DEPENDENCYPART_SIBL
(5,1),(5,24),-0.0283603 # DEPENDENCYPART_SIBL
(5,1),(5,27),-0.00589408 # DEPENDENCYPART_SIBL
(5,2),(5,3),0.216653 # DEPENDENCYPART_SIBL
(5,2),(5,4),-0.246765 # DEPENDENCYPART_SIBL
(5,2),(5,6),0.00351049 # DEPENDENCYPART_SIBL
(5,2),(5,7),-0.115845 # DEPENDENCYPART_SIBL
(5,2),(5,8),-0.116433 # DEPENDENCYPART_SIBL
(5,2),(5,9),-0.119578 # DEPENDENCYPART_SIBL
(5,2),(5,10),-0.16085 # DEPENDENCYPART_SIBL
(5,2),(5,11),-0.19953 # DEPENDENCYPART_SIBL
(5,2),(5,13),-0.108642 # DEPENDENCYPART_SIBL
(5,2),(5,24),-0.16085 # DEPENDENCYPART_SIBL
(5,2),(5,27),-0.118975 # DEPENDENCYPART_SIBL
(5,3),(5,4),-0.0198059 # DEPENDENCYPART_SIBL
(5,3),(5,6),-0.101142 # DEPENDENCYPART_SIBL
(5,3),(5,7),-0.0120673 # DEPENDENCYPART_SIBL
(5,3),(5,8),0.0548746 # DEPENDENCYPART_SIBL
(5,3),(5,9),0.0504985 # DEPENDENCYPART_SIBL
(5,3),(5,10),0.054647 # DEPENDENCYPART_SIBL
(5,3),(5,11),0.0391124 # DEPENDENCYPART_SIBL
(5,3),(5,13),0.0574102 # DEPENDENCYPART_SIBL
(5,3),(5,24),0.054647 # DEPENDENCYPART_SIBL
(5,3),(5,27),0.0711365 # DEPENDENCYPART_SIBL
(5,4),(5,6),0.381913 # DEPENDENCYPART_SIBL
(5,4),(5,7),-0.118808 # DEPENDENCYPART_SIBL
(5,4),(5,8),-0.042905 # DEPENDENCYPART_SIBL
(5,4),(5,9),-0.0469498 # DEPENDENCYPART_SIBL
(5,4),(5,10),0.00878226 # DEPENDENCYPART_SIBL
(5,4),(5,11),-0.124421 # DEPENDENCYPART_SIBL
(5,4),(5,13),-0.0298616 # DEPENDENCYPART_SIBL
(5,4),(5,24),0.00878226 # DEPENDENCYPART_SIBL
(5,4),(5,27),-0.148386 # DEPENDENCYPART_SIBL
(5,6),(5,7),-0.041937 # DEPENDENCYPART_SIBL
(5,6),(5,8),-0.0278502 # DEPENDENCYPART_SIBL
(5,6),(5,9),-0.0277191 # DEPENDENCYPART_SIBL
