# _root_ `` We must do more to help the Japanese here in Baja if we want them to invest elsewhere , '' says Mr. Ruffo , the governor-elect of the National Action Party and himself a succesful businessman .
#goldHeads=22,3,22,3,4,7,4,9,7,7,10,11,15,15,4,18,18,15,18,22,22,0,24,22,24,27,33,27,32,32,32,28,24,33,37,37,34,22,
#predictedHeads=22,3,22,3,4,7,4,9,7,7,7,11,15,15,7,18,18,15,18,22,22,0,24,22,24,27,24,27,32,32,32,33,28,37,37,37,33,22,
(0,3),-2.03886 # DEPENDENCYPART_ARC
(0,4),-2.33388 # DEPENDENCYPART_ARC
(0,22),-1.10696 # DEPENDENCYPART_ARC
(2,4),-0.823142 # DEPENDENCYPART_ARC
(2,7),-1.26695 # DEPENDENCYPART_ARC
(3,1),-0.438906 # DEPENDENCYPART_ARC
(3,2),0.959457 # DEPENDENCYPART_ARC
(3,4),1.18752 # DEPENDENCYPART_ARC
(3,7),-0.936024 # DEPENDENCYPART_ARC
(3,10),-1.26766 # DEPENDENCYPART_ARC
(3,15),-1.4457 # DEPENDENCYPART_ARC
(3,18),-1.58808 # DEPENDENCYPART_ARC
(3,20),-1.2933 # DEPENDENCYPART_ARC
(3,21),-1.26744 # DEPENDENCYPART_ARC
(3,22),-2.46283 # DEPENDENCYPART_ARC
(3,25),-2.02267 # DEPENDENCYPART_ARC
(3,38),-0.0200275 # DEPENDENCYPART_ARC
(4,1),-1.31904 # DEPENDENCYPART_ARC
(4,2),-1.04123 # DEPENDENCYPART_ARC
(4,3),-0.66107 # DEPENDENCYPART_ARC
(4,5),0.579995 # DEPENDENCYPART_ARC
(4,6),-0.595116 # DEPENDENCYPART_ARC
(4,7),-0.559556 # DEPENDENCYPART_ARC
(4,8),-1.17915 # DEPENDENCYPART_ARC
(4,9),-0.88267 # DEPENDENCYPART_ARC
(4,10),-1.02606 # DEPENDENCYPART_ARC
(4,11),-1.14752 # DEPENDENCYPART_ARC
(4,12),-1.37895 # DEPENDENCYPART_ARC
(4,13),-1.5214 # DEPENDENCYPART_ARC
(4,15),-1.22854 # DEPENDENCYPART_ARC
(4,17),-1.42174 # DEPENDENCYPART_ARC
(4,18),-1.26244 # DEPENDENCYPART_ARC
(4,19),-1.58279 # DEPENDENCYPART_ARC
(4,20),-1.37097 # DEPENDENCYPART_ARC
(4,21),-0.434675 # DEPENDENCYPART_ARC
(4,22),-2.32451 # DEPENDENCYPART_ARC
(4,25),-2.23111 # DEPENDENCYPART_ARC
(4,33),-0.802291 # DEPENDENCYPART_ARC
(4,38),-0.94789 # DEPENDENCYPART_ARC
(5,6),0.346962 # DEPENDENCYPART_ARC
(5,7),-0.411837 # DEPENDENCYPART_ARC
(5,11),-1.07792 # DEPENDENCYPART_ARC
(5,13),-1.14125 # DEPENDENCYPART_ARC
(6,7),-0.104909 # DEPENDENCYPART_ARC
(6,9),-1.57684 # DEPENDENCYPART_ARC
(6,12),-2.18903 # DEPENDENCYPART_ARC
(7,1),-1.37793 # DEPENDENCYPART_ARC
(7,2),-1.81488 # DEPENDENCYPART_ARC
(7,3),-1.60508 # DEPENDENCYPART_ARC
(7,4),-1.391 # DEPENDENCYPART_ARC
(7,5),-1.16132 # DEPENDENCYPART_ARC
(7,6),1.0464 # DEPENDENCYPART_ARC
(7,8),0.224862 # DEPENDENCYPART_ARC
(7,9),0.309913 # DEPENDENCYPART_ARC
(7,10),-0.327962 # DEPENDENCYPART_ARC
(7,11),-0.68575 # DEPENDENCYPART_ARC
(7,12),-0.362788 # DEPENDENCYPART_ARC
(7,13),-1.11482 # DEPENDENCYPART_ARC
(7,15),-0.949799 # DEPENDENCYPART_ARC
(7,17),-1.1877 # DEPENDENCYPART_ARC
(7,18),-1.11818 # DEPENDENCYPART_ARC
(7,19),-1.3692 # DEPENDENCYPART_ARC
(7,20),-1.3281 # DEPENDENCYPART_ARC
(7,21),-0.60556 # DEPENDENCYPART_ARC
(7,22),-2.16512 # DEPENDENCYPART_ARC
(7,25),-1.99931 # DEPENDENCYPART_ARC
(7,33),-0.753145 # DEPENDENCYPART_ARC
(7,38),-1.96791 # DEPENDENCYPART_ARC
(9,8),1.15277 # DEPENDENCYPART_ARC
(9,10),-0.154386 # DEPENDENCYPART_ARC
(9,11),-0.861055 # DEPENDENCYPART_ARC
(9,12),-1.41413 # DEPENDENCYPART_ARC
(9,19),-1.4619 # DEPENDENCYPART_ARC
(10,4),-1.27003 # DEPENDENCYPART_ARC
(10,6),-1.2687 # DEPENDENCYPART_ARC
(10,7),-0.981152 # DEPENDENCYPART_ARC
(10,11),0.24399 # DEPENDENCYPART_ARC
(10,12),-0.597097 # DEPENDENCYPART_ARC
(10,13),-0.913039 # DEPENDENCYPART_ARC
(10,15),-0.86562 # DEPENDENCYPART_ARC
(10,17),-1.02427 # DEPENDENCYPART_ARC
