# _root_ `` It does n't replace pitching in the majors , but it proves to me that I would have been able to play if I 'd stayed healthy , '' he says .
#goldHeads=32,3,11,3,3,5,6,9,7,11,32,13,11,13,14,18,18,13,18,19,20,23,21,26,26,20,26,27,32,32,32,0,32,
#predictedHeads=32,3,11,3,3,5,6,9,7,11,32,13,11,13,14,18,18,13,18,19,20,23,21,26,26,23,26,27,32,32,32,0,32,
(0,3),-2.04561 # DEPENDENCYPART_ARC
(0,5),-2.71875 # DEPENDENCYPART_ARC
(0,6),-2.72983 # DEPENDENCYPART_ARC
(0,11),-1.52154 # DEPENDENCYPART_ARC
(0,13),-2.71563 # DEPENDENCYPART_ARC
(0,18),-3.11899 # DEPENDENCYPART_ARC
(0,20),-3.30467 # DEPENDENCYPART_ARC
(0,32),-0.0950841 # DEPENDENCYPART_ARC
(2,5),-1.23537 # DEPENDENCYPART_ARC
(3,1),-0.612516 # DEPENDENCYPART_ARC
(3,2),0.888487 # DEPENDENCYPART_ARC
(3,4),1.02977 # DEPENDENCYPART_ARC
(3,5),0.47202 # DEPENDENCYPART_ARC
(3,6),-0.301247 # DEPENDENCYPART_ARC
(3,7),-0.832213 # DEPENDENCYPART_ARC
(3,9),-1.21507 # DEPENDENCYPART_ARC
(3,10),-1.35596 # DEPENDENCYPART_ARC
(3,11),-1.17386 # DEPENDENCYPART_ARC
(3,13),-1.7965 # DEPENDENCYPART_ARC
(3,18),-1.56911 # DEPENDENCYPART_ARC
(3,26),-1.68128 # DEPENDENCYPART_ARC
(3,29),-2.26976 # DEPENDENCYPART_ARC
(3,30),0.651169 # DEPENDENCYPART_ARC
(3,32),-2.12172 # DEPENDENCYPART_ARC
(3,33),-2.10766 # DEPENDENCYPART_ARC
(4,2),-1.50518 # DEPENDENCYPART_ARC
(4,3),-0.338152 # DEPENDENCYPART_ARC
(4,5),-0.600999 # DEPENDENCYPART_ARC
(4,6),-1.48379 # DEPENDENCYPART_ARC
(4,7),-1.53146 # DEPENDENCYPART_ARC
(4,9),-1.91391 # DEPENDENCYPART_ARC
(5,1),-1.245 # DEPENDENCYPART_ARC
(5,2),-1.50143 # DEPENDENCYPART_ARC
(5,3),-1.36403 # DEPENDENCYPART_ARC
(5,4),0.0816636 # DEPENDENCYPART_ARC
(5,6),1.41195 # DEPENDENCYPART_ARC
(5,7),-0.395762 # DEPENDENCYPART_ARC
(5,8),-0.929363 # DEPENDENCYPART_ARC
(5,9),-0.920478 # DEPENDENCYPART_ARC
(5,10),-1.18106 # DEPENDENCYPART_ARC
(5,11),-1.15267 # DEPENDENCYPART_ARC
(5,13),-1.80106 # DEPENDENCYPART_ARC
(5,14),-1.41374 # DEPENDENCYPART_ARC
(5,18),-1.66037 # DEPENDENCYPART_ARC
(5,19),-1.68753 # DEPENDENCYPART_ARC
(5,33),-1.89649 # DEPENDENCYPART_ARC
(6,2),-2.11037 # DEPENDENCYPART_ARC
(6,3),-2.04132 # DEPENDENCYPART_ARC
(6,4),-1.42684 # DEPENDENCYPART_ARC
(6,7),0.9033 # DEPENDENCYPART_ARC
(6,8),-0.813525 # DEPENDENCYPART_ARC
(6,9),-0.779677 # DEPENDENCYPART_ARC
