# _root_ In the third quarter , wages and salaries in all private industry rose 1.2 % , compared with 1 % increases in both the second quarter and in the third quarter of 1988 .
#goldHeads=13,4,4,1,13,7,13,7,7,12,12,9,0,15,13,13,13,17,21,21,18,27,26,26,26,22,21,27,31,31,28,31,32,13,
#predictedHeads=13,4,4,1,13,7,13,7,7,12,12,9,0,15,13,13,13,17,20,21,18,21,27,26,26,22,21,27,31,31,28,31,32,13,
(0,1),-1.82595 # DEPENDENCYPART_ARC
(0,4),-2.67173 # DEPENDENCYPART_ARC
(0,7),-3.21552 # DEPENDENCYPART_ARC
(0,13),-1.58648 # DEPENDENCYPART_ARC
(0,17),-2.07762 # DEPENDENCYPART_ARC
(0,23),-2.74044 # DEPENDENCYPART_ARC
(0,27),-3.2236 # DEPENDENCYPART_ARC
(1,2),0.0759489 # DEPENDENCYPART_ARC
(1,3),-0.597579 # DEPENDENCYPART_ARC
(1,4),-0.198588 # DEPENDENCYPART_ARC
(1,5),-1.18386 # DEPENDENCYPART_ARC
(1,6),-1.7779 # DEPENDENCYPART_ARC
(1,7),-1.66467 # DEPENDENCYPART_ARC
(1,8),-2.44419 # DEPENDENCYPART_ARC
(1,9),-1.1264 # DEPENDENCYPART_ARC
(1,22),-0.459734 # DEPENDENCYPART_ARC
(2,1),-0.553785 # DEPENDENCYPART_ARC
(2,3),-0.507621 # DEPENDENCYPART_ARC
(2,5),-1.28105 # DEPENDENCYPART_ARC
(3,1),-1.36583 # DEPENDENCYPART_ARC
(3,2),0.0976859 # DEPENDENCYPART_ARC
(4,1),-1.13759 # DEPENDENCYPART_ARC
(4,2),0.387116 # DEPENDENCYPART_ARC
(4,3),1.55002 # DEPENDENCYPART_ARC
(4,5),-0.123815 # DEPENDENCYPART_ARC
(4,6),-1.4639 # DEPENDENCYPART_ARC
(4,7),-1.43788 # DEPENDENCYPART_ARC
(4,8),-1.73962 # DEPENDENCYPART_ARC
(4,9),-2.06725 # DEPENDENCYPART_ARC
(4,10),-1.97792 # DEPENDENCYPART_ARC
(4,11),-2.04294 # DEPENDENCYPART_ARC
(4,12),-1.98288 # DEPENDENCYPART_ARC
(4,15),-1.6697 # DEPENDENCYPART_ARC
(4,16),-1.34133 # DEPENDENCYPART_ARC
(4,17),-2.35867 # DEPENDENCYPART_ARC
(4,18),-1.95436 # DEPENDENCYPART_ARC
(4,27),-0.929376 # DEPENDENCYPART_ARC
(4,34),-1.9634 # DEPENDENCYPART_ARC
(6,1),-2.22645 # DEPENDENCYPART_ARC
(6,2),-1.41261 # DEPENDENCYPART_ARC
(6,3),-1.65891 # DEPENDENCYPART_ARC
(6,4),-1.16433 # DEPENDENCYPART_ARC
(6,5),-0.381728 # DEPENDENCYPART_ARC
(6,8),-1.38012 # DEPENDENCYPART_ARC
(6,9),-1.21361 # DEPENDENCYPART_ARC
(7,1),-1.43051 # DEPENDENCYPART_ARC
(7,2),-0.869082 # DEPENDENCYPART_ARC
(7,3),-0.698486 # DEPENDENCYPART_ARC
(7,4),-0.199577 # DEPENDENCYPART_ARC
(7,5),0.36741 # DEPENDENCYPART_ARC
(7,6),2.63115 # DEPENDENCYPART_ARC
(7,8),1.94548 # DEPENDENCYPART_ARC
(7,9),-0.70809 # DEPENDENCYPART_ARC
(7,10),-1.3778 # DEPENDENCYPART_ARC
(7,11),-1.39226 # DEPENDENCYPART_ARC
(7,12),-0.846877 # DEPENDENCYPART_ARC
(7,13),-1.66865 # DEPENDENCYPART_ARC
(7,14),-2.22465 # DEPENDENCYPART_ARC
(7,15),-1.88452 # DEPENDENCYPART_ARC
(7,16),-1.71695 # DEPENDENCYPART_ARC
