# _root_ The unpopular Mr. Sarney , whose task was to bring about a smooth transition to democracy after 21 years of military rule , is n't seeking re-election .
#goldHeads=4,4,4,24,4,7,8,4,10,8,10,14,14,10,14,15,10,19,17,19,22,20,4,0,24,24,26,24,
#predictedHeads=4,4,4,24,4,7,8,4,10,8,10,14,14,10,10,15,10,19,17,19,22,20,4,0,24,24,26,24,
(0,4),-2.53282 # DEPENDENCYPART_ARC
(0,7),-3.31542 # DEPENDENCYPART_ARC
(0,8),-2.30639 # DEPENDENCYPART_ARC
(0,10),-3.18858 # DEPENDENCYPART_ARC
(0,24),-2.99597 # DEPENDENCYPART_ARC
(0,26),-3.19579 # DEPENDENCYPART_ARC
(1,2),-0.499043 # DEPENDENCYPART_ARC
(1,5),-1.24146 # DEPENDENCYPART_ARC
(2,1),-0.0144221 # DEPENDENCYPART_ARC
(2,3),-0.207053 # DEPENDENCYPART_ARC
(2,4),-1.0472 # DEPENDENCYPART_ARC
(2,5),-0.965872 # DEPENDENCYPART_ARC
(2,7),-1.87119 # DEPENDENCYPART_ARC
(2,8),-1.55014 # DEPENDENCYPART_ARC
(3,1),-1.15692 # DEPENDENCYPART_ARC
(3,2),-0.31588 # DEPENDENCYPART_ARC
(3,4),-0.770377 # DEPENDENCYPART_ARC
(3,5),-1.37889 # DEPENDENCYPART_ARC
(3,7),-2.29792 # DEPENDENCYPART_ARC
(3,8),-1.93219 # DEPENDENCYPART_ARC
(4,1),-0.782556 # DEPENDENCYPART_ARC
(4,2),-0.104381 # DEPENDENCYPART_ARC
(4,3),1.42327 # DEPENDENCYPART_ARC
(4,5),0.600311 # DEPENDENCYPART_ARC
(4,7),-1.73906 # DEPENDENCYPART_ARC
(4,8),-1.76885 # DEPENDENCYPART_ARC
(4,14),-1.82959 # DEPENDENCYPART_ARC
(4,23),-1.13623 # DEPENDENCYPART_ARC
(4,28),-2.17049 # DEPENDENCYPART_ARC
(7,1),-1.65078 # DEPENDENCYPART_ARC
(7,2),-1.61235 # DEPENDENCYPART_ARC
(7,3),-1.37642 # DEPENDENCYPART_ARC
(7,4),-1.59903 # DEPENDENCYPART_ARC
(7,5),-1.04533 # DEPENDENCYPART_ARC
(7,6),0.245934 # DEPENDENCYPART_ARC
(7,8),-0.183742 # DEPENDENCYPART_ARC
(7,9),-1.23152 # DEPENDENCYPART_ARC
(7,10),-1.34056 # DEPENDENCYPART_ARC
(7,28),-2.53525 # DEPENDENCYPART_ARC
(8,1),-1.66981 # DEPENDENCYPART_ARC
(8,2),-1.49803 # DEPENDENCYPART_ARC
(8,3),-1.90091 # DEPENDENCYPART_ARC
(8,4),-1.84247 # DEPENDENCYPART_ARC
(8,5),-0.872774 # DEPENDENCYPART_ARC
(8,7),0.828084 # DEPENDENCYPART_ARC
(8,9),0.402708 # DEPENDENCYPART_ARC
(8,10),0.104702 # DEPENDENCYPART_ARC
(8,11),-0.81222 # DEPENDENCYPART_ARC
(8,13),-1.33028 # DEPENDENCYPART_ARC
(8,14),-1.05629 # DEPENDENCYPART_ARC
(8,15),-1.13974 # DEPENDENCYPART_ARC
(8,16),-1.29808 # DEPENDENCYPART_ARC
(8,17),-1.17105 # DEPENDENCYPART_ARC
(8,19),-1.61917 # DEPENDENCYPART_ARC
(8,23),-1.28881 # DEPENDENCYPART_ARC
(8,24),-2.12898 # DEPENDENCYPART_ARC
(8,25),-2.19313 # DEPENDENCYPART_ARC
(8,26),-2.14769 # DEPENDENCYPART_ARC
(8,28),0.156515 # DEPENDENCYPART_ARC
(9,5),-1.47309 # DEPENDENCYPART_ARC
(9,10),-0.230125 # DEPENDENCYPART_ARC
(9,14),-1.75849 # DEPENDENCYPART_ARC
(9,15),-1.44931 # DEPENDENCYPART_ARC
(9,16),-2.11476 # DEPENDENCYPART_ARC
(10,4),-2.30158 # DEPENDENCYPART_ARC
(10,5),-1.71584 # DEPENDENCYPART_ARC
(10,7),-0.928178 # DEPENDENCYPART_ARC
(10,9),1.12295 # DEPENDENCYPART_ARC
(10,11),0.591808 # DEPENDENCYPART_ARC
(10,12),-0.689391 # DEPENDENCYPART_ARC
(10,13),-0.878286 # DEPENDENCYPART_ARC
(10,14),-0.164601 # DEPENDENCYPART_ARC
(10,15),-0.781373 # DEPENDENCYPART_ARC
(10,16),-0.475392 # DEPENDENCYPART_ARC
(10,17),-0.783411 # DEPENDENCYPART_ARC
(10,19),-0.679618 # DEPENDENCYPART_ARC
(10,20),-1.45651 # DEPENDENCYPART_ARC
(10,21),-1.19269 # DEPENDENCYPART_ARC
(10,22),-1.0331 # DEPENDENCYPART_ARC
(10,23),-0.974846 # DEPENDENCYPART_ARC
(10,24),-1.53342 # DEPENDENCYPART_ARC
(10,25),-1.94393 # DEPENDENCYPART_ARC
(10,26),-1.85644 # DEPENDENCYPART_ARC
(10,27),-2.28001 # DEPENDENCYPART_ARC
(10,28),-1.49482 # DEPENDENCYPART_ARC
(11,14),-1.12288 # DEPENDENCYPART_ARC
(12,13),-0.308686 # DEPENDENCYPART_ARC
(13,7),-1.50234 # DEPENDENCYPART_ARC
(13,12),-0.0756236 # DEPENDENCYPART_ARC
(13,15),-0.924218 # DEPENDENCYPART_ARC
(13,16),-1.3651 # DEPENDENCYPART_ARC
(13,17),-1.22779 # DEPENDENCYPART_ARC
(13,19),-1.57818 # DEPENDENCYPART_ARC
(13,20),-1.32427 # DEPENDENCYPART_ARC
(14,1),-2.68439 # DEPENDENCYPART_ARC
(14,2),-1.99717 # DEPENDENCYPART_ARC
(14,5),-1.98915 # DEPENDENCYPART_ARC
(14,7),-2.02337 # DEPENDENCYPART_ARC
(14,8),-1.61749 # DEPENDENCYPART_ARC
(14,10),-1.16668 # DEPENDENCYPART_ARC
(14,12),0.248662 # DEPENDENCYPART_ARC
(14,13),1.47728 # DEPENDENCYPART_ARC
(14,15),0.117207 # DEPENDENCYPART_ARC
(14,16),-0.914999 # DEPENDENCYPART_ARC
(14,17),-0.98441 # DEPENDENCYPART_ARC
(14,18),-1.58778 # DEPENDENCYPART_ARC
(14,19),-1.56769 # DEPENDENCYPART_ARC
