# _root_ But Mr. Schulte , the bondholders ' adviser , said Revco was dragging its feet in responding to the proposal .
#goldHeads=10,3,10,3,6,8,6,3,3,0,12,10,12,15,13,13,16,17,20,18,10,
#predictedHeads=10,3,10,3,6,8,6,3,3,0,12,10,12,15,13,13,16,17,20,18,10,
(0,1),-2.13637 # DEPENDENCYPART_ARC
(0,3),-2.70017 # DEPENDENCYPART_ARC
(0,8),-3.66945 # DEPENDENCYPART_ARC
(0,10),-0.179043 # DEPENDENCYPART_ARC
(0,12),-2.03347 # DEPENDENCYPART_ARC
(0,13),-2.23755 # DEPENDENCYPART_ARC
(1,2),-0.215028 # DEPENDENCYPART_ARC
(1,3),-1.17453 # DEPENDENCYPART_ARC
(1,4),-1.9175 # DEPENDENCYPART_ARC
(1,8),-3.37668 # DEPENDENCYPART_ARC
(1,9),-2.75878 # DEPENDENCYPART_ARC
(1,10),-2.5951 # DEPENDENCYPART_ARC
(1,12),-2.48953 # DEPENDENCYPART_ARC
(1,13),-2.68499 # DEPENDENCYPART_ARC
(1,17),-2.75771 # DEPENDENCYPART_ARC
(1,21),-0.686776 # DEPENDENCYPART_ARC
(2,1),-1.14233 # DEPENDENCYPART_ARC
(2,3),-0.699849 # DEPENDENCYPART_ARC
(2,4),-1.43679 # DEPENDENCYPART_ARC
(2,7),-2.26926 # DEPENDENCYPART_ARC
(2,8),-2.38141 # DEPENDENCYPART_ARC
(2,9),-1.76076 # DEPENDENCYPART_ARC
(2,12),-2.05776 # DEPENDENCYPART_ARC
(3,1),-0.237798 # DEPENDENCYPART_ARC
(3,2),1.57668 # DEPENDENCYPART_ARC
(3,4),0.308455 # DEPENDENCYPART_ARC
(3,6),-1.81619 # DEPENDENCYPART_ARC
(3,7),-1.65643 # DEPENDENCYPART_ARC
(3,8),-1.93809 # DEPENDENCYPART_ARC
(3,9),-0.929508 # DEPENDENCYPART_ARC
(3,10),-2.03707 # DEPENDENCYPART_ARC
(3,11),-2.25473 # DEPENDENCYPART_ARC
(3,12),-2.07353 # DEPENDENCYPART_ARC
(3,16),-2.22602 # DEPENDENCYPART_ARC
(5,4),0.0235634 # DEPENDENCYPART_ARC
(5,9),-1.36016 # DEPENDENCYPART_ARC
(6,1),-1.62087 # DEPENDENCYPART_ARC
(6,2),-1.44646 # DEPENDENCYPART_ARC
(6,3),-1.85176 # DEPENDENCYPART_ARC
(6,4),-1.14586 # DEPENDENCYPART_ARC
(6,5),1.30122 # DEPENDENCYPART_ARC
(6,7),0.889378 # DEPENDENCYPART_ARC
(6,8),-1.10261 # DEPENDENCYPART_ARC
(6,9),-1.11327 # DEPENDENCYPART_ARC
(6,10),-1.55613 # DEPENDENCYPART_ARC
(6,11),-1.8634 # DEPENDENCYPART_ARC
(6,12),-1.83685 # DEPENDENCYPART_ARC
(6,15),-1.62729 # DEPENDENCYPART_ARC
(8,1),-1.53437 # DEPENDENCYPART_ARC
(8,2),-1.76507 # DEPENDENCYPART_ARC
(8,3),-1.6493 # DEPENDENCYPART_ARC
(8,4),-1.45039 # DEPENDENCYPART_ARC
(8,5),-0.907011 # DEPENDENCYPART_ARC
(8,6),0.341824 # DEPENDENCYPART_ARC
(8,7),0.0898379 # DEPENDENCYPART_ARC
(8,9),0.249502 # DEPENDENCYPART_ARC
(8,10),-1.61001 # DEPENDENCYPART_ARC
(8,11),-1.63083 # DEPENDENCYPART_ARC
(8,12),-1.99628 # DEPENDENCYPART_ARC
(8,13),-2.147 # DEPENDENCYPART_ARC
(8,15),-1.47853 # DEPENDENCYPART_ARC
(8,16),-1.89467 # DEPENDENCYPART_ARC
(8,17),-2.19714 # DEPENDENCYPART_ARC
(8,18),-1.82673 # DEPENDENCYPART_ARC
(10,1),-0.997391 # DEPENDENCYPART_ARC
(10,2),-1.06461 # DEPENDENCYPART_ARC
(10,3),-0.758369 # DEPENDENCYPART_ARC
(10,4),-1.39267 # DEPENDENCYPART_ARC
(10,5),-1.68168 # DEPENDENCYPART_ARC
(10,6),-1.74502 # DEPENDENCYPART_ARC
(10,8),-1.31884 # DEPENDENCYPART_ARC
(10,9),0.851442 # DEPENDENCYPART_ARC
(10,11),0.451842 # DEPENDENCYPART_ARC
(10,12),0.260498 # DEPENDENCYPART_ARC
(10,13),-0.518018 # DEPENDENCYPART_ARC
(10,15),-1.02779 # DEPENDENCYPART_ARC
(10,16),-0.971703 # DEPENDENCYPART_ARC
(10,17),-0.912121 # DEPENDENCYPART_ARC
