# _root_ Institutional building , such as hospitals and schools , eased in September following a surge in August .
#goldHeads=10,1,1,5,1,7,5,7,1,0,10,11,10,15,13,15,16,10,
#predictedHeads=10,10,2,5,2,7,5,7,10,0,10,11,10,15,13,15,16,10,
(0,1),-1.5561 # DEPENDENCYPART_ARC
(0,2),-2.15143 # DEPENDENCYPART_ARC
(0,4),-3.24433 # DEPENDENCYPART_ARC
(0,5),-3.39461 # DEPENDENCYPART_ARC
(0,7),-2.4769 # DEPENDENCYPART_ARC
(0,10),-2.08962 # DEPENDENCYPART_ARC
(0,13),-2.24302 # DEPENDENCYPART_ARC
(1,2),0.0781738 # DEPENDENCYPART_ARC
(1,3),-1.13006 # DEPENDENCYPART_ARC
(1,4),-1.59551 # DEPENDENCYPART_ARC
(1,5),-1.65498 # DEPENDENCYPART_ARC
(1,7),-1.37867 # DEPENDENCYPART_ARC
(1,9),-1.65595 # DEPENDENCYPART_ARC
(1,10),-1.60537 # DEPENDENCYPART_ARC
(1,15),-1.56749 # DEPENDENCYPART_ARC
(1,18),-1.60649 # DEPENDENCYPART_ARC
(2,3),-0.00297571 # DEPENDENCYPART_ARC
(2,4),-1.45037 # DEPENDENCYPART_ARC
(2,5),-1.89115 # DEPENDENCYPART_ARC
(2,6),-2.05029 # DEPENDENCYPART_ARC
(2,7),-1.71164 # DEPENDENCYPART_ARC
(2,8),-2.47071 # DEPENDENCYPART_ARC
(2,9),-1.70295 # DEPENDENCYPART_ARC
(2,10),-1.9598 # DEPENDENCYPART_ARC
(2,11),-1.82205 # DEPENDENCYPART_ARC
(2,13),-2.08602 # DEPENDENCYPART_ARC
(2,16),-2.05741 # DEPENDENCYPART_ARC
(2,18),-1.9687 # DEPENDENCYPART_ARC
(3,5),-1.2396 # DEPENDENCYPART_ARC
(4,1),-1.47408 # DEPENDENCYPART_ARC
(4,3),0.174069 # DEPENDENCYPART_ARC
(4,5),0.0332856 # DEPENDENCYPART_ARC
(4,6),-0.99165 # DEPENDENCYPART_ARC
(4,7),-0.90398 # DEPENDENCYPART_ARC
(4,8),-1.267 # DEPENDENCYPART_ARC
(4,9),-1.19267 # DEPENDENCYPART_ARC
(4,10),-1.66353 # DEPENDENCYPART_ARC
(4,11),-1.94712 # DEPENDENCYPART_ARC
(4,15),-1.90176 # DEPENDENCYPART_ARC
(4,18),-1.96251 # DEPENDENCYPART_ARC
(5,2),-1.60054 # DEPENDENCYPART_ARC
(5,3),-1.03221 # DEPENDENCYPART_ARC
(5,4),0.283791 # DEPENDENCYPART_ARC
(5,6),0.471892 # DEPENDENCYPART_ARC
(5,7),-0.653705 # DEPENDENCYPART_ARC
(5,8),-1.1243 # DEPENDENCYPART_ARC
