# _root_ A Ford spokesman said the Dearborn , Mich. , auto maker is n't aware of any injuries caused by the windshield problem .
#goldHeads=3,3,4,0,11,8,8,11,8,11,12,4,12,12,14,17,15,17,18,22,22,19,4,
#predictedHeads=3,3,4,0,11,8,8,11,8,11,12,4,12,12,14,17,15,17,18,22,22,19,4,
(0,3),-2.35143 # DEPENDENCYPART_ARC
(0,4),-0.83896 # DEPENDENCYPART_ARC
(0,12),-1.57952 # DEPENDENCYPART_ARC
(1,4),-1.26234 # DEPENDENCYPART_ARC
(2,1),-0.370927 # DEPENDENCYPART_ARC
(2,3),-0.546659 # DEPENDENCYPART_ARC
(2,4),-0.830137 # DEPENDENCYPART_ARC
(2,6),-1.79646 # DEPENDENCYPART_ARC
(2,7),-2.33094 # DEPENDENCYPART_ARC
(2,8),-2.20889 # DEPENDENCYPART_ARC
(2,9),-2.35017 # DEPENDENCYPART_ARC
(2,11),-2.43557 # DEPENDENCYPART_ARC
(2,12),-2.2315 # DEPENDENCYPART_ARC
(3,1),0.973232 # DEPENDENCYPART_ARC
(3,2),1.91835 # DEPENDENCYPART_ARC
(3,4),-0.514084 # DEPENDENCYPART_ARC
(3,5),-1.62483 # DEPENDENCYPART_ARC
(3,6),-1.45429 # DEPENDENCYPART_ARC
(3,7),-1.73229 # DEPENDENCYPART_ARC
(3,8),-1.85119 # DEPENDENCYPART_ARC
(3,9),-1.74387 # DEPENDENCYPART_ARC
(3,11),-2.07911 # DEPENDENCYPART_ARC
(3,12),-2.54411 # DEPENDENCYPART_ARC
(3,14),-1.91982 # DEPENDENCYPART_ARC
(4,1),-0.987249 # DEPENDENCYPART_ARC
(4,2),-0.547632 # DEPENDENCYPART_ARC
(4,3),0.742012 # DEPENDENCYPART_ARC
(4,5),0.0782902 # DEPENDENCYPART_ARC
(4,6),-0.0920084 # DEPENDENCYPART_ARC
(4,7),-0.903648 # DEPENDENCYPART_ARC
(4,8),-1.37239 # DEPENDENCYPART_ARC
(4,9),-1.6139 # DEPENDENCYPART_ARC
(4,11),-1.09626 # DEPENDENCYPART_ARC
(4,12),-0.637011 # DEPENDENCYPART_ARC
