# _root_ In a statement , Chairman Frank Shrontz asserted that the company `` faces significant challenges and risks , '' on both its commercial and government contracts .
#goldHeads=8,3,1,8,7,7,8,0,13,11,13,13,8,16,16,13,16,13,13,13,26,26,24,26,24,20,8,
#predictedHeads=8,3,1,8,7,7,8,0,13,11,13,13,8,15,16,13,16,13,13,13,24,26,24,26,24,20,8,
(0,1),-1.82595 # DEPENDENCYPART_ARC
(0,3),-2.51415 # DEPENDENCYPART_ARC
(0,7),-3.12185 # DEPENDENCYPART_ARC
(0,8),-1.90451 # DEPENDENCYPART_ARC
(0,13),-3.0555 # DEPENDENCYPART_ARC
(0,16),-2.81821 # DEPENDENCYPART_ARC
(0,24),-3.03488 # DEPENDENCYPART_ARC
(0,26),-2.7098 # DEPENDENCYPART_ARC
(1,2),0.242672 # DEPENDENCYPART_ARC
(1,3),0.367962 # DEPENDENCYPART_ARC
(1,4),-1.05034 # DEPENDENCYPART_ARC
(1,5),-1.81252 # DEPENDENCYPART_ARC
(1,6),-2.16158 # DEPENDENCYPART_ARC
(1,7),-2.55582 # DEPENDENCYPART_ARC
(1,8),-1.91507 # DEPENDENCYPART_ARC
(2,1),-0.661102 # DEPENDENCYPART_ARC
(2,3),-0.35322 # DEPENDENCYPART_ARC
(2,4),-1.19652 # DEPENDENCYPART_ARC
(3,1),-1.16217 # DEPENDENCYPART_ARC
(3,2),1.08921 # DEPENDENCYPART_ARC
(3,4),-0.042462 # DEPENDENCYPART_ARC
(3,5),-1.10884 # DEPENDENCYPART_ARC
(3,6),-1.4963 # DEPENDENCYPART_ARC
(3,7),-1.76889 # DEPENDENCYPART_ARC
(3,8),-1.74361 # DEPENDENCYPART_ARC
(3,9),-2.04335 # DEPENDENCYPART_ARC
(3,11),-1.79803 # DEPENDENCYPART_ARC
(3,12),-1.77337 # DEPENDENCYPART_ARC
(3,13),-2.25282 # DEPENDENCYPART_ARC
(3,14),-2.01699 # DEPENDENCYPART_ARC
(3,16),-1.10822 # DEPENDENCYPART_ARC
(3,18),-1.51236 # DEPENDENCYPART_ARC
(3,19),-0.942195 # DEPENDENCYPART_ARC
(3,20),-1.85007 # DEPENDENCYPART_ARC
(3,21),-1.63944 # DEPENDENCYPART_ARC
(3,24),-1.05752 # DEPENDENCYPART_ARC
(3,27),-1.88721 # DEPENDENCYPART_ARC
(4,1),-1.50684 # DEPENDENCYPART_ARC
(5,2),-2.55144 # DEPENDENCYPART_ARC
(5,3),-2.16664 # DEPENDENCYPART_ARC
(5,4),-1.31475 # DEPENDENCYPART_ARC
(5,6),-0.546178 # DEPENDENCYPART_ARC
(5,7),-1.50747 # DEPENDENCYPART_ARC
(5,8),-1.02619 # DEPENDENCYPART_ARC
(5,13),-1.73593 # DEPENDENCYPART_ARC
(6,2),-2.60636 # DEPENDENCYPART_ARC
(6,3),-2.89572 # DEPENDENCYPART_ARC
(6,4),-2.35403 # DEPENDENCYPART_ARC
(6,5),-0.116532 # DEPENDENCYPART_ARC
(6,7),-0.536473 # DEPENDENCYPART_ARC
(6,8),-0.947432 # DEPENDENCYPART_ARC
(6,9),-1.65942 # DEPENDENCYPART_ARC
(6,11),-1.86083 # DEPENDENCYPART_ARC
(6,13),-1.84403 # DEPENDENCYPART_ARC
(6,16),-1.19012 # DEPENDENCYPART_ARC
(7,2),-1.02566 # DEPENDENCYPART_ARC
(7,3),-1.51078 # DEPENDENCYPART_ARC
(7,4),-1.28288 # DEPENDENCYPART_ARC
(7,5),0.803654 # DEPENDENCYPART_ARC
(7,6),1.72525 # DEPENDENCYPART_ARC
(7,8),-0.220492 # DEPENDENCYPART_ARC
(7,9),-1.38931 # DEPENDENCYPART_ARC
(7,11),-1.48721 # DEPENDENCYPART_ARC
(7,13),-1.75511 # DEPENDENCYPART_ARC
(7,16),-1.04013 # DEPENDENCYPART_ARC
(7,18),-1.85801 # DEPENDENCYPART_ARC
(7,19),-1.68054 # DEPENDENCYPART_ARC
(7,26),-1.99339 # DEPENDENCYPART_ARC
(7,27),-2.24793 # DEPENDENCYPART_ARC
(8,1),-0.519957 # DEPENDENCYPART_ARC
(8,2),-1.77477 # DEPENDENCYPART_ARC
(8,3),-1.76295 # DEPENDENCYPART_ARC
(8,4),-0.65139 # DEPENDENCYPART_ARC
(8,5),-0.55474 # DEPENDENCYPART_ARC
(8,6),-0.425103 # DEPENDENCYPART_ARC
(8,7),0.735079 # DEPENDENCYPART_ARC
(8,9),0.717887 # DEPENDENCYPART_ARC
(8,10),-0.850704 # DEPENDENCYPART_ARC
(8,11),-0.724429 # DEPENDENCYPART_ARC
(8,12),-0.998714 # DEPENDENCYPART_ARC
(8,13),-0.774725 # DEPENDENCYPART_ARC
(8,14),-1.39074 # DEPENDENCYPART_ARC
(8,15),-1.31002 # DEPENDENCYPART_ARC
(8,16),-0.566829 # DEPENDENCYPART_ARC
(8,17),-1.61064 # DEPENDENCYPART_ARC
(8,18),-1.51739 # DEPENDENCYPART_ARC
(8,19),-1.16705 # DEPENDENCYPART_ARC
(8,20),-2.44772 # DEPENDENCYPART_ARC
(8,24),-1.16532 # DEPENDENCYPART_ARC
(8,27),-0.979402 # DEPENDENCYPART_ARC
(9,1),-2.04929 # DEPENDENCYPART_ARC
(9,11),-0.795401 # DEPENDENCYPART_ARC
(9,12),-1.58954 # DEPENDENCYPART_ARC
(9,14),-1.99264 # DEPENDENCYPART_ARC
(9,16),-1.67437 # DEPENDENCYPART_ARC
(10,9),-0.574635 # DEPENDENCYPART_ARC
(11,2),-2.46891 # DEPENDENCYPART_ARC
(11,7),-1.6878 # DEPENDENCYPART_ARC
(11,8),-1.35004 # DEPENDENCYPART_ARC
(11,9),-0.917514 # DEPENDENCYPART_ARC
(11,10),1.4664 # DEPENDENCYPART_ARC
(11,12),-0.196536 # DEPENDENCYPART_ARC
(11,13),-0.791074 # DEPENDENCYPART_ARC
(11,14),-1.40557 # DEPENDENCYPART_ARC
(11,16),-1.24499 # DEPENDENCYPART_ARC
(11,18),-1.81413 # DEPENDENCYPART_ARC
(11,19),-1.49796 # DEPENDENCYPART_ARC
(11,20),-2.08891 # DEPENDENCYPART_ARC
(11,21),-2.05911 # DEPENDENCYPART_ARC
(11,24),-1.445 # DEPENDENCYPART_ARC
(11,26),-2.03765 # DEPENDENCYPART_ARC
(11,27),-1.88611 # DEPENDENCYPART_ARC
(13,1),-1.31187 # DEPENDENCYPART_ARC
(13,3),-2.0087 # DEPENDENCYPART_ARC
(13,4),-1.4837 # DEPENDENCYPART_ARC
(13,5),-1.22687 # DEPENDENCYPART_ARC
(13,6),-0.993228 # DEPENDENCYPART_ARC
(13,7),-0.921243 # DEPENDENCYPART_ARC
(13,8),-1.41413 # DEPENDENCYPART_ARC
(13,9),-0.308306 # DEPENDENCYPART_ARC
(13,10),-1.00306 # DEPENDENCYPART_ARC
(13,11),-0.30871 # DEPENDENCYPART_ARC
(13,12),0.759795 # DEPENDENCYPART_ARC
(13,14),0.451202 # DEPENDENCYPART_ARC
(13,15),0.379082 # DEPENDENCYPART_ARC
(13,16),-0.185045 # DEPENDENCYPART_ARC
(13,17),-0.254849 # DEPENDENCYPART_ARC
(13,18),-1.21174 # DEPENDENCYPART_ARC
(13,19),-1.17072 # DEPENDENCYPART_ARC
(13,20),-1.60912 # DEPENDENCYPART_ARC
(13,23),-1.77022 # DEPENDENCYPART_ARC
(13,24),-0.868882 # DEPENDENCYPART_ARC
(13,27),-1.0303 # DEPENDENCYPART_ARC
(14,9),-1.4656 # DEPENDENCYPART_ARC
(14,11),-1.28101 # DEPENDENCYPART_ARC
(14,12),-1.26739 # DEPENDENCYPART_ARC
(14,15),-0.456289 # DEPENDENCYPART_ARC
(14,17),-1.54717 # DEPENDENCYPART_ARC
(14,20),-2.22232 # DEPENDENCYPART_ARC
(15,10),-1.92312 # DEPENDENCYPART_ARC
(15,11),-1.65594 # DEPENDENCYPART_ARC
(15,12),-1.60927 # DEPENDENCYPART_ARC
(15,13),-1.20296 # DEPENDENCYPART_ARC
(15,14),0.79731 # DEPENDENCYPART_ARC
(15,17),-1.43528 # DEPENDENCYPART_ARC
(15,19),-1.90761 # DEPENDENCYPART_ARC
(15,20),-2.25252 # DEPENDENCYPART_ARC
(15,26),-2.47812 # DEPENDENCYPART_ARC
(16,1),-1.58262 # DEPENDENCYPART_ARC
(16,2),-1.83853 # DEPENDENCYPART_ARC
(16,3),-1.26578 # DEPENDENCYPART_ARC
(16,4),-0.940571 # DEPENDENCYPART_ARC
(16,5),-0.637086 # DEPENDENCYPART_ARC
(16,6),-0.873552 # DEPENDENCYPART_ARC
(16,7),-0.763822 # DEPENDENCYPART_ARC
(16,8),-1.06954 # DEPENDENCYPART_ARC
(16,9),-0.295163 # DEPENDENCYPART_ARC
(16,10),-0.923282 # DEPENDENCYPART_ARC
(16,11),-0.422019 # DEPENDENCYPART_ARC
(16,12),-0.653228 # DEPENDENCYPART_ARC
(16,13),-0.420307 # DEPENDENCYPART_ARC
(16,14),0.131608 # DEPENDENCYPART_ARC
(16,15),2.60132 # DEPENDENCYPART_ARC
(16,17),1.92367 # DEPENDENCYPART_ARC
(16,18),-0.744609 # DEPENDENCYPART_ARC
(16,19),-1.27999 # DEPENDENCYPART_ARC
(16,20),-1.74365 # DEPENDENCYPART_ARC
(16,21),-1.97912 # DEPENDENCYPART_ARC
(16,23),-2.13281 # DEPENDENCYPART_ARC
(16,24),-1.56738 # DEPENDENCYPART_ARC
(16,25),-1.83047 # DEPENDENCYPART_ARC
(16,26),-2.34279 # DEPENDENCYPART_ARC
(16,27),-2.36813 # DEPENDENCYPART_ARC
(17,12),-1.94926 # DEPENDENCYPART_ARC
(17,14),-1.60303 # DEPENDENCYPART_ARC
(17,15),-1.12516 # DEPENDENCYPART_ARC
(17,16),-0.305643 # DEPENDENCYPART_ARC
(17,18),-0.370869 # DEPENDENCYPART_ARC
(17,19),-1.67856 # DEPENDENCYPART_ARC
(17,20),-2.13528 # DEPENDENCYPART_ARC
(17,21),-2.36325 # DEPENDENCYPART_ARC
(17,23),-2.08954 # DEPENDENCYPART_ARC
(17,24),-1.83119 # DEPENDENCYPART_ARC
(17,26),-2.02998 # DEPENDENCYPART_ARC
(20,17),-1.75286 # DEPENDENCYPART_ARC
(20,18),-1.18941 # DEPENDENCYPART_ARC
(20,19),-0.0831761 # DEPENDENCYPART_ARC
(20,21),0.313087 # DEPENDENCYPART_ARC
(20,23),-0.3797 # DEPENDENCYPART_ARC
(20,24),-0.763363 # DEPENDENCYPART_ARC
(20,25),-1.08633 # DEPENDENCYPART_ARC
(20,26),-1.04016 # DEPENDENCYPART_ARC
(20,27),-0.644592 # DEPENDENCYPART_ARC
(21,23),-0.960947 # DEPENDENCYPART_ARC
(21,24),-0.713419 # DEPENDENCYPART_ARC
(21,27),-0.99865 # DEPENDENCYPART_ARC
(23,21),-0.881383 # DEPENDENCYPART_ARC
(23,22),0.323876 # DEPENDENCYPART_ARC
(23,25),-1.25937 # DEPENDENCYPART_ARC
(23,26),-1.65082 # DEPENDENCYPART_ARC
(24,1),-2.0545 # DEPENDENCYPART_ARC
(24,3),-1.82087 # DEPENDENCYPART_ARC
(24,4),-2.19297 # DEPENDENCYPART_ARC
(24,5),-1.91586 # DEPENDENCYPART_ARC
(24,6),-2.27189 # DEPENDENCYPART_ARC
(24,7),-2.20557 # DEPENDENCYPART_ARC
(24,8),-2.32285 # DEPENDENCYPART_ARC
(24,9),-1.17582 # DEPENDENCYPART_ARC
(24,10),-2.72325 # DEPENDENCYPART_ARC
(24,11),-1.75419 # DEPENDENCYPART_ARC
(24,12),-1.47529 # DEPENDENCYPART_ARC
(24,13),-1.78496 # DEPENDENCYPART_ARC
(24,14),-1.77033 # DEPENDENCYPART_ARC
(24,15),-0.852153 # DEPENDENCYPART_ARC
(24,16),-1.2111 # DEPENDENCYPART_ARC
(24,17),-1.21993 # DEPENDENCYPART_ARC
