# _root_ The Dutch unit , known as Celtona B.V. , is a leading maker of consumer and away-from-home tissue products for the Benelux region .
#goldHeads=3,3,10,3,3,5,8,6,3,0,13,13,10,13,16,19,16,19,14,19,23,23,20,10,
#predictedHeads=3,3,10,3,3,5,8,6,3,0,13,13,10,13,16,14,19,19,16,19,23,23,20,10,
(0,3),-2.51262 # DEPENDENCYPART_ARC
(0,5),-2.18445 # DEPENDENCYPART_ARC
(0,10),-2.15447 # DEPENDENCYPART_ARC
(0,12),-2.37774 # DEPENDENCYPART_ARC
(0,16),-2.00873 # DEPENDENCYPART_ARC
(1,2),-0.499043 # DEPENDENCYPART_ARC
(1,4),-1.18848 # DEPENDENCYPART_ARC
(1,5),-1.90834 # DEPENDENCYPART_ARC
(1,6),-2.0804 # DEPENDENCYPART_ARC
(2,1),-0.0845649 # DEPENDENCYPART_ARC
(2,3),-0.471569 # DEPENDENCYPART_ARC
(2,4),-1.13566 # DEPENDENCYPART_ARC
(2,5),-1.62541 # DEPENDENCYPART_ARC
(2,6),-1.89639 # DEPENDENCYPART_ARC
(2,8),-2.24625 # DEPENDENCYPART_ARC
(3,1),0.453998 # DEPENDENCYPART_ARC
(3,2),1.60974 # DEPENDENCYPART_ARC
(3,4),0.227025 # DEPENDENCYPART_ARC
(3,5),-1.48588 # DEPENDENCYPART_ARC
(3,6),-1.66282 # DEPENDENCYPART_ARC
(3,8),-1.77483 # DEPENDENCYPART_ARC
(3,9),-1.15441 # DEPENDENCYPART_ARC
(3,10),-2.04111 # DEPENDENCYPART_ARC
(3,11),-1.74428 # DEPENDENCYPART_ARC
(3,12),-2.05461 # DEPENDENCYPART_ARC
(3,13),-1.72927 # DEPENDENCYPART_ARC
(3,14),-2.02318 # DEPENDENCYPART_ARC
(3,24),-2.42348 # DEPENDENCYPART_ARC
(5,2),-1.77495 # DEPENDENCYPART_ARC
(5,3),-1.73172 # DEPENDENCYPART_ARC
(5,4),0.118269 # DEPENDENCYPART_ARC
(5,6),0.504413 # DEPENDENCYPART_ARC
(5,7),-0.979782 # DEPENDENCYPART_ARC
(5,8),-1.1356 # DEPENDENCYPART_ARC
(5,9),-1.37215 # DEPENDENCYPART_ARC
(5,10),-1.76386 # DEPENDENCYPART_ARC
(5,12),-2.30049 # DEPENDENCYPART_ARC
(5,24),-1.66963 # DEPENDENCYPART_ARC
(6,3),-1.712 # DEPENDENCYPART_ARC
(6,4),-1.12701 # DEPENDENCYPART_ARC
(6,5),-0.172268 # DEPENDENCYPART_ARC
(6,7),0.0100194 # DEPENDENCYPART_ARC
(6,8),-0.59674 # DEPENDENCYPART_ARC
(6,9),-1.21139 # DEPENDENCYPART_ARC
(6,10),-2.09284 # DEPENDENCYPART_ARC
(6,13),-3.11947 # DEPENDENCYPART_ARC
(6,16),-1.56331 # DEPENDENCYPART_ARC
(7,4),-3.13211 # DEPENDENCYPART_ARC
(7,5),-2.15421 # DEPENDENCYPART_ARC
(7,6),-1.35494 # DEPENDENCYPART_ARC
(7,8),-0.580934 # DEPENDENCYPART_ARC
(7,9),-1.50173 # DEPENDENCYPART_ARC
(7,10),-1.85034 # DEPENDENCYPART_ARC
(7,13),-1.96189 # DEPENDENCYPART_ARC
(8,1),-2.69619 # DEPENDENCYPART_ARC
(8,2),-2.40275 # DEPENDENCYPART_ARC
(8,3),-2.43252 # DEPENDENCYPART_ARC
(8,4),-1.94461 # DEPENDENCYPART_ARC
(8,5),-1.30612 # DEPENDENCYPART_ARC
(8,6),-1.11222 # DEPENDENCYPART_ARC
(8,7),1.56314 # DEPENDENCYPART_ARC
(8,9),0.195661 # DEPENDENCYPART_ARC
(8,10),-1.7653 # DEPENDENCYPART_ARC
(8,13),-1.53701 # DEPENDENCYPART_ARC
(8,14),-2.0819 # DEPENDENCYPART_ARC
(8,16),-1.41217 # DEPENDENCYPART_ARC
(8,24),-2.32419 # DEPENDENCYPART_ARC
(10,1),-1.5576 # DEPENDENCYPART_ARC
(10,2),-1.12614 # DEPENDENCYPART_ARC
(10,3),-0.820942 # DEPENDENCYPART_ARC
(10,4),-2.05346 # DEPENDENCYPART_ARC
(10,5),-1.14367 # DEPENDENCYPART_ARC
(10,6),-0.870083 # DEPENDENCYPART_ARC
(10,7),-1.61016 # DEPENDENCYPART_ARC
(10,8),-1.24135 # DEPENDENCYPART_ARC
(10,9),0.549442 # DEPENDENCYPART_ARC
(10,11),0.389148 # DEPENDENCYPART_ARC
(10,12),-0.114422 # DEPENDENCYPART_ARC
(10,13),-0.358499 # DEPENDENCYPART_ARC
(10,14),-1.27178 # DEPENDENCYPART_ARC
(10,15),-0.998174 # DEPENDENCYPART_ARC
(10,16),-0.544234 # DEPENDENCYPART_ARC
(10,17),-1.12607 # DEPENDENCYPART_ARC
(10,18),-1.48314 # DEPENDENCYPART_ARC
(10,19),-1.06741 # DEPENDENCYPART_ARC
