# _root_ In a statement prepared by lawyers for the university and Connaught , the parties said they agreed that as a result of reaching a C 415 million research accord , `` It is unnecessary that there be a judgment on the merits { of the case } at this time . ''
#goldHeads=15,3,1,3,4,5,4,9,10,7,10,15,14,15,0,17,15,33,33,21,19,21,22,29,29,25,25,29,23,33,33,33,17,33,37,37,33,39,37,39,42,40,42,42,46,44,42,37,50,48,15,15,
#predictedHeads=15,3,1,3,4,5,6,10,10,7,10,15,14,15,0,17,15,33,17,21,19,21,22,29,29,25,25,29,23,17,33,33,17,33,37,37,33,39,37,39,42,40,44,42,46,44,44,37,50,48,15,15,
(0,1),-1.68953 # DEPENDENCYPART_ARC
(0,3),-2.50578 # DEPENDENCYPART_ARC
(0,4),-2.02937 # DEPENDENCYPART_ARC
(0,15),-1.0714 # DEPENDENCYPART_ARC
(0,17),-3.04615 # DEPENDENCYPART_ARC
(0,33),-3.34714 # DEPENDENCYPART_ARC
(1,2),0.225556 # DEPENDENCYPART_ARC
(1,3),0.13831 # DEPENDENCYPART_ARC
(1,5),-1.19796 # DEPENDENCYPART_ARC
(1,6),-1.62271 # DEPENDENCYPART_ARC
(1,7),-1.16674 # DEPENDENCYPART_ARC
(1,10),-1.1503 # DEPENDENCYPART_ARC
(2,1),-0.517528 # DEPENDENCYPART_ARC
(2,4),-1.09658 # DEPENDENCYPART_ARC
(2,5),-1.38726 # DEPENDENCYPART_ARC
(3,1),-1.03607 # DEPENDENCYPART_ARC
(3,2),1.10813 # DEPENDENCYPART_ARC
(3,4),0.197811 # DEPENDENCYPART_ARC
(3,5),-0.790359 # DEPENDENCYPART_ARC
(3,6),-1.19898 # DEPENDENCYPART_ARC
(3,7),-0.994613 # DEPENDENCYPART_ARC
(3,8),-1.51802 # DEPENDENCYPART_ARC
(3,10),-0.751708 # DEPENDENCYPART_ARC
(3,12),-1.48254 # DEPENDENCYPART_ARC
(3,17),-1.8632 # DEPENDENCYPART_ARC
(4,1),-0.749827 # DEPENDENCYPART_ARC
(4,2),-1.34157 # DEPENDENCYPART_ARC
(4,3),-0.174457 # DEPENDENCYPART_ARC
(4,5),0.742431 # DEPENDENCYPART_ARC
(4,6),-0.84144 # DEPENDENCYPART_ARC
(4,7),-0.754182 # DEPENDENCYPART_ARC
(4,9),-1.52335 # DEPENDENCYPART_ARC
(4,10),-1.01017 # DEPENDENCYPART_ARC
(4,12),-1.69387 # DEPENDENCYPART_ARC
(4,15),-2.60887 # DEPENDENCYPART_ARC
(4,17),-2.36687 # DEPENDENCYPART_ARC
(5,1),-1.08062 # DEPENDENCYPART_ARC
(5,3),-1.17217 # DEPENDENCYPART_ARC
(5,4),-0.0882594 # DEPENDENCYPART_ARC
(5,6),0.615427 # DEPENDENCYPART_ARC
(5,7),-0.993587 # DEPENDENCYPART_ARC
(5,9),-1.30651 # DEPENDENCYPART_ARC
(5,10),-0.821503 # DEPENDENCYPART_ARC
(5,11),-1.82992 # DEPENDENCYPART_ARC
(6,1),-1.87698 # DEPENDENCYPART_ARC
(6,2),-1.90877 # DEPENDENCYPART_ARC
(6,3),-1.67656 # DEPENDENCYPART_ARC
(6,4),-1.09235 # DEPENDENCYPART_ARC
(6,5),-0.372136 # DEPENDENCYPART_ARC
(6,7),0.471491 # DEPENDENCYPART_ARC
(6,8),-1.29823 # DEPENDENCYPART_ARC
(6,9),-1.2478 # DEPENDENCYPART_ARC
(6,10),-0.951109 # DEPENDENCYPART_ARC
(6,11),-1.3131 # DEPENDENCYPART_ARC
(6,12),-1.40163 # DEPENDENCYPART_ARC
(6,14),-1.77164 # DEPENDENCYPART_ARC
(6,15),-1.72316 # DEPENDENCYPART_ARC
(6,17),-2.07044 # DEPENDENCYPART_ARC
(7,3),-1.66516 # DEPENDENCYPART_ARC
(7,5),-1.13853 # DEPENDENCYPART_ARC
(7,6),-0.504446 # DEPENDENCYPART_ARC
(7,8),-0.0912783 # DEPENDENCYPART_ARC
(7,9),0.146542 # DEPENDENCYPART_ARC
(7,10),-0.682411 # DEPENDENCYPART_ARC
(7,11),-0.85625 # DEPENDENCYPART_ARC
(7,14),-2.2317 # DEPENDENCYPART_ARC
(7,15),-2.23699 # DEPENDENCYPART_ARC
(8,9),-0.354665 # DEPENDENCYPART_ARC
(9,4),-1.95687 # DEPENDENCYPART_ARC
(9,6),-1.89764 # DEPENDENCYPART_ARC
(9,7),-1.45627 # DEPENDENCYPART_ARC
(9,8),0.518312 # DEPENDENCYPART_ARC
(9,11),-1.31981 # DEPENDENCYPART_ARC
(9,14),-2.06215 # DEPENDENCYPART_ARC
(9,15),-2.16528 # DEPENDENCYPART_ARC
(10,1),-0.908748 # DEPENDENCYPART_ARC
(10,2),-1.37591 # DEPENDENCYPART_ARC
(10,3),-0.803746 # DEPENDENCYPART_ARC
(10,4),-0.908959 # DEPENDENCYPART_ARC
(10,5),-1.07805 # DEPENDENCYPART_ARC
(10,6),-0.376185 # DEPENDENCYPART_ARC
(10,7),-0.776781 # DEPENDENCYPART_ARC
