# _root_ The sky filled with 12.8-pound shells , several of which fell back to Earth , destroying homes and buildings .
#goldHeads=2,3,0,3,6,4,6,9,11,9,6,11,11,13,11,11,18,16,18,3,
#predictedHeads=2,3,0,3,6,4,6,6,8,9,10,11,11,13,11,11,18,16,18,3,
(0,2),-2.09466 # DEPENDENCYPART_ARC
(0,3),-1.56125 # DEPENDENCYPART_ARC
(0,11),-3.13501 # DEPENDENCYPART_ARC
(0,16),-2.66759 # DEPENDENCYPART_ARC
(0,18),-2.06492 # DEPENDENCYPART_ARC
(1,3),-1.20821 # DEPENDENCYPART_ARC
(1,4),-1.46636 # DEPENDENCYPART_ARC
(2,1),1.34338 # DEPENDENCYPART_ARC
(2,3),0.116913 # DEPENDENCYPART_ARC
(2,4),-0.809517 # DEPENDENCYPART_ARC
(2,5),-1.33175 # DEPENDENCYPART_ARC
(2,6),-1.40784 # DEPENDENCYPART_ARC
(2,7),-1.58454 # DEPENDENCYPART_ARC
(2,8),-1.84316 # DEPENDENCYPART_ARC
(2,9),-2.21999 # DEPENDENCYPART_ARC
(2,11),-1.74369 # DEPENDENCYPART_ARC
(2,13),-1.65986 # DEPENDENCYPART_ARC
(2,15),-1.69509 # DEPENDENCYPART_ARC
(2,20),-1.76906 # DEPENDENCYPART_ARC
(3,1),-0.564841 # DEPENDENCYPART_ARC
(3,2),0.556654 # DEPENDENCYPART_ARC
(3,4),0.960419 # DEPENDENCYPART_ARC
(3,5),-0.673002 # DEPENDENCYPART_ARC
(3,6),-0.64481 # DEPENDENCYPART_ARC
(3,7),-1.00817 # DEPENDENCYPART_ARC
(3,8),-1.5174 # DEPENDENCYPART_ARC
(3,9),-1.79465 # DEPENDENCYPART_ARC
(3,11),-1.81618 # DEPENDENCYPART_ARC
(3,12),-1.72893 # DEPENDENCYPART_ARC
(3,13),-1.90829 # DEPENDENCYPART_ARC
(3,15),-1.56921 # DEPENDENCYPART_ARC
(3,16),-1.50874 # DEPENDENCYPART_ARC
(3,18),-0.901383 # DEPENDENCYPART_ARC
(3,20),-0.799044 # DEPENDENCYPART_ARC
(4,2),-1.50614 # DEPENDENCYPART_ARC
(4,5),-0.181808 # DEPENDENCYPART_ARC
(4,6),-0.268195 # DEPENDENCYPART_ARC
(4,7),-1.2118 # DEPENDENCYPART_ARC
(4,8),-1.73455 # DEPENDENCYPART_ARC
(4,9),-1.91704 # DEPENDENCYPART_ARC
(4,11),-1.68929 # DEPENDENCYPART_ARC
(4,12),-2.02523 # DEPENDENCYPART_ARC
(4,13),-2.25884 # DEPENDENCYPART_ARC
(4,18),-0.982073 # DEPENDENCYPART_ARC
(5,2),-1.42434 # DEPENDENCYPART_ARC
(5,4),-0.366194 # DEPENDENCYPART_ARC
(5,6),-0.5513 # DEPENDENCYPART_ARC
(5,7),-1.27724 # DEPENDENCYPART_ARC
(5,8),-1.74947 # DEPENDENCYPART_ARC
(5,9),-1.93718 # DEPENDENCYPART_ARC
(6,1),-1.70231 # DEPENDENCYPART_ARC
(6,2),-1.29327 # DEPENDENCYPART_ARC
(6,3),-0.98816 # DEPENDENCYPART_ARC
(6,4),-0.740059 # DEPENDENCYPART_ARC
(6,5),1.51346 # DEPENDENCYPART_ARC
(6,7),0.290034 # DEPENDENCYPART_ARC
(6,8),-1.43062 # DEPENDENCYPART_ARC
(6,9),-1.6699 # DEPENDENCYPART_ARC
(6,11),-1.53837 # DEPENDENCYPART_ARC
(6,12),-1.74638 # DEPENDENCYPART_ARC
(6,13),-1.84169 # DEPENDENCYPART_ARC
(6,14),-1.7484 # DEPENDENCYPART_ARC
(6,15),-1.1355 # DEPENDENCYPART_ARC
(6,16),-1.96095 # DEPENDENCYPART_ARC
(6,18),-1.18786 # DEPENDENCYPART_ARC
(6,20),-1.89232 # DEPENDENCYPART_ARC
(8,2),-1.61181 # DEPENDENCYPART_ARC
(8,4),-1.49087 # DEPENDENCYPART_ARC
(8,5),-1.43021 # DEPENDENCYPART_ARC
(8,6),-1.17399 # DEPENDENCYPART_ARC
(8,7),0.108309 # DEPENDENCYPART_ARC
(8,9),0.474857 # DEPENDENCYPART_ARC
(8,11),-0.573691 # DEPENDENCYPART_ARC
(8,12),-0.927519 # DEPENDENCYPART_ARC
(8,14),-1.22904 # DEPENDENCYPART_ARC
(8,15),-0.854832 # DEPENDENCYPART_ARC
(8,18),-1.01291 # DEPENDENCYPART_ARC
(8,20),-1.52239 # DEPENDENCYPART_ARC
(9,4),-1.5687 # DEPENDENCYPART_ARC
(9,6),-1.4987 # DEPENDENCYPART_ARC
(9,7),-0.93707 # DEPENDENCYPART_ARC
(9,8),0.102126 # DEPENDENCYPART_ARC
(9,10),0.698178 # DEPENDENCYPART_ARC
(9,11),-0.500157 # DEPENDENCYPART_ARC
(9,12),-1.15326 # DEPENDENCYPART_ARC
(9,13),-1.20497 # DEPENDENCYPART_ARC
(9,14),-1.25622 # DEPENDENCYPART_ARC
(9,18),-1.35372 # DEPENDENCYPART_ARC
(9,20),-1.60395 # DEPENDENCYPART_ARC
(10,11),0.0834488 # DEPENDENCYPART_ARC
(11,2),-2.47369 # DEPENDENCYPART_ARC
(11,3),-1.69741 # DEPENDENCYPART_ARC
(11,4),-1.61303 # DEPENDENCYPART_ARC
(11,5),-1.95411 # DEPENDENCYPART_ARC
(11,6),-2.346 # DEPENDENCYPART_ARC
(11,7),-1.46448 # DEPENDENCYPART_ARC
(11,8),-1.23413 # DEPENDENCYPART_ARC
(11,9),-0.488829 # DEPENDENCYPART_ARC
(11,10),0.214021 # DEPENDENCYPART_ARC
(11,12),0.691375 # DEPENDENCYPART_ARC
(11,13),-0.235214 # DEPENDENCYPART_ARC
(11,14),-0.337659 # DEPENDENCYPART_ARC
(11,15),-0.881049 # DEPENDENCYPART_ARC
(11,16),-1.31809 # DEPENDENCYPART_ARC
(11,17),-2.01139 # DEPENDENCYPART_ARC
(11,18),-0.928612 # DEPENDENCYPART_ARC
(11,19),-2.18242 # DEPENDENCYPART_ARC
(11,20),-1.76966 # DEPENDENCYPART_ARC
(12,2),-1.98032 # DEPENDENCYPART_ARC
(12,4),-2.16012 # DEPENDENCYPART_ARC
(12,6),-2.13956 # DEPENDENCYPART_ARC
(12,7),-1.73008 # DEPENDENCYPART_ARC
(12,8),-1.73095 # DEPENDENCYPART_ARC
(12,9),-1.39794 # DEPENDENCYPART_ARC
(12,13),0.169116 # DEPENDENCYPART_ARC
(12,14),-0.782524 # DEPENDENCYPART_ARC
(12,15),-1.02228 # DEPENDENCYPART_ARC
(12,17),-1.77363 # DEPENDENCYPART_ARC
(12,19),-1.93047 # DEPENDENCYPART_ARC
(13,12),0.0114733 # DEPENDENCYPART_ARC
(13,14),0.541865 # DEPENDENCYPART_ARC
(13,15),-0.741884 # DEPENDENCYPART_ARC
(13,16),-1.59037 # DEPENDENCYPART_ARC
(13,17),-2.05911 # DEPENDENCYPART_ARC
(13,18),-1.56914 # DEPENDENCYPART_ARC
(13,19),-2.39063 # DEPENDENCYPART_ARC
(14,5),-2.30978 # DEPENDENCYPART_ARC
(14,8),-2.00091 # DEPENDENCYPART_ARC
(14,9),-1.2187 # DEPENDENCYPART_ARC
(14,10),-1.52557 # DEPENDENCYPART_ARC
(14,11),-1.01269 # DEPENDENCYPART_ARC
(14,12),-0.441167 # DEPENDENCYPART_ARC
(14,13),0.277531 # DEPENDENCYPART_ARC
(14,15),0.105165 # DEPENDENCYPART_ARC
(14,16),-1.54334 # DEPENDENCYPART_ARC
(14,17),-1.55359 # DEPENDENCYPART_ARC
(14,18),-1.52431 # DEPENDENCYPART_ARC
(14,19),-1.68308 # DEPENDENCYPART_ARC
(14,20),-1.90303 # DEPENDENCYPART_ARC
(15,16),-0.349554 # DEPENDENCYPART_ARC
(16,3),-2.13245 # DEPENDENCYPART_ARC
(16,6),-1.68044 # DEPENDENCYPART_ARC
(16,14),-2.16639 # DEPENDENCYPART_ARC
(16,15),-0.0376951 # DEPENDENCYPART_ARC
(16,17),0.428884 # DEPENDENCYPART_ARC
(16,18),-0.766835 # DEPENDENCYPART_ARC
(16,19),-0.843204 # DEPENDENCYPART_ARC
(16,20),-0.769476 # DEPENDENCYPART_ARC
(17,12),-2.34574 # DEPENDENCYPART_ARC
(17,13),-2.47079 # DEPENDENCYPART_ARC
(17,14),-2.13214 # DEPENDENCYPART_ARC
(17,16),0.363547 # DEPENDENCYPART_ARC
(17,19),-1.41097 # DEPENDENCYPART_ARC
(18,1),-2.39339 # DEPENDENCYPART_ARC
(18,2),-1.18192 # DEPENDENCYPART_ARC
(18,3),-1.80469 # DEPENDENCYPART_ARC
(18,4),-1.07786 # DEPENDENCYPART_ARC
(18,5),-1.401 # DEPENDENCYPART_ARC
(18,6),-0.781798 # DEPENDENCYPART_ARC
(18,7),-1.92652 # DEPENDENCYPART_ARC
(18,8),-1.73112 # DEPENDENCYPART_ARC
(18,9),-1.09356 # DEPENDENCYPART_ARC
(18,10),-1.68583 # DEPENDENCYPART_ARC
(18,11),-1.40578 # DEPENDENCYPART_ARC
(18,12),-1.43125 # DEPENDENCYPART_ARC
(18,13),-1.59539 # DEPENDENCYPART_ARC
(18,14),-0.71781 # DEPENDENCYPART_ARC
(18,15),-0.589396 # DEPENDENCYPART_ARC
(18,16),-0.315087 # DEPENDENCYPART_ARC
(18,17),2.28285 # DEPENDENCYPART_ARC
(18,19),1.83459 # DEPENDENCYPART_ARC
(18,20),-0.953127 # DEPENDENCYPART_ARC
