# _root_ Sales growth of 10 % a year seems possible , he said , and Akzo expects its Twaron business to become profitable in 1990 .
#goldHeads=2,8,2,5,3,7,5,14,8,12,12,14,12,0,16,14,19,19,21,21,16,21,21,23,14,
#predictedHeads=2,14,2,5,3,7,8,14,8,12,12,14,12,0,16,14,19,19,16,21,16,21,21,23,14,
(0,2),-2.52705 # DEPENDENCYPART_ARC
(0,8),-2.38116 # DEPENDENCYPART_ARC
(0,12),-2.23934 # DEPENDENCYPART_ARC
(0,14),-1.73968 # DEPENDENCYPART_ARC
(0,16),-2.44298 # DEPENDENCYPART_ARC
(0,21),-3.16353 # DEPENDENCYPART_ARC
(1,2),-0.576347 # DEPENDENCYPART_ARC
(1,3),-0.864441 # DEPENDENCYPART_ARC
(1,4),-1.60561 # DEPENDENCYPART_ARC
(1,5),-1.67844 # DEPENDENCYPART_ARC
(1,8),-1.28176 # DEPENDENCYPART_ARC
(1,9),-1.63025 # DEPENDENCYPART_ARC
(1,10),-1.99855 # DEPENDENCYPART_ARC
(1,13),-2.229 # DEPENDENCYPART_ARC
(2,1),1.83951 # DEPENDENCYPART_ARC
(2,3),0.351614 # DEPENDENCYPART_ARC
(2,4),-0.960274 # DEPENDENCYPART_ARC
(2,5),-0.990784 # DEPENDENCYPART_ARC
(2,6),-1.38565 # DEPENDENCYPART_ARC
(2,7),-1.36353 # DEPENDENCYPART_ARC
(2,8),-1.09168 # DEPENDENCYPART_ARC
(2,9),-1.22109 # DEPENDENCYPART_ARC
(2,10),-1.33962 # DEPENDENCYPART_ARC
(2,12),-2.02872 # DEPENDENCYPART_ARC
(2,13),-1.44823 # DEPENDENCYPART_ARC
(2,14),-1.15027 # DEPENDENCYPART_ARC
(2,15),-1.57887 # DEPENDENCYPART_ARC
(2,16),-2.03841 # DEPENDENCYPART_ARC
(2,22),-1.41075 # DEPENDENCYPART_ARC
(2,23),-1.65569 # DEPENDENCYPART_ARC
(2,25),-1.81949 # DEPENDENCYPART_ARC
(3,1),-1.18153 # DEPENDENCYPART_ARC
(3,2),-0.230295 # DEPENDENCYPART_ARC
(3,4),-0.141762 # DEPENDENCYPART_ARC
(3,5),0.0148482 # DEPENDENCYPART_ARC
(3,7),-1.09727 # DEPENDENCYPART_ARC
(3,8),-1.44214 # DEPENDENCYPART_ARC
(3,9),-1.29827 # DEPENDENCYPART_ARC
(3,12),-2.25184 # DEPENDENCYPART_ARC
(3,14),-1.22639 # DEPENDENCYPART_ARC
(4,3),-0.591703 # DEPENDENCYPART_ARC
(4,5),-0.224819 # DEPENDENCYPART_ARC
(4,6),-1.09117 # DEPENDENCYPART_ARC
(4,7),-1.34341 # DEPENDENCYPART_ARC
(4,8),-1.26417 # DEPENDENCYPART_ARC
(5,1),-0.982917 # DEPENDENCYPART_ARC
(5,2),-1.27648 # DEPENDENCYPART_ARC
(5,3),-0.440403 # DEPENDENCYPART_ARC
(5,4),0.990295 # DEPENDENCYPART_ARC
(5,6),-0.364263 # DEPENDENCYPART_ARC
(5,7),-0.794707 # DEPENDENCYPART_ARC
(5,8),-0.764376 # DEPENDENCYPART_ARC
(5,9),-1.262 # DEPENDENCYPART_ARC
(5,10),-1.45395 # DEPENDENCYPART_ARC
(5,12),-1.98284 # DEPENDENCYPART_ARC
(5,13),-1.61221 # DEPENDENCYPART_ARC
(5,14),-1.18793 # DEPENDENCYPART_ARC
(5,15),-1.41792 # DEPENDENCYPART_ARC
(5,16),-1.96812 # DEPENDENCYPART_ARC
(5,19),-1.44385 # DEPENDENCYPART_ARC
(5,22),-1.50337 # DEPENDENCYPART_ARC
(5,25),-1.69271 # DEPENDENCYPART_ARC
(7,2),-1.82335 # DEPENDENCYPART_ARC
(7,3),-0.988509 # DEPENDENCYPART_ARC
(7,4),-1.21725 # DEPENDENCYPART_ARC
(7,5),-0.780961 # DEPENDENCYPART_ARC
(7,6),1.07263 # DEPENDENCYPART_ARC
(7,8),-0.397116 # DEPENDENCYPART_ARC
(7,9),-1.40744 # DEPENDENCYPART_ARC
(7,13),-1.9581 # DEPENDENCYPART_ARC
(7,16),-2.43104 # DEPENDENCYPART_ARC
(8,1),-0.517911 # DEPENDENCYPART_ARC
(8,2),-0.449768 # DEPENDENCYPART_ARC
(8,3),-0.777321 # DEPENDENCYPART_ARC
(8,4),-1.09107 # DEPENDENCYPART_ARC
(8,5),-0.355919 # DEPENDENCYPART_ARC
(8,6),-0.445033 # DEPENDENCYPART_ARC
(8,7),0.832497 # DEPENDENCYPART_ARC
(8,9),0.61923 # DEPENDENCYPART_ARC
(8,10),-0.609996 # DEPENDENCYPART_ARC
(8,12),-1.58629 # DEPENDENCYPART_ARC
(8,13),-1.43388 # DEPENDENCYPART_ARC
(8,14),-0.781819 # DEPENDENCYPART_ARC
(8,15),-1.75677 # DEPENDENCYPART_ARC
(8,16),-1.80389 # DEPENDENCYPART_ARC
(8,19),-1.60998 # DEPENDENCYPART_ARC
(8,21),-1.73654 # DEPENDENCYPART_ARC
(8,23),-1.72776 # DEPENDENCYPART_ARC
(8,25),-1.32834 # DEPENDENCYPART_ARC
(9,2),-1.2394 # DEPENDENCYPART_ARC
(9,3),-1.01915 # DEPENDENCYPART_ARC
(9,5),-1.10758 # DEPENDENCYPART_ARC
(9,6),-1.20268 # DEPENDENCYPART_ARC
(9,7),-0.965687 # DEPENDENCYPART_ARC
(9,10),-0.222675 # DEPENDENCYPART_ARC
(9,12),-1.49762 # DEPENDENCYPART_ARC
(9,14),-1.30742 # DEPENDENCYPART_ARC
(9,15),-1.75445 # DEPENDENCYPART_ARC
(9,16),-1.58749 # DEPENDENCYPART_ARC
(9,21),-1.55819 # DEPENDENCYPART_ARC
(11,10),0.120373 # DEPENDENCYPART_ARC
(11,12),0.125292 # DEPENDENCYPART_ARC
(11,15),-1.71778 # DEPENDENCYPART_ARC
(12,2),-2.12438 # DEPENDENCYPART_ARC
(12,3),-1.75106 # DEPENDENCYPART_ARC
(12,4),-1.79665 # DEPENDENCYPART_ARC
(12,5),-2.08273 # DEPENDENCYPART_ARC
(12,6),-1.82407 # DEPENDENCYPART_ARC
(12,7),-2.0728 # DEPENDENCYPART_ARC
(12,8),-1.23946 # DEPENDENCYPART_ARC
(12,9),-1.37828 # DEPENDENCYPART_ARC
(12,10),-0.0765739 # DEPENDENCYPART_ARC
(12,11),1.0962 # DEPENDENCYPART_ARC
(12,13),0.394484 # DEPENDENCYPART_ARC
(12,14),-1.44643 # DEPENDENCYPART_ARC
(12,15),-2.04499 # DEPENDENCYPART_ARC
(12,16),-1.65443 # DEPENDENCYPART_ARC
(12,20),-2.19227 # DEPENDENCYPART_ARC
(12,21),-1.83288 # DEPENDENCYPART_ARC
(12,22),-2.04201 # DEPENDENCYPART_ARC
(12,25),-1.3464 # DEPENDENCYPART_ARC
(14,1),-0.953974 # DEPENDENCYPART_ARC
(14,2),-1.01892 # DEPENDENCYPART_ARC
(14,3),-0.738928 # DEPENDENCYPART_ARC
(14,4),-0.823104 # DEPENDENCYPART_ARC
(14,5),-0.74246 # DEPENDENCYPART_ARC
(14,6),-1.17973 # DEPENDENCYPART_ARC
(14,7),-0.849304 # DEPENDENCYPART_ARC
(14,8),-0.902037 # DEPENDENCYPART_ARC
(14,9),-0.883406 # DEPENDENCYPART_ARC
(14,10),-1.29883 # DEPENDENCYPART_ARC
(14,11),-1.09334 # DEPENDENCYPART_ARC
(14,12),-0.589105 # DEPENDENCYPART_ARC
(14,13),1.45411 # DEPENDENCYPART_ARC
(14,15),0.557402 # DEPENDENCYPART_ARC
(14,16),0.200706 # DEPENDENCYPART_ARC
(14,18),-1.41664 # DEPENDENCYPART_ARC
(14,19),-1.54601 # DEPENDENCYPART_ARC
(14,20),-1.64219 # DEPENDENCYPART_ARC
(14,21),-1.6982 # DEPENDENCYPART_ARC
(14,22),-1.54393 # DEPENDENCYPART_ARC
(14,23),-1.53134 # DEPENDENCYPART_ARC
(14,25),0.00494193 # DEPENDENCYPART_ARC
(15,16),-0.408969 # DEPENDENCYPART_ARC
(15,19),-1.727 # DEPENDENCYPART_ARC
(16,1),-1.0453 # DEPENDENCYPART_ARC
(16,2),-1.00162 # DEPENDENCYPART_ARC
(16,3),-1.57781 # DEPENDENCYPART_ARC
(16,4),-1.38917 # DEPENDENCYPART_ARC
(16,5),-1.12188 # DEPENDENCYPART_ARC
(16,6),-1.32544 # DEPENDENCYPART_ARC
(16,7),-0.887013 # DEPENDENCYPART_ARC
(16,8),-1.38088 # DEPENDENCYPART_ARC
(16,9),-1.31514 # DEPENDENCYPART_ARC
(16,10),-1.94306 # DEPENDENCYPART_ARC
(16,11),-2.02064 # DEPENDENCYPART_ARC
(16,12),-1.22538 # DEPENDENCYPART_ARC
(16,13),-0.889562 # DEPENDENCYPART_ARC
(16,14),-0.410906 # DEPENDENCYPART_ARC
(16,15),0.858358 # DEPENDENCYPART_ARC
(16,18),-0.0896403 # DEPENDENCYPART_ARC
(16,19),-0.209659 # DEPENDENCYPART_ARC
(16,20),-0.664805 # DEPENDENCYPART_ARC
(16,21),-0.54496 # DEPENDENCYPART_ARC
(16,22),-1.00619 # DEPENDENCYPART_ARC
(16,23),-1.03125 # DEPENDENCYPART_ARC
(16,25),-0.338425 # DEPENDENCYPART_ARC
(18,17),-0.75233 # DEPENDENCYPART_ARC
(18,19),-0.636298 # DEPENDENCYPART_ARC
(18,21),-1.17604 # DEPENDENCYPART_ARC
(19,6),-1.39115 # DEPENDENCYPART_ARC
(19,9),-1.66291 # DEPENDENCYPART_ARC
(19,12),-1.97182 # DEPENDENCYPART_ARC
(19,13),-1.77027 # DEPENDENCYPART_ARC
(19,14),-0.848559 # DEPENDENCYPART_ARC
(19,15),-1.01679 # DEPENDENCYPART_ARC
(19,17),0.0768337 # DEPENDENCYPART_ARC
(19,18),1.65382 # DEPENDENCYPART_ARC
(19,20),-0.250069 # DEPENDENCYPART_ARC
(19,21),-0.854975 # DEPENDENCYPART_ARC
(19,22),-1.3449 # DEPENDENCYPART_ARC
(19,23),-1.43674 # DEPENDENCYPART_ARC
(19,24),-1.7975 # DEPENDENCYPART_ARC
(19,25),-1.26587 # DEPENDENCYPART_ARC
(20,19),-0.214709 # DEPENDENCYPART_ARC
(20,21),-0.353188 # DEPENDENCYPART_ARC
(20,22),-1.28863 # DEPENDENCYPART_ARC
(20,23),-1.57488 # DEPENDENCYPART_ARC
(20,24),-1.7083 # DEPENDENCYPART_ARC
(21,7),-1.76772 # DEPENDENCYPART_ARC
(21,10),-2.54791 # DEPENDENCYPART_ARC
(21,13),-1.94095 # DEPENDENCYPART_ARC
(21,14),-0.939273 # DEPENDENCYPART_ARC
(21,15),-1.24024 # DEPENDENCYPART_ARC
(21,16),-1.69368 # DEPENDENCYPART_ARC
(21,18),-0.918773 # DEPENDENCYPART_ARC
(21,19),-0.747751 # DEPENDENCYPART_ARC
(21,20),1.08845 # DEPENDENCYPART_ARC
(21,22),0.653534 # DEPENDENCYPART_ARC
(21,23),-0.282831 # DEPENDENCYPART_ARC
(21,24),-1.03666 # DEPENDENCYPART_ARC
(21,25),-0.619582 # DEPENDENCYPART_ARC
(22,18),-1.28906 # DEPENDENCYPART_ARC
(22,19),-1.21817 # DEPENDENCYPART_ARC
(22,20),-1.10809 # DEPENDENCYPART_ARC
(22,21),0.00337907 # DEPENDENCYPART_ARC
(22,23),0.110472 # DEPENDENCYPART_ARC
(22,24),-0.770828 # DEPENDENCYPART_ARC
(22,25),-0.815419 # DEPENDENCYPART_ARC
(23,19),-1.65289 # DEPENDENCYPART_ARC
(23,20),-1.53403 # DEPENDENCYPART_ARC
(23,22),-0.0992968 # DEPENDENCYPART_ARC
(23,24),0.684881 # DEPENDENCYPART_ARC
(23,25),-0.792421 # DEPENDENCYPART_ARC
(24,22),-1.04096 # DEPENDENCYPART_ARC
(24,23),-0.18939 # DEPENDENCYPART_ARC
(25,23),-0.985598 # DEPENDENCYPART_ARC
(0,2),(0,8),-0.097958 # DEPENDENCYPART_SIBL
(0,2),(0,12),-0.109287 # DEPENDENCYPART_SIBL
(0,2),(0,14),-0.0916131 # DEPENDENCYPART_SIBL
(0,2),(0,16),-0.0923353 # DEPENDENCYPART_SIBL
(0,2),(0,21),-0.0949827 # DEPENDENCYPART_SIBL
(0,8),(0,12),-0.190149 # DEPENDENCYPART_SIBL
(0,8),(0,14),-0.131733 # DEPENDENCYPART_SIBL
(0,8),(0,16),-0.16537 # DEPENDENCYPART_SIBL
(0,8),(0,21),-0.166446 # DEPENDENCYPART_SIBL
(0,12),(0,14),-0.14477 # DEPENDENCYPART_SIBL
(0,12),(0,16),-0.171903 # DEPENDENCYPART_SIBL
(0,12),(0,21),-0.172536 # DEPENDENCYPART_SIBL
(0,14),(0,16),-0.133165 # DEPENDENCYPART_SIBL
(0,14),(0,21),-0.128059 # DEPENDENCYPART_SIBL
(0,16),(0,21),-0.166466 # DEPENDENCYPART_SIBL
(1,2),(1,3),-0.00774163 # DEPENDENCYPART_SIBL
(1,2),(1,4),-0.00938093 # DEPENDENCYPART_SIBL
(1,2),(1,5),-0.0203771 # DEPENDENCYPART_SIBL
(1,2),(1,8),-0.0206669 # DEPENDENCYPART_SIBL
(1,2),(1,9),0.00196995 # DEPENDENCYPART_SIBL
(1,2),(1,10),-0.0167611 # DEPENDENCYPART_SIBL
