# _root_ Mr. Shilling , who was Merrill Lynch 's chief economist from 1967 to 1971 , has heralded a recession for months .
#goldHeads=2,16,2,5,2,7,10,7,10,5,5,11,11,13,2,0,16,19,17,17,20,16,
#predictedHeads=2,16,2,5,2,7,10,7,10,5,5,11,11,13,2,0,16,19,17,19,20,16,
(0,1),-1.65344 # DEPENDENCYPART_ARC
(0,2),-2.43739 # DEPENDENCYPART_ARC
(0,5),-2.54239 # DEPENDENCYPART_ARC
(0,13),-3.049 # DEPENDENCYPART_ARC
(0,16),-1.90196 # DEPENDENCYPART_ARC
(0,17),-2.5868 # DEPENDENCYPART_ARC
(1,2),-0.869837 # DEPENDENCYPART_ARC
(1,3),-1.67716 # DEPENDENCYPART_ARC
(1,5),-1.87836 # DEPENDENCYPART_ARC
(1,10),-2.54109 # DEPENDENCYPART_ARC
(1,15),-2.2108 # DEPENDENCYPART_ARC
(1,22),-2.53236 # DEPENDENCYPART_ARC
(2,1),1.7107 # DEPENDENCYPART_ARC
(2,3),0.533992 # DEPENDENCYPART_ARC
(2,5),-1.6238 # DEPENDENCYPART_ARC
(2,6),-1.79878 # DEPENDENCYPART_ARC
(2,7),-2.00997 # DEPENDENCYPART_ARC
(2,8),-2.11574 # DEPENDENCYPART_ARC
(2,9),-2.06662 # DEPENDENCYPART_ARC
(2,10),-2.0182 # DEPENDENCYPART_ARC
(2,11),-2.46247 # DEPENDENCYPART_ARC
(2,15),-1.42829 # DEPENDENCYPART_ARC
(2,16),-2.12829 # DEPENDENCYPART_ARC
(2,19),-2.06774 # DEPENDENCYPART_ARC
(2,20),-1.99558 # DEPENDENCYPART_ARC
(2,22),-2.04863 # DEPENDENCYPART_ARC
(5,2),-2.72328 # DEPENDENCYPART_ARC
(5,3),-1.32772 # DEPENDENCYPART_ARC
(5,4),0.458392 # DEPENDENCYPART_ARC
(5,6),0.496717 # DEPENDENCYPART_ARC
(5,7),-0.0432412 # DEPENDENCYPART_ARC
(5,9),-0.637863 # DEPENDENCYPART_ARC
(5,10),-0.422406 # DEPENDENCYPART_ARC
(5,11),-0.879395 # DEPENDENCYPART_ARC
(5,13),-1.32122 # DEPENDENCYPART_ARC
(5,15),-1.23363 # DEPENDENCYPART_ARC
(5,16),-1.9603 # DEPENDENCYPART_ARC
(5,17),-1.91774 # DEPENDENCYPART_ARC
(5,20),-2.43407 # DEPENDENCYPART_ARC
(5,22),-0.301712 # DEPENDENCYPART_ARC
(6,4),-2.18305 # DEPENDENCYPART_ARC
(6,5),-1.07613 # DEPENDENCYPART_ARC
(6,7),-0.60272 # DEPENDENCYPART_ARC
(6,8),-1.22111 # DEPENDENCYPART_ARC
(6,11),-1.53129 # DEPENDENCYPART_ARC
(6,12),-2.14115 # DEPENDENCYPART_ARC
(7,1),-1.80188 # DEPENDENCYPART_ARC
(7,2),-2.12728 # DEPENDENCYPART_ARC
(7,3),-2.01069 # DEPENDENCYPART_ARC
(7,4),-1.39939 # DEPENDENCYPART_ARC
(7,5),-0.883258 # DEPENDENCYPART_ARC
(7,6),2.15026 # DEPENDENCYPART_ARC
(7,8),0.91324 # DEPENDENCYPART_ARC
(7,9),-1.22392 # DEPENDENCYPART_ARC
(7,10),-1.36125 # DEPENDENCYPART_ARC
(7,11),-1.42191 # DEPENDENCYPART_ARC
(7,12),-1.84689 # DEPENDENCYPART_ARC
(7,14),-1.83406 # DEPENDENCYPART_ARC
(7,15),-1.80469 # DEPENDENCYPART_ARC
(7,16),-1.90024 # DEPENDENCYPART_ARC
(7,22),-2.17668 # DEPENDENCYPART_ARC
(9,2),-3.33553 # DEPENDENCYPART_ARC
(9,4),-2.08611 # DEPENDENCYPART_ARC
(9,5),-1.8608 # DEPENDENCYPART_ARC
(9,6),-1.26277 # DEPENDENCYPART_ARC
(9,7),-0.614867 # DEPENDENCYPART_ARC
(9,8),-0.666637 # DEPENDENCYPART_ARC
(9,10),-0.529967 # DEPENDENCYPART_ARC
(9,11),-1.17805 # DEPENDENCYPART_ARC
(9,12),-1.83079 # DEPENDENCYPART_ARC
(9,13),-1.7494 # DEPENDENCYPART_ARC
(9,14),-2.02874 # DEPENDENCYPART_ARC
(10,1),-1.84082 # DEPENDENCYPART_ARC
(10,2),-2.45222 # DEPENDENCYPART_ARC
(10,3),-1.92077 # DEPENDENCYPART_ARC
(10,4),-1.51569 # DEPENDENCYPART_ARC
(10,5),-0.998878 # DEPENDENCYPART_ARC
(10,6),0.183711 # DEPENDENCYPART_ARC
(10,7),-0.118247 # DEPENDENCYPART_ARC
(10,8),-0.827841 # DEPENDENCYPART_ARC
(10,9),1.8858 # DEPENDENCYPART_ARC
(10,11),-0.169102 # DEPENDENCYPART_ARC
(10,12),-1.30166 # DEPENDENCYPART_ARC
(10,13),-1.59379 # DEPENDENCYPART_ARC
(10,14),-1.76452 # DEPENDENCYPART_ARC
(10,15),-1.94028 # DEPENDENCYPART_ARC
(10,16),-2.06652 # DEPENDENCYPART_ARC
(10,17),-2.49999 # DEPENDENCYPART_ARC
(10,19),-1.59725 # DEPENDENCYPART_ARC
(10,20),-1.97703 # DEPENDENCYPART_ARC
(10,22),-2.22231 # DEPENDENCYPART_ARC
(11,4),-1.32951 # DEPENDENCYPART_ARC
(11,10),-0.630719 # DEPENDENCYPART_ARC
(11,12),0.302771 # DEPENDENCYPART_ARC
(11,13),-0.445611 # DEPENDENCYPART_ARC
(11,14),-1.18282 # DEPENDENCYPART_ARC
(11,15),-1.20725 # DEPENDENCYPART_ARC
(11,16),-1.95912 # DEPENDENCYPART_ARC
(11,19),-2.79853 # DEPENDENCYPART_ARC
(11,20),-1.76127 # DEPENDENCYPART_ARC
(12,9),-1.4443 # DEPENDENCYPART_ARC
(12,10),-1.42668 # DEPENDENCYPART_ARC
(12,11),-0.331332 # DEPENDENCYPART_ARC
(12,13),-0.159295 # DEPENDENCYPART_ARC
(12,14),-1.29408 # DEPENDENCYPART_ARC
(12,15),-1.1517 # DEPENDENCYPART_ARC
(12,16),-1.63489 # DEPENDENCYPART_ARC
(12,17),-1.926 # DEPENDENCYPART_ARC
(12,19),-2.105 # DEPENDENCYPART_ARC
(13,4),-1.32353 # DEPENDENCYPART_ARC
(13,12),-0.24806 # DEPENDENCYPART_ARC
(13,14),0.189097 # DEPENDENCYPART_ARC
(13,15),-0.92249 # DEPENDENCYPART_ARC
(13,16),-1.61288 # DEPENDENCYPART_ARC
(13,19),-2.66527 # DEPENDENCYPART_ARC
(14,9),-1.15941 # DEPENDENCYPART_ARC
(14,10),-1.04193 # DEPENDENCYPART_ARC
(14,11),-0.94213 # DEPENDENCYPART_ARC
(14,12),-0.611994 # DEPENDENCYPART_ARC
