# _root_ `` It 's the whole uncertainty about what 's happening around us , '' said Valentin Von Korff , a trader at Credit Suisse First Boston in Frankfurt .
#goldHeads=15,3,15,6,6,3,6,9,7,9,10,11,15,15,0,18,18,15,18,21,18,21,26,26,26,22,26,27,15,
#predictedHeads=15,3,15,6,6,3,6,9,7,9,10,11,15,15,0,18,18,15,18,21,18,21,26,26,26,22,26,27,15,
(0,3),-1.74674 # DEPENDENCYPART_ARC
(0,9),-3.12063 # DEPENDENCYPART_ARC
(0,10),-2.90455 # DEPENDENCYPART_ARC
(0,15),-1.35038 # DEPENDENCYPART_ARC
(0,18),-3.09177 # DEPENDENCYPART_ARC
(2,3),-0.0690286 # DEPENDENCYPART_ARC
(2,6),-1.30818 # DEPENDENCYPART_ARC
(2,7),-1.35118 # DEPENDENCYPART_ARC
(2,9),-1.17707 # DEPENDENCYPART_ARC
(3,1),-0.574152 # DEPENDENCYPART_ARC
(3,2),0.945043 # DEPENDENCYPART_ARC
(3,4),0.015399 # DEPENDENCYPART_ARC
(3,5),-0.50947 # DEPENDENCYPART_ARC
(3,6),0.0949689 # DEPENDENCYPART_ARC
(3,7),-0.863238 # DEPENDENCYPART_ARC
(3,9),-0.825693 # DEPENDENCYPART_ARC
(3,10),-0.889949 # DEPENDENCYPART_ARC
(3,11),-1.34043 # DEPENDENCYPART_ARC
(3,13),-1.52917 # DEPENDENCYPART_ARC
(3,14),-0.616828 # DEPENDENCYPART_ARC
(3,15),-2.39143 # DEPENDENCYPART_ARC
(3,19),-2.41584 # DEPENDENCYPART_ARC
(3,22),-2.2023 # DEPENDENCYPART_ARC
(3,29),-0.654043 # DEPENDENCYPART_ARC
(4,5),-0.568706 # DEPENDENCYPART_ARC
(4,7),-1.43511 # DEPENDENCYPART_ARC
(4,10),-1.609 # DEPENDENCYPART_ARC
(4,11),-1.67384 # DEPENDENCYPART_ARC
(4,13),-1.55224 # DEPENDENCYPART_ARC
(4,14),-1.85087 # DEPENDENCYPART_ARC
(5,1),-1.54728 # DEPENDENCYPART_ARC
(5,2),-1.65696 # DEPENDENCYPART_ARC
(5,4),0.0735014 # DEPENDENCYPART_ARC
(5,7),-1.20454 # DEPENDENCYPART_ARC
(5,9),-1.29923 # DEPENDENCYPART_ARC
(5,10),-1.64544 # DEPENDENCYPART_ARC
(5,11),-1.69512 # DEPENDENCYPART_ARC
(6,1),-1.36302 # DEPENDENCYPART_ARC
(6,2),-1.29654 # DEPENDENCYPART_ARC
(6,3),-1.17343 # DEPENDENCYPART_ARC
(6,4),0.262122 # DEPENDENCYPART_ARC
(6,5),1.51679 # DEPENDENCYPART_ARC
(6,7),0.263867 # DEPENDENCYPART_ARC
(6,9),-0.620935 # DEPENDENCYPART_ARC
(6,10),-1.20042 # DEPENDENCYPART_ARC
(6,11),-1.42356 # DEPENDENCYPART_ARC
(6,13),-1.99002 # DEPENDENCYPART_ARC
(6,14),-1.90155 # DEPENDENCYPART_ARC
(6,15),-2.1146 # DEPENDENCYPART_ARC
(6,18),-1.89299 # DEPENDENCYPART_ARC
(6,19),-2.10501 # DEPENDENCYPART_ARC
(6,22),-1.67859 # DEPENDENCYPART_ARC
(7,5),-1.43915 # DEPENDENCYPART_ARC
(7,6),-0.499892 # DEPENDENCYPART_ARC
(7,8),0.163288 # DEPENDENCYPART_ARC
(7,9),-0.230311 # DEPENDENCYPART_ARC
(7,10),-0.901477 # DEPENDENCYPART_ARC
(7,11),-1.37586 # DEPENDENCYPART_ARC
(7,13),-1.28206 # DEPENDENCYPART_ARC
(7,14),-1.40239 # DEPENDENCYPART_ARC
(7,15),-1.84515 # DEPENDENCYPART_ARC
(7,18),-3.00497 # DEPENDENCYPART_ARC
(7,22),-1.42453 # DEPENDENCYPART_ARC
(8,9),0.0184259 # DEPENDENCYPART_ARC
(9,1),-1.60438 # DEPENDENCYPART_ARC
(9,2),-1.94221 # DEPENDENCYPART_ARC
(9,3),-2.07765 # DEPENDENCYPART_ARC
(9,4),-1.81777 # DEPENDENCYPART_ARC
(9,5),-1.71731 # DEPENDENCYPART_ARC
(9,6),-1.25636 # DEPENDENCYPART_ARC
(9,7),-1.02944 # DEPENDENCYPART_ARC
(9,8),0.552377 # DEPENDENCYPART_ARC
(9,10),1.23292 # DEPENDENCYPART_ARC
(9,11),-0.71381 # DEPENDENCYPART_ARC
(9,13),-1.45001 # DEPENDENCYPART_ARC
(9,14),-1.22074 # DEPENDENCYPART_ARC
(9,15),-2.19547 # DEPENDENCYPART_ARC
(9,19),-2.47786 # DEPENDENCYPART_ARC
(9,21),-2.12462 # DEPENDENCYPART_ARC
(9,22),-2.01863 # DEPENDENCYPART_ARC
(9,27),-2.10781 # DEPENDENCYPART_ARC
(9,29),-1.77119 # DEPENDENCYPART_ARC
(10,6),-1.75095 # DEPENDENCYPART_ARC
(10,7),-1.41823 # DEPENDENCYPART_ARC
(10,8),-1.34641 # DEPENDENCYPART_ARC
(10,9),-1.17127 # DEPENDENCYPART_ARC
(10,11),0.463602 # DEPENDENCYPART_ARC
(10,12),-1.02742 # DEPENDENCYPART_ARC
(10,13),-1.1307 # DEPENDENCYPART_ARC
(10,14),-1.3463 # DEPENDENCYPART_ARC
(10,15),-2.03671 # DEPENDENCYPART_ARC
(10,18),-2.65537 # DEPENDENCYPART_ARC
(10,19),-2.25692 # DEPENDENCYPART_ARC
(10,21),-2.36259 # DEPENDENCYPART_ARC
(10,22),-2.02777 # DEPENDENCYPART_ARC
(10,27),-2.15281 # DEPENDENCYPART_ARC
(10,29),-1.53753 # DEPENDENCYPART_ARC
(11,6),-1.61717 # DEPENDENCYPART_ARC
(11,7),-1.13293 # DEPENDENCYPART_ARC
(11,8),-0.95406 # DEPENDENCYPART_ARC
(11,10),-0.322631 # DEPENDENCYPART_ARC
(11,12),0.0207162 # DEPENDENCYPART_ARC
(11,13),-1.11434 # DEPENDENCYPART_ARC
(11,14),-1.6198 # DEPENDENCYPART_ARC
(11,15),-2.21318 # DEPENDENCYPART_ARC
(11,18),-2.85895 # DEPENDENCYPART_ARC
(11,21),-2.93103 # DEPENDENCYPART_ARC
(12,13),-0.168774 # DEPENDENCYPART_ARC
(12,15),-1.57156 # DEPENDENCYPART_ARC
(13,7),-1.29465 # DEPENDENCYPART_ARC
(13,11),-1.07134 # DEPENDENCYPART_ARC
(15,1),-0.662971 # DEPENDENCYPART_ARC
(15,2),-2.36698 # DEPENDENCYPART_ARC
(15,3),-1.24337 # DEPENDENCYPART_ARC
(15,6),-2.65111 # DEPENDENCYPART_ARC
(15,7),-1.9473 # DEPENDENCYPART_ARC
(15,8),-1.45569 # DEPENDENCYPART_ARC
(15,9),-1.16268 # DEPENDENCYPART_ARC
(15,10),-0.882534 # DEPENDENCYPART_ARC
(15,11),-1.33234 # DEPENDENCYPART_ARC
(15,12),-1.40479 # DEPENDENCYPART_ARC
(15,13),-0.291988 # DEPENDENCYPART_ARC
(15,14),0.696304 # DEPENDENCYPART_ARC
(15,16),0.177681 # DEPENDENCYPART_ARC
(15,17),-0.343808 # DEPENDENCYPART_ARC
(15,18),-0.203373 # DEPENDENCYPART_ARC
(15,19),-1.35876 # DEPENDENCYPART_ARC
(15,21),-1.67234 # DEPENDENCYPART_ARC
(15,22),-1.6653 # DEPENDENCYPART_ARC
(15,26),-1.81545 # DEPENDENCYPART_ARC
(15,27),-1.57508 # DEPENDENCYPART_ARC
(15,29),0.961214 # DEPENDENCYPART_ARC
(16,12),-3.20539 # DEPENDENCYPART_ARC
(16,14),-2.24757 # DEPENDENCYPART_ARC
(16,17),-0.511635 # DEPENDENCYPART_ARC
(16,18),-1.55713 # DEPENDENCYPART_ARC
(16,19),-1.95923 # DEPENDENCYPART_ARC
(16,21),-2.15591 # DEPENDENCYPART_ARC
(16,22),-2.08284 # DEPENDENCYPART_ARC
(16,26),-2.48502 # DEPENDENCYPART_ARC
(17,12),-2.94696 # DEPENDENCYPART_ARC
(17,14),-2.51039 # DEPENDENCYPART_ARC
(17,15),-1.80439 # DEPENDENCYPART_ARC
(17,16),0.194022 # DEPENDENCYPART_ARC
(17,18),-0.873055 # DEPENDENCYPART_ARC
(17,19),-1.85849 # DEPENDENCYPART_ARC
(17,21),-2.18221 # DEPENDENCYPART_ARC
(17,26),-2.53005 # DEPENDENCYPART_ARC
(18,13),-1.74451 # DEPENDENCYPART_ARC
(18,15),-0.984797 # DEPENDENCYPART_ARC
(18,16),0.810929 # DEPENDENCYPART_ARC
(18,17),1.54443 # DEPENDENCYPART_ARC
(18,19),0.28793 # DEPENDENCYPART_ARC
(18,21),-1.62985 # DEPENDENCYPART_ARC
(18,22),-2.00921 # DEPENDENCYPART_ARC
(18,23),-1.91556 # DEPENDENCYPART_ARC
(18,24),-1.91133 # DEPENDENCYPART_ARC
(18,25),-1.97477 # DEPENDENCYPART_ARC
(18,26),-2.02039 # DEPENDENCYPART_ARC
(18,27),-2.5277 # DEPENDENCYPART_ARC
(18,28),-2.26688 # DEPENDENCYPART_ARC
(18,29),-1.92845 # DEPENDENCYPART_ARC
(20,19),-0.159098 # DEPENDENCYPART_ARC
(20,22),-1.42501 # DEPENDENCYPART_ARC
(21,8),-1.74462 # DEPENDENCYPART_ARC
(21,11),-1.79843 # DEPENDENCYPART_ARC
(21,16),-1.77372 # DEPENDENCYPART_ARC
(21,17),-1.70003 # DEPENDENCYPART_ARC
(21,18),-1.97394 # DEPENDENCYPART_ARC
(21,19),-1.26621 # DEPENDENCYPART_ARC
(21,20),1.1286 # DEPENDENCYPART_ARC
(21,22),0.351964 # DEPENDENCYPART_ARC
(21,23),-0.949589 # DEPENDENCYPART_ARC
(21,24),-1.2198 # DEPENDENCYPART_ARC
(21,25),-1.37245 # DEPENDENCYPART_ARC
(21,26),-1.49696 # DEPENDENCYPART_ARC
(21,27),-1.32559 # DEPENDENCYPART_ARC
(21,28),-1.71402 # DEPENDENCYPART_ARC
(21,29),-1.13105 # DEPENDENCYPART_ARC
(22,20),-1.57462 # DEPENDENCYPART_ARC
(22,21),-0.770897 # DEPENDENCYPART_ARC
(22,23),0.0883363 # DEPENDENCYPART_ARC
(22,24),-0.67769 # DEPENDENCYPART_ARC
(22,25),-1.37661 # DEPENDENCYPART_ARC
(22,26),-1.3315 # DEPENDENCYPART_ARC
(22,27),-1.54479 # DEPENDENCYPART_ARC
(22,28),-1.91481 # DEPENDENCYPART_ARC
(23,24),-0.656442 # DEPENDENCYPART_ARC
(23,25),-1.57578 # DEPENDENCYPART_ARC
(23,27),-1.66525 # DEPENDENCYPART_ARC
(24,20),-2.57972 # DEPENDENCYPART_ARC
(24,23),-0.0233621 # DEPENDENCYPART_ARC
(24,25),-0.585689 # DEPENDENCYPART_ARC
(24,26),-1.52582 # DEPENDENCYPART_ARC
(24,27),-1.64911 # DEPENDENCYPART_ARC
(25,20),-2.40715 # DEPENDENCYPART_ARC
(25,21),-2.08988 # DEPENDENCYPART_ARC
(25,23),-0.692374 # DEPENDENCYPART_ARC
(25,24),0.124096 # DEPENDENCYPART_ARC
(25,26),-0.612932 # DEPENDENCYPART_ARC
(25,27),-1.45974 # DEPENDENCYPART_ARC
(25,28),-1.99903 # DEPENDENCYPART_ARC
(26,16),-1.92696 # DEPENDENCYPART_ARC
(26,17),-2.02231 # DEPENDENCYPART_ARC
(26,18),-2.67054 # DEPENDENCYPART_ARC
(26,20),-1.78331 # DEPENDENCYPART_ARC
(26,21),-1.19546 # DEPENDENCYPART_ARC
(26,23),0.124862 # DEPENDENCYPART_ARC
(26,24),0.467393 # DEPENDENCYPART_ARC
(26,25),1.65224 # DEPENDENCYPART_ARC
(26,27),0.0520594 # DEPENDENCYPART_ARC
(26,28),-1.33632 # DEPENDENCYPART_ARC
(26,29),-1.19816 # DEPENDENCYPART_ARC
(27,28),0.868094 # DEPENDENCYPART_ARC
(28,23),-1.58629 # DEPENDENCYPART_ARC
(28,24),-1.50361 # DEPENDENCYPART_ARC
(28,25),-1.37206 # DEPENDENCYPART_ARC
(28,26),-1.26654 # DEPENDENCYPART_ARC
(29,26),-1.53632 # DEPENDENCYPART_ARC
(0,3),(0,9),-0.232916 # DEPENDENCYPART_SIBL
(0,3),(0,10),-0.228387 # DEPENDENCYPART_SIBL
(0,3),(0,15),-0.255227 # DEPENDENCYPART_SIBL
(0,3),(0,18),-0.0841302 # DEPENDENCYPART_SIBL
(0,9),(0,10),-0.228387 # DEPENDENCYPART_SIBL
(0,9),(0,15),-0.255227 # DEPENDENCYPART_SIBL
(0,9),(0,18),-0.0841302 # DEPENDENCYPART_SIBL
(0,10),(0,15),-0.253771 # DEPENDENCYPART_SIBL
(0,10),(0,18),-0.0756823 # DEPENDENCYPART_SIBL
(0,15),(0,18),-0.0940268 # DEPENDENCYPART_SIBL
(2,3),(2,6),0.00462618 # DEPENDENCYPART_SIBL
(2,3),(2,7),0.0568598 # DEPENDENCYPART_SIBL
(2,3),(2,9),-0.0175514 # DEPENDENCYPART_SIBL
(2,6),(2,7),0.0216275 # DEPENDENCYPART_SIBL
(2,6),(2,9),0.01252 # DEPENDENCYPART_SIBL
(2,7),(2,9),-0.0109154 # DEPENDENCYPART_SIBL
(3,1),(3,2),0.109835 # DEPENDENCYPART_SIBL
(3,1),(3,4),-0.0239992 # DEPENDENCYPART_SIBL
(3,1),(3,5),0.0246455 # DEPENDENCYPART_SIBL
(3,1),(3,6),0.0343301 # DEPENDENCYPART_SIBL
(3,1),(3,7),0.0220052 # DEPENDENCYPART_SIBL
(3,1),(3,9),0.0789658 # DEPENDENCYPART_SIBL
(3,1),(3,10),0.0300478 # DEPENDENCYPART_SIBL
(3,1),(3,11),0.0430707 # DEPENDENCYPART_SIBL
(3,1),(3,13),0.088803 # DEPENDENCYPART_SIBL
(3,1),(3,14),0.423873 # DEPENDENCYPART_SIBL
(3,1),(3,15),0.0494649 # DEPENDENCYPART_SIBL
(3,1),(3,19),0.088803 # DEPENDENCYPART_SIBL
(3,1),(3,22),0.00653511 # DEPENDENCYPART_SIBL
(3,1),(3,29),0.141315 # DEPENDENCYPART_SIBL
(3,2),(3,4),0.0811923 # DEPENDENCYPART_SIBL
(3,2),(3,5),0.155065 # DEPENDENCYPART_SIBL
(3,2),(3,6),0.19969 # DEPENDENCYPART_SIBL
(3,2),(3,7),-0.0112141 # DEPENDENCYPART_SIBL
(3,2),(3,9),0.317301 # DEPENDENCYPART_SIBL
(3,2),(3,10),0.247107 # DEPENDENCYPART_SIBL
(3,2),(3,11),0.0689066 # DEPENDENCYPART_SIBL
(3,2),(3,13),0.155701 # DEPENDENCYPART_SIBL
(3,2),(3,14),0.129646 # DEPENDENCYPART_SIBL
(3,2),(3,15),0.232531 # DEPENDENCYPART_SIBL
(3,2),(3,19),0.155701 # DEPENDENCYPART_SIBL
(3,2),(3,22),0.139371 # DEPENDENCYPART_SIBL
(3,2),(3,29),0.237706 # DEPENDENCYPART_SIBL
(3,4),(3,5),-0.00368184 # DEPENDENCYPART_SIBL
(3,4),(3,6),-0.00744496 # DEPENDENCYPART_SIBL
(3,4),(3,7),-0.0673755 # DEPENDENCYPART_SIBL
(3,4),(3,9),-0.00427636 # DEPENDENCYPART_SIBL
(3,4),(3,10),-0.021659 # DEPENDENCYPART_SIBL
(3,4),(3,11),-0.0386623 # DEPENDENCYPART_SIBL
(3,4),(3,13),-0.00268847 # DEPENDENCYPART_SIBL
(3,4),(3,14),0.0495476 # DEPENDENCYPART_SIBL
(3,4),(3,15),-0.0180261 # DEPENDENCYPART_SIBL
(3,4),(3,19),-0.00268847 # DEPENDENCYPART_SIBL
(3,4),(3,22),-0.0212721 # DEPENDENCYPART_SIBL
(3,4),(3,29),-0.00598688 # DEPENDENCYPART_SIBL
(3,5),(3,6),0.0123758 # DEPENDENCYPART_SIBL
(3,5),(3,7),-0.00259042 # DEPENDENCYPART_SIBL
(3,5),(3,9),0.105006 # DEPENDENCYPART_SIBL
(3,5),(3,10),0.0811222 # DEPENDENCYPART_SIBL
(3,5),(3,11),0.0614231 # DEPENDENCYPART_SIBL
(3,5),(3,13),0.0906256 # DEPENDENCYPART_SIBL
(3,5),(3,14),0.0718939 # DEPENDENCYPART_SIBL
(3,5),(3,15),0.0858308 # DEPENDENCYPART_SIBL
(3,5),(3,19),0.0906256 # DEPENDENCYPART_SIBL
(3,5),(3,22),0.0833969 # DEPENDENCYPART_SIBL
(3,5),(3,29),0.0693535 # DEPENDENCYPART_SIBL
(3,6),(3,7),-0.0157813 # DEPENDENCYPART_SIBL
(3,6),(3,9),0.0121006 # DEPENDENCYPART_SIBL
(3,6),(3,10),-0.0279692 # DEPENDENCYPART_SIBL
(3,6),(3,11),0.0180344 # DEPENDENCYPART_SIBL
(3,6),(3,13),0.00488276 # DEPENDENCYPART_SIBL
(3,6),(3,14),0.0114797 # DEPENDENCYPART_SIBL
(3,6),(3,15),-0.0323775 # DEPENDENCYPART_SIBL
(3,6),(3,19),0.00488276 # DEPENDENCYPART_SIBL
(3,6),(3,22),0.0220551 # DEPENDENCYPART_SIBL
(3,6),(3,29),-0.01692 # DEPENDENCYPART_SIBL
(3,7),(3,9),-0.0359356 # DEPENDENCYPART_SIBL
(3,7),(3,10),-0.0413934 # DEPENDENCYPART_SIBL
(3,7),(3,11),-0.0930244 # DEPENDENCYPART_SIBL
