# _root_ Investors have complained for some time about program trading , particularly index arbitrage , to little avail .
#goldHeads=2,0,2,3,6,4,3,9,7,9,9,13,9,9,3,17,15,2,
#predictedHeads=2,0,2,3,6,4,6,9,7,9,13,13,9,13,13,17,15,2,
(0,1),-1.81048 # DEPENDENCYPART_ARC
(0,2),-1.81693 # DEPENDENCYPART_ARC
(0,3),-2.5935 # DEPENDENCYPART_ARC
(1,2),-0.317985 # DEPENDENCYPART_ARC
(1,3),-1.16228 # DEPENDENCYPART_ARC
(1,4),-1.01532 # DEPENDENCYPART_ARC
(1,6),-1.41436 # DEPENDENCYPART_ARC
(1,7),-1.02164 # DEPENDENCYPART_ARC
(1,10),-1.75138 # DEPENDENCYPART_ARC
(1,14),-1.91622 # DEPENDENCYPART_ARC
(1,18),-2.26549 # DEPENDENCYPART_ARC
(2,1),1.03714 # DEPENDENCYPART_ARC
(2,3),1.51144 # DEPENDENCYPART_ARC
(2,4),-0.534858 # DEPENDENCYPART_ARC
(2,5),-1.01544 # DEPENDENCYPART_ARC
(2,6),-0.966585 # DEPENDENCYPART_ARC
(2,7),-1.19528 # DEPENDENCYPART_ARC
(2,9),-1.62661 # DEPENDENCYPART_ARC
(2,10),-1.25816 # DEPENDENCYPART_ARC
(2,11),-1.81242 # DEPENDENCYPART_ARC
(2,14),-1.85241 # DEPENDENCYPART_ARC
(2,18),-0.0920843 # DEPENDENCYPART_ARC
(3,1),-1.12928 # DEPENDENCYPART_ARC
(3,2),-0.868333 # DEPENDENCYPART_ARC
(3,4),0.916639 # DEPENDENCYPART_ARC
(3,5),-0.675908 # DEPENDENCYPART_ARC
(3,6),-0.638952 # DEPENDENCYPART_ARC
(3,7),-0.655298 # DEPENDENCYPART_ARC
(3,9),-1.31265 # DEPENDENCYPART_ARC
(3,10),-0.993954 # DEPENDENCYPART_ARC
(3,11),-1.60886 # DEPENDENCYPART_ARC
(3,13),-2.3272 # DEPENDENCYPART_ARC
(3,14),-1.58409 # DEPENDENCYPART_ARC
(3,15),-1.3915 # DEPENDENCYPART_ARC
(3,18),-0.17863 # DEPENDENCYPART_ARC
(4,1),-1.24305 # DEPENDENCYPART_ARC
(4,5),-0.0150539 # DEPENDENCYPART_ARC
(4,6),-0.0487472 # DEPENDENCYPART_ARC
(4,7),-1.32928 # DEPENDENCYPART_ARC
(4,8),-1.36616 # DEPENDENCYPART_ARC
(4,9),-1.22842 # DEPENDENCYPART_ARC
(4,10),-1.14424 # DEPENDENCYPART_ARC
(4,11),-1.37832 # DEPENDENCYPART_ARC
(4,13),-2.73013 # DEPENDENCYPART_ARC
(4,15),-2.06837 # DEPENDENCYPART_ARC
(4,17),-2.6671 # DEPENDENCYPART_ARC
(4,18),-1.64464 # DEPENDENCYPART_ARC
(5,7),-0.975236 # DEPENDENCYPART_ARC
(6,1),-1.93136 # DEPENDENCYPART_ARC
(6,2),-1.54444 # DEPENDENCYPART_ARC
(6,4),-0.882248 # DEPENDENCYPART_ARC
(6,5),1.08471 # DEPENDENCYPART_ARC
(6,7),0.500741 # DEPENDENCYPART_ARC
(6,8),-0.872679 # DEPENDENCYPART_ARC
(6,9),-1.34018 # DEPENDENCYPART_ARC
(6,10),-1.4979 # DEPENDENCYPART_ARC
(6,11),-1.55402 # DEPENDENCYPART_ARC
(6,12),-1.78764 # DEPENDENCYPART_ARC
(6,13),-1.94917 # DEPENDENCYPART_ARC
(6,14),-1.77859 # DEPENDENCYPART_ARC
(6,15),-1.29447 # DEPENDENCYPART_ARC
(6,16),-1.41815 # DEPENDENCYPART_ARC
(6,17),-2.09968 # DEPENDENCYPART_ARC
(6,18),-0.841924 # DEPENDENCYPART_ARC
(7,4),-1.27247 # DEPENDENCYPART_ARC
(7,5),-1.33764 # DEPENDENCYPART_ARC
(7,6),-0.54191 # DEPENDENCYPART_ARC
(7,8),0.18786 # DEPENDENCYPART_ARC
(7,9),-0.228131 # DEPENDENCYPART_ARC
(7,10),-1.12075 # DEPENDENCYPART_ARC
(7,11),-1.58306 # DEPENDENCYPART_ARC
(7,12),-2.46256 # DEPENDENCYPART_ARC
(7,13),-2.43742 # DEPENDENCYPART_ARC
(7,15),-1.95188 # DEPENDENCYPART_ARC
(7,17),-2.43326 # DEPENDENCYPART_ARC
(8,6),-1.56267 # DEPENDENCYPART_ARC
(8,7),-0.449003 # DEPENDENCYPART_ARC
(8,13),-2.2957 # DEPENDENCYPART_ARC
(8,15),-1.61482 # DEPENDENCYPART_ARC
(8,17),-2.44412 # DEPENDENCYPART_ARC
(9,2),-1.50736 # DEPENDENCYPART_ARC
(9,4),-1.2304 # DEPENDENCYPART_ARC
(9,5),-1.05484 # DEPENDENCYPART_ARC
(9,6),-0.738094 # DEPENDENCYPART_ARC
(9,7),-0.691246 # DEPENDENCYPART_ARC
(9,8),2.03196 # DEPENDENCYPART_ARC
(9,10),0.00980761 # DEPENDENCYPART_ARC
(9,11),-1.54677 # DEPENDENCYPART_ARC
(9,12),-1.69779 # DEPENDENCYPART_ARC
(9,13),-1.86986 # DEPENDENCYPART_ARC
(9,14),-1.35176 # DEPENDENCYPART_ARC
(9,15),-1.71556 # DEPENDENCYPART_ARC
(9,16),-1.69751 # DEPENDENCYPART_ARC
(9,17),-2.31753 # DEPENDENCYPART_ARC
(9,18),-1.65036 # DEPENDENCYPART_ARC
(11,1),-1.75486 # DEPENDENCYPART_ARC
(11,4),-1.99104 # DEPENDENCYPART_ARC
(11,6),-1.74419 # DEPENDENCYPART_ARC
(11,9),-1.64308 # DEPENDENCYPART_ARC
(11,10),0.180537 # DEPENDENCYPART_ARC
(11,12),-0.0534986 # DEPENDENCYPART_ARC
(11,13),-0.841933 # DEPENDENCYPART_ARC
(11,14),-1.1262 # DEPENDENCYPART_ARC
(11,15),-1.51941 # DEPENDENCYPART_ARC
(11,16),-1.71761 # DEPENDENCYPART_ARC
(11,17),-1.88879 # DEPENDENCYPART_ARC
(12,9),-2.1121 # DEPENDENCYPART_ARC
(12,10),-1.36295 # DEPENDENCYPART_ARC
(12,11),-0.0194498 # DEPENDENCYPART_ARC
(12,13),-0.667206 # DEPENDENCYPART_ARC
(12,15),-1.88154 # DEPENDENCYPART_ARC
(12,17),-2.25961 # DEPENDENCYPART_ARC
(13,5),-2.021 # DEPENDENCYPART_ARC
(13,6),-2.10979 # DEPENDENCYPART_ARC
(13,7),-1.69252 # DEPENDENCYPART_ARC
(13,8),-0.551388 # DEPENDENCYPART_ARC
(13,9),-1.30973 # DEPENDENCYPART_ARC
(13,10),-1.13441 # DEPENDENCYPART_ARC
(13,11),-0.380583 # DEPENDENCYPART_ARC
(13,12),1.84492 # DEPENDENCYPART_ARC
(13,14),0.215631 # DEPENDENCYPART_ARC
(13,15),-1.65163 # DEPENDENCYPART_ARC
(13,16),-1.70249 # DEPENDENCYPART_ARC
(13,17),-1.80234 # DEPENDENCYPART_ARC
(13,18),-1.73515 # DEPENDENCYPART_ARC
(15,14),0.217555 # DEPENDENCYPART_ARC
(15,16),0.158616 # DEPENDENCYPART_ARC
(15,17),-0.291783 # DEPENDENCYPART_ARC
(15,18),-0.775546 # DEPENDENCYPART_ARC
(16,9),-1.3052 # DEPENDENCYPART_ARC
(16,11),-1.85871 # DEPENDENCYPART_ARC
(16,13),-1.50248 # DEPENDENCYPART_ARC
(16,14),-1.16964 # DEPENDENCYPART_ARC
(16,18),-1.33568 # DEPENDENCYPART_ARC
(17,2),-1.37753 # DEPENDENCYPART_ARC
(17,5),-1.87643 # DEPENDENCYPART_ARC
(17,6),-2.22868 # DEPENDENCYPART_ARC
(17,7),-1.17647 # DEPENDENCYPART_ARC
(17,8),-1.28195 # DEPENDENCYPART_ARC
(17,9),-1.79655 # DEPENDENCYPART_ARC
(17,11),-1.92281 # DEPENDENCYPART_ARC
(17,12),-1.28991 # DEPENDENCYPART_ARC
(17,13),-1.59199 # DEPENDENCYPART_ARC
(17,14),-1.32447 # DEPENDENCYPART_ARC
(17,15),-0.598219 # DEPENDENCYPART_ARC
(17,16),1.42844 # DEPENDENCYPART_ARC
(17,18),-0.389219 # DEPENDENCYPART_ARC
(18,16),-1.02094 # DEPENDENCYPART_ARC
(18,17),-0.258541 # DEPENDENCYPART_ARC
(0,1),(0,2),-0.110466 # DEPENDENCYPART_SIBL
(0,1),(0,3),-0.102874 # DEPENDENCYPART_SIBL
(0,2),(0,3),-0.167372 # DEPENDENCYPART_SIBL
(1,2),(1,3),0.00408972 # DEPENDENCYPART_SIBL
(1,2),(1,4),0.0180047 # DEPENDENCYPART_SIBL
(1,2),(1,6),-0.00229527 # DEPENDENCYPART_SIBL
(1,2),(1,7),0.0507828 # DEPENDENCYPART_SIBL
(1,2),(1,10),0.114734 # DEPENDENCYPART_SIBL
(1,2),(1,14),0.114734 # DEPENDENCYPART_SIBL
(1,2),(1,18),0.000994649 # DEPENDENCYPART_SIBL
(1,3),(1,4),-0.00236977 # DEPENDENCYPART_SIBL
(1,3),(1,6),-0.0198771 # DEPENDENCYPART_SIBL
(1,3),(1,7),0.0206402 # DEPENDENCYPART_SIBL
(1,3),(1,10),0.0392272 # DEPENDENCYPART_SIBL
(1,3),(1,14),0.0392272 # DEPENDENCYPART_SIBL
(1,3),(1,18),-0.00819099 # DEPENDENCYPART_SIBL
(1,4),(1,6),0.0288034 # DEPENDENCYPART_SIBL
(1,4),(1,7),0.0558457 # DEPENDENCYPART_SIBL
(1,4),(1,10),0.026495 # DEPENDENCYPART_SIBL
(1,4),(1,14),0.026495 # DEPENDENCYPART_SIBL
(1,4),(1,18),0.0527284 # DEPENDENCYPART_SIBL
(1,6),(1,7),0.0170015 # DEPENDENCYPART_SIBL
(1,6),(1,10),0.0498 # DEPENDENCYPART_SIBL
(1,6),(1,14),0.0498 # DEPENDENCYPART_SIBL
(1,6),(1,18),0.0288378 # DEPENDENCYPART_SIBL
(1,7),(1,10),0.0250262 # DEPENDENCYPART_SIBL
(1,7),(1,14),0.0250262 # DEPENDENCYPART_SIBL
(1,7),(1,18),0.0205876 # DEPENDENCYPART_SIBL
(1,10),(1,14),0.0666665 # DEPENDENCYPART_SIBL
(1,10),(1,18),-0.00597604 # DEPENDENCYPART_SIBL
(1,14),(1,18),-0.00597604 # DEPENDENCYPART_SIBL
(2,1),(2,3),0.0669884 # DEPENDENCYPART_SIBL
(2,1),(2,4),0.00715257 # DEPENDENCYPART_SIBL
(2,1),(2,5),-0.0377457 # DEPENDENCYPART_SIBL
(2,1),(2,6),0.0394764 # DEPENDENCYPART_SIBL
(2,1),(2,7),0.0202318 # DEPENDENCYPART_SIBL
(2,1),(2,9),0.047879 # DEPENDENCYPART_SIBL
(2,1),(2,10),0.0261673 # DEPENDENCYPART_SIBL
(2,1),(2,11),0.0479606 # DEPENDENCYPART_SIBL
(2,1),(2,14),0.0261673 # DEPENDENCYPART_SIBL
(2,1),(2,18),0.0693939 # DEPENDENCYPART_SIBL
(2,3),(2,4),-0.0254266 # DEPENDENCYPART_SIBL
(2,3),(2,5),-0.0264792 # DEPENDENCYPART_SIBL
(2,3),(2,6),-0.0290397 # DEPENDENCYPART_SIBL
(2,3),(2,7),-0.0515386 # DEPENDENCYPART_SIBL
(2,3),(2,9),-0.043636 # DEPENDENCYPART_SIBL
(2,3),(2,10),-0.00855235 # DEPENDENCYPART_SIBL
(2,3),(2,11),-0.051064 # DEPENDENCYPART_SIBL
(2,3),(2,14),-0.00855235 # DEPENDENCYPART_SIBL
(2,3),(2,18),0.0173566 # DEPENDENCYPART_SIBL
(2,4),(2,5),-0.00692173 # DEPENDENCYPART_SIBL
(2,4),(2,6),0.00471674 # DEPENDENCYPART_SIBL
(2,4),(2,7),-0.0517461 # DEPENDENCYPART_SIBL
(2,4),(2,9),-0.0121142 # DEPENDENCYPART_SIBL
(2,4),(2,10),0.0359516 # DEPENDENCYPART_SIBL
(2,4),(2,11),-0.007983 # DEPENDENCYPART_SIBL
(2,4),(2,14),0.0359516 # DEPENDENCYPART_SIBL
(2,4),(2,18),0.012688 # DEPENDENCYPART_SIBL
(2,5),(2,6),-0.00863574 # DEPENDENCYPART_SIBL
(2,5),(2,7),-0.0376393 # DEPENDENCYPART_SIBL
(2,5),(2,9),-0.0236236 # DEPENDENCYPART_SIBL
(2,5),(2,10),-0.0190468 # DEPENDENCYPART_SIBL
(2,5),(2,11),0.00407491 # DEPENDENCYPART_SIBL
(2,5),(2,14),-0.0190468 # DEPENDENCYPART_SIBL
(2,5),(2,18),0.0350146 # DEPENDENCYPART_SIBL
(2,6),(2,7),-0.0104892 # DEPENDENCYPART_SIBL
(2,6),(2,9),-0.0350249 # DEPENDENCYPART_SIBL
(2,6),(2,10),0.0141245 # DEPENDENCYPART_SIBL
(2,6),(2,11),-0.0329604 # DEPENDENCYPART_SIBL
(2,6),(2,14),0.0141245 # DEPENDENCYPART_SIBL
(2,6),(2,18),0.0271907 # DEPENDENCYPART_SIBL
(2,7),(2,9),-0.0576869 # DEPENDENCYPART_SIBL
(2,7),(2,10),-0.0159041 # DEPENDENCYPART_SIBL
(2,7),(2,11),-0.0297824 # DEPENDENCYPART_SIBL
(2,7),(2,14),-0.0159041 # DEPENDENCYPART_SIBL
(2,7),(2,18),-0.0478983 # DEPENDENCYPART_SIBL
(2,9),(2,10),0.00296937 # DEPENDENCYPART_SIBL
(2,9),(2,11),-0.0154468 # DEPENDENCYPART_SIBL
(2,9),(2,14),0.00296937 # DEPENDENCYPART_SIBL
(2,9),(2,18),0.0237279 # DEPENDENCYPART_SIBL
(2,10),(2,11),-0.00654742 # DEPENDENCYPART_SIBL
(2,10),(2,14),-0.00815973 # DEPENDENCYPART_SIBL
(2,10),(2,18),0.00220374 # DEPENDENCYPART_SIBL
(2,11),(2,14),-0.0299161 # DEPENDENCYPART_SIBL
(2,11),(2,18),-0.0414441 # DEPENDENCYPART_SIBL
(2,14),(2,18),0.00220374 # DEPENDENCYPART_SIBL
(3,1),(3,2),-0.0167697 # DEPENDENCYPART_SIBL
(3,1),(3,4),0.0276736 # DEPENDENCYPART_SIBL
(3,1),(3,5),-0.0386878 # DEPENDENCYPART_SIBL
(3,1),(3,6),0.0298962 # DEPENDENCYPART_SIBL
(3,1),(3,7),0.0448177 # DEPENDENCYPART_SIBL
(3,1),(3,9),0.0385658 # DEPENDENCYPART_SIBL
(3,1),(3,10),0.029286 # DEPENDENCYPART_SIBL
(3,1),(3,11),0.0173158 # DEPENDENCYPART_SIBL
(3,1),(3,13),0.00954849 # DEPENDENCYPART_SIBL
(3,1),(3,14),0.029286 # DEPENDENCYPART_SIBL
(3,1),(3,15),0.043112 # DEPENDENCYPART_SIBL
(3,1),(3,18),0.109749 # DEPENDENCYPART_SIBL
(3,2),(3,4),-0.0266286 # DEPENDENCYPART_SIBL
(3,2),(3,5),-0.0418692 # DEPENDENCYPART_SIBL
(3,2),(3,6),0.037467 # DEPENDENCYPART_SIBL
(3,2),(3,7),-0.0386246 # DEPENDENCYPART_SIBL
(3,2),(3,9),0.0184189 # DEPENDENCYPART_SIBL
(3,2),(3,10),-0.0640096 # DEPENDENCYPART_SIBL
(3,2),(3,11),-0.0174547 # DEPENDENCYPART_SIBL
(3,2),(3,13),0.00978512 # DEPENDENCYPART_SIBL
(3,2),(3,14),-0.0640096 # DEPENDENCYPART_SIBL
(3,2),(3,15),-0.0146717 # DEPENDENCYPART_SIBL
(3,2),(3,18),0.0932454 # DEPENDENCYPART_SIBL
(3,4),(3,5),-0.0170573 # DEPENDENCYPART_SIBL
(3,4),(3,6),0.00502261 # DEPENDENCYPART_SIBL
(3,4),(3,7),-0.0605249 # DEPENDENCYPART_SIBL
(3,4),(3,9),-0.0118053 # DEPENDENCYPART_SIBL
(3,4),(3,10),0.0191862 # DEPENDENCYPART_SIBL
(3,4),(3,11),-0.0233759 # DEPENDENCYPART_SIBL
(3,4),(3,13),-0.00997322 # DEPENDENCYPART_SIBL
(3,4),(3,14),0.0191862 # DEPENDENCYPART_SIBL
(3,4),(3,15),-0.0351365 # DEPENDENCYPART_SIBL
(3,4),(3,18),0.0203396 # DEPENDENCYPART_SIBL
(3,5),(3,6),-0.00675227 # DEPENDENCYPART_SIBL
(3,5),(3,7),-0.0333278 # DEPENDENCYPART_SIBL
(3,5),(3,9),-0.0217386 # DEPENDENCYPART_SIBL
(3,5),(3,10),-0.0212457 # DEPENDENCYPART_SIBL
(3,5),(3,11),-0.00706031 # DEPENDENCYPART_SIBL
(3,5),(3,13),-0.0201337 # DEPENDENCYPART_SIBL
(3,5),(3,14),-0.0212457 # DEPENDENCYPART_SIBL
(3,5),(3,15),-0.0145217 # DEPENDENCYPART_SIBL
(3,5),(3,18),0.0236559 # DEPENDENCYPART_SIBL
(3,6),(3,7),-0.00103582 # DEPENDENCYPART_SIBL
(3,6),(3,9),-0.0294441 # DEPENDENCYPART_SIBL
(3,6),(3,10),0.01808 # DEPENDENCYPART_SIBL
(3,6),(3,11),-0.0331406 # DEPENDENCYPART_SIBL
(3,6),(3,13),-0.0294114 # DEPENDENCYPART_SIBL
(3,6),(3,14),0.01808 # DEPENDENCYPART_SIBL
(3,6),(3,15),0.023398 # DEPENDENCYPART_SIBL
(3,6),(3,18),0.0141018 # DEPENDENCYPART_SIBL
(3,7),(3,9),-0.04693 # DEPENDENCYPART_SIBL
(3,7),(3,10),-0.011564 # DEPENDENCYPART_SIBL
(3,7),(3,11),-0.0337996 # DEPENDENCYPART_SIBL
(3,7),(3,13),-0.0450981 # DEPENDENCYPART_SIBL
(3,7),(3,14),-0.011564 # DEPENDENCYPART_SIBL
(3,7),(3,15),-0.0243729 # DEPENDENCYPART_SIBL
(3,7),(3,18),-0.0265207 # DEPENDENCYPART_SIBL
(3,9),(3,10),0.0071179 # DEPENDENCYPART_SIBL
(3,9),(3,11),-0.0154341 # DEPENDENCYPART_SIBL
(3,9),(3,13),-0.00353545 # DEPENDENCYPART_SIBL
(3,9),(3,14),0.0071179 # DEPENDENCYPART_SIBL
(3,9),(3,15),0.0144896 # DEPENDENCYPART_SIBL
(3,9),(3,18),0.0110043 # DEPENDENCYPART_SIBL
(3,10),(3,11),-0.00310431 # DEPENDENCYPART_SIBL
(3,10),(3,13),-0.0121547 # DEPENDENCYPART_SIBL
(3,10),(3,14),0.0172426 # DEPENDENCYPART_SIBL
(3,10),(3,15),-0.00323262 # DEPENDENCYPART_SIBL
(3,10),(3,18),0.0102611 # DEPENDENCYPART_SIBL
(3,11),(3,13),-0.047577 # DEPENDENCYPART_SIBL
(3,11),(3,14),-0.0267225 # DEPENDENCYPART_SIBL
(3,11),(3,15),-0.0157302 # DEPENDENCYPART_SIBL
(3,11),(3,18),-0.0570994 # DEPENDENCYPART_SIBL
(3,13),(3,14),-0.00249551 # DEPENDENCYPART_SIBL
(3,13),(3,15),0.00969118 # DEPENDENCYPART_SIBL
(3,13),(3,18),0.00211969 # DEPENDENCYPART_SIBL
(3,14),(3,15),-0.00323262 # DEPENDENCYPART_SIBL
(3,14),(3,18),0.0102611 # DEPENDENCYPART_SIBL
(3,15),(3,18),0.0204311 # DEPENDENCYPART_SIBL
(4,1),(4,5),-0.0686149 # DEPENDENCYPART_SIBL
(4,1),(4,6),-0.0248652 # DEPENDENCYPART_SIBL
(4,1),(4,7),-0.0500607 # DEPENDENCYPART_SIBL
(4,1),(4,8),-0.013392 # DEPENDENCYPART_SIBL
(4,1),(4,9),-0.0240026 # DEPENDENCYPART_SIBL
