# _root_ _ DYP_Genel_Başkanlığı için Türkiye turuna _ çıkan Elazığ_Milletvekili_Mehmet Ağar , hakkında _ _ _ çıkarılan şaibe söylentilerinin arkasında başka hesaplar _ olduğunu _ savunarak , " _ Benim için şu anda hukuki problem _ yok .
#goldHeads=2,3,7,5,7,7,8,9,24,0,15,13,14,15,17,17,18,22,20,22,22,24,24,35,0,0,28,35,35,31,35,33,35,35,36,0,
#predictedHeads=2,3,6,5,6,7,8,9,11,0,14,13,14,15,16,17,18,21,20,21,22,23,24,27,0,0,28,29,31,31,35,33,35,35,36,0,
(0,10),1.64004 # DEPENDENCYPART_ARC
(0,25),2.47622 # DEPENDENCYPART_ARC
(0,26),3.81112 # DEPENDENCYPART_ARC
(0,36),2.96716 # DEPENDENCYPART_ARC
(2,1),2.5723 # DEPENDENCYPART_ARC
(2,4),-0.954872 # DEPENDENCYPART_ARC
(3,1),0.850582 # DEPENDENCYPART_ARC
(3,2),4.08996 # DEPENDENCYPART_ARC
(3,5),0.0901473 # DEPENDENCYPART_ARC
(4,1),-1.14912 # DEPENDENCYPART_ARC
(4,2),0.0383602 # DEPENDENCYPART_ARC
(4,3),0.0459224 # DEPENDENCYPART_ARC
(5,1),-1.29839 # DEPENDENCYPART_ARC
(5,2),0.0679502 # DEPENDENCYPART_ARC
(5,3),0.0205857 # DEPENDENCYPART_ARC
(5,4),2.38812 # DEPENDENCYPART_ARC
(5,6),-0.566081 # DEPENDENCYPART_ARC
(6,1),-2.18958 # DEPENDENCYPART_ARC
(6,2),0.694187 # DEPENDENCYPART_ARC
(6,3),0.755509 # DEPENDENCYPART_ARC
(6,4),1.11847 # DEPENDENCYPART_ARC
(6,5),2.5213 # DEPENDENCYPART_ARC
(6,8),-0.634305 # DEPENDENCYPART_ARC
(7,1),-0.108528 # DEPENDENCYPART_ARC
(7,2),0.709627 # DEPENDENCYPART_ARC
(7,3),0.706005 # DEPENDENCYPART_ARC
(7,4),1.02452 # DEPENDENCYPART_ARC
(7,5),1.57407 # DEPENDENCYPART_ARC
(7,6),2.20819 # DEPENDENCYPART_ARC
(8,1),-2.75829 # DEPENDENCYPART_ARC
(8,2),-0.146572 # DEPENDENCYPART_ARC
(8,5),-0.199295 # DEPENDENCYPART_ARC
(8,6),-0.280254 # DEPENDENCYPART_ARC
(8,7),1.87851 # DEPENDENCYPART_ARC
(9,2),-0.839019 # DEPENDENCYPART_ARC
(9,5),-1.23845 # DEPENDENCYPART_ARC
(9,6),-1.07138 # DEPENDENCYPART_ARC
(9,7),1.04511 # DEPENDENCYPART_ARC
(9,8),1.43037 # DEPENDENCYPART_ARC
(10,6),-1.74147 # DEPENDENCYPART_ARC
(10,7),-0.515625 # DEPENDENCYPART_ARC
(10,8),-0.199542 # DEPENDENCYPART_ARC
(10,9),0.328039 # DEPENDENCYPART_ARC
(10,21),-1.74377 # DEPENDENCYPART_ARC
(10,23),-1.89781 # DEPENDENCYPART_ARC
(10,35),-1.47794 # DEPENDENCYPART_ARC
(11,7),-0.526335 # DEPENDENCYPART_ARC
(11,9),0.388463 # DEPENDENCYPART_ARC
(11,10),0.475785 # DEPENDENCYPART_ARC
(11,12),-0.153814 # DEPENDENCYPART_ARC
(11,13),-0.509993 # DEPENDENCYPART_ARC
(12,3),-1.12844 # DEPENDENCYPART_ARC
(12,6),-4.2973 # DEPENDENCYPART_ARC
(12,8),-0.674531 # DEPENDENCYPART_ARC
(12,9),-0.364437 # DEPENDENCYPART_ARC
(12,10),-0.604778 # DEPENDENCYPART_ARC
(12,11),0.765587 # DEPENDENCYPART_ARC
(12,21),-1.15888 # DEPENDENCYPART_ARC
(13,3),-0.721936 # DEPENDENCYPART_ARC
(13,4),-0.488788 # DEPENDENCYPART_ARC
(13,6),-4.77573 # DEPENDENCYPART_ARC
(13,7),-0.972908 # DEPENDENCYPART_ARC
(13,8),-0.256569 # DEPENDENCYPART_ARC
(13,9),-0.156037 # DEPENDENCYPART_ARC
(13,10),-0.0576604 # DEPENDENCYPART_ARC
(13,11),0.601943 # DEPENDENCYPART_ARC
(13,12),2.46192 # DEPENDENCYPART_ARC
(14,1),-9.87917 # DEPENDENCYPART_ARC
(14,2),0.116946 # DEPENDENCYPART_ARC
(14,3),-0.248315 # DEPENDENCYPART_ARC
(14,4),0.00772303 # DEPENDENCYPART_ARC
(14,5),0.235224 # DEPENDENCYPART_ARC
(14,6),-5.79489 # DEPENDENCYPART_ARC
(14,7),-0.512708 # DEPENDENCYPART_ARC
(14,8),0.122019 # DEPENDENCYPART_ARC
(14,9),-0.0247073 # DEPENDENCYPART_ARC
(14,10),-0.190546 # DEPENDENCYPART_ARC
(14,11),1.31099 # DEPENDENCYPART_ARC
