# _root_ Fabrikayı yapacak _ olan , ekonomik faaliyetleri _ _ gerçekleştirecek _ olan , üretim _ yapacak _ olan _ firmalardır .
#goldHeads=2,3,4,5,12,7,9,9,10,11,12,13,18,15,16,17,18,19,20,21,0,
#predictedHeads=2,3,4,19,12,7,9,9,10,11,12,13,0,15,16,19,18,19,20,21,0,
(0,2),-1.52846 # DEPENDENCYPART_ARC
(0,5),0.384008 # DEPENDENCYPART_ARC
(0,13),0.833501 # DEPENDENCYPART_ARC
(0,21),2.49247 # DEPENDENCYPART_ARC
(1,2),0.0735326 # DEPENDENCYPART_ARC
(1,3),-0.722808 # DEPENDENCYPART_ARC
(2,1),2.12774 # DEPENDENCYPART_ARC
(2,3),-0.620122 # DEPENDENCYPART_ARC
(2,7),-0.217184 # DEPENDENCYPART_ARC
(2,8),-1.06968 # DEPENDENCYPART_ARC
(2,9),-1.57749 # DEPENDENCYPART_ARC
(2,11),-1.20917 # DEPENDENCYPART_ARC
(2,14),-1.83309 # DEPENDENCYPART_ARC
(2,15),-1.60847 # DEPENDENCYPART_ARC
(3,1),1.29238 # DEPENDENCYPART_ARC
(3,2),1.61328 # DEPENDENCYPART_ARC
(3,6),-0.942033 # DEPENDENCYPART_ARC
(3,8),-1.52849 # DEPENDENCYPART_ARC
(3,9),-1.76064 # DEPENDENCYPART_ARC
(4,1),1.30474 # DEPENDENCYPART_ARC
(4,2),0.359685 # DEPENDENCYPART_ARC
(4,3),2.04389 # DEPENDENCYPART_ARC
(5,1),-0.00189574 # DEPENDENCYPART_ARC
(5,2),0.401331 # DEPENDENCYPART_ARC
(5,3),-0.456901 # DEPENDENCYPART_ARC
(5,4),0.411226 # DEPENDENCYPART_ARC
(5,9),-1.00296 # DEPENDENCYPART_ARC
(5,17),-1.68766 # DEPENDENCYPART_ARC
(5,20),-1.42833 # DEPENDENCYPART_ARC
(6,3),-0.568442 # DEPENDENCYPART_ARC
(6,4),-0.759901 # DEPENDENCYPART_ARC
(6,5),0.663505 # DEPENDENCYPART_ARC
(6,19),-1.26038 # DEPENDENCYPART_ARC
(7,3),-1.84491 # DEPENDENCYPART_ARC
(7,4),0.186544 # DEPENDENCYPART_ARC
(7,5),-0.0683844 # DEPENDENCYPART_ARC
(7,6),1.98332 # DEPENDENCYPART_ARC
(7,8),0.111353 # DEPENDENCYPART_ARC
(7,9),-0.598862 # DEPENDENCYPART_ARC
(7,10),-0.0243739 # DEPENDENCYPART_ARC
(8,2),-0.984335 # DEPENDENCYPART_ARC
(8,3),-2.81346 # DEPENDENCYPART_ARC
(8,4),-1.12478 # DEPENDENCYPART_ARC
(8,5),-0.163022 # DEPENDENCYPART_ARC
(8,6),-0.404538 # DEPENDENCYPART_ARC
(8,7),0.979994 # DEPENDENCYPART_ARC
(8,11),-0.590858 # DEPENDENCYPART_ARC
(8,15),-1.21417 # DEPENDENCYPART_ARC
(8,17),-1.07821 # DEPENDENCYPART_ARC
(9,1),0.532877 # DEPENDENCYPART_ARC
(9,2),0.0978109 # DEPENDENCYPART_ARC
(9,3),-3.36293 # DEPENDENCYPART_ARC
(9,4),-0.384162 # DEPENDENCYPART_ARC
(9,5),0.356169 # DEPENDENCYPART_ARC
(9,6),0.298587 # DEPENDENCYPART_ARC
(9,7),2.65821 # DEPENDENCYPART_ARC
(9,8),2.86395 # DEPENDENCYPART_ARC
(9,11),-0.942275 # DEPENDENCYPART_ARC
(10,1),0.649646 # DEPENDENCYPART_ARC
(10,5),0.761503 # DEPENDENCYPART_ARC
(10,7),1.57891 # DEPENDENCYPART_ARC
(10,8),0.659113 # DEPENDENCYPART_ARC
(10,9),2.141 # DEPENDENCYPART_ARC
(11,1),0.0433391 # DEPENDENCYPART_ARC
(11,4),-0.329974 # DEPENDENCYPART_ARC
(11,5),0.102598 # DEPENDENCYPART_ARC
(11,6),0.121099 # DEPENDENCYPART_ARC
(11,7),1.33392 # DEPENDENCYPART_ARC
(11,8),-1.05282 # DEPENDENCYPART_ARC
(11,9),-0.0424962 # DEPENDENCYPART_ARC
(11,10),0.9379 # DEPENDENCYPART_ARC
(11,13),-0.73551 # DEPENDENCYPART_ARC
(11,14),-1.88303 # DEPENDENCYPART_ARC
(11,15),-1.59792 # DEPENDENCYPART_ARC
(11,17),-1.72084 # DEPENDENCYPART_ARC
(11,21),-1.7064 # DEPENDENCYPART_ARC
(12,1),0.36461 # DEPENDENCYPART_ARC
(12,5),1.11128 # DEPENDENCYPART_ARC
(12,7),0.560239 # DEPENDENCYPART_ARC
(12,10),0.368451 # DEPENDENCYPART_ARC
(12,11),1.88071 # DEPENDENCYPART_ARC
(13,2),-0.573038 # DEPENDENCYPART_ARC
(13,4),-1.93586 # DEPENDENCYPART_ARC
(13,6),-1.43365 # DEPENDENCYPART_ARC
(13,8),-1.78439 # DEPENDENCYPART_ARC
(13,9),-1.23158 # DEPENDENCYPART_ARC
(13,11),-0.552574 # DEPENDENCYPART_ARC
(13,12),0.313777 # DEPENDENCYPART_ARC
(13,14),-0.252009 # DEPENDENCYPART_ARC
(13,15),-1.07659 # DEPENDENCYPART_ARC
(13,17),-0.956226 # DEPENDENCYPART_ARC
(13,20),-0.888523 # DEPENDENCYPART_ARC
(14,4),-0.984095 # DEPENDENCYPART_ARC
(14,6),-1.68586 # DEPENDENCYPART_ARC
(14,10),-0.873079 # DEPENDENCYPART_ARC
(14,11),-1.0394 # DEPENDENCYPART_ARC
(14,12),-0.362835 # DEPENDENCYPART_ARC
(14,13),0.0547273 # DEPENDENCYPART_ARC
(14,15),-0.480845 # DEPENDENCYPART_ARC
(14,16),0.280025 # DEPENDENCYPART_ARC
(14,17),-1.13817 # DEPENDENCYPART_ARC
(14,19),-0.805332 # DEPENDENCYPART_ARC
(15,1),-0.23119 # DEPENDENCYPART_ARC
(15,6),-0.644533 # DEPENDENCYPART_ARC
(15,7),0.328318 # DEPENDENCYPART_ARC
(15,8),-4.29773 # DEPENDENCYPART_ARC
(15,9),-3.54273 # DEPENDENCYPART_ARC
(15,11),-1.7788 # DEPENDENCYPART_ARC
(15,12),-0.427843 # DEPENDENCYPART_ARC
(15,13),0.466297 # DEPENDENCYPART_ARC
(15,14),2.34391 # DEPENDENCYPART_ARC
(15,17),-0.923883 # DEPENDENCYPART_ARC
(15,19),-1.09594 # DEPENDENCYPART_ARC
(15,20),-1.24943 # DEPENDENCYPART_ARC
(16,5),0.463884 # DEPENDENCYPART_ARC
(16,7),0.49307 # DEPENDENCYPART_ARC
(16,13),0.641562 # DEPENDENCYPART_ARC
(16,14),1.43342 # DEPENDENCYPART_ARC
(16,15),2.31816 # DEPENDENCYPART_ARC
(17,7),0.258502 # DEPENDENCYPART_ARC
(17,11),-4.04695 # DEPENDENCYPART_ARC
(17,12),-0.424547 # DEPENDENCYPART_ARC
(17,13),0.124412 # DEPENDENCYPART_ARC
(17,14),0.894436 # DEPENDENCYPART_ARC
(17,15),-0.358096 # DEPENDENCYPART_ARC
(17,16),0.732888 # DEPENDENCYPART_ARC
(17,19),-1.00201 # DEPENDENCYPART_ARC
(17,20),-1.28226 # DEPENDENCYPART_ARC
(18,13),0.433396 # DEPENDENCYPART_ARC
(18,14),0.698178 # DEPENDENCYPART_ARC
(18,16),0.644962 # DEPENDENCYPART_ARC
(18,17),1.70469 # DEPENDENCYPART_ARC
(19,4),0.594844 # DEPENDENCYPART_ARC
(19,6),-0.560011 # DEPENDENCYPART_ARC
(19,10),-0.0699979 # DEPENDENCYPART_ARC
(19,12),-0.318503 # DEPENDENCYPART_ARC
(19,13),-0.0723263 # DEPENDENCYPART_ARC
(19,14),0.66653 # DEPENDENCYPART_ARC
(19,15),-1.96588 # DEPENDENCYPART_ARC
(19,16),0.827001 # DEPENDENCYPART_ARC
(19,17),0.166405 # DEPENDENCYPART_ARC
(19,18),1.55901 # DEPENDENCYPART_ARC
(20,1),-0.270836 # DEPENDENCYPART_ARC
(20,2),-0.710278 # DEPENDENCYPART_ARC
(20,3),-9.61049 # DEPENDENCYPART_ARC
(20,4),-0.0450745 # DEPENDENCYPART_ARC
(20,5),-0.737233 # DEPENDENCYPART_ARC
(20,7),-0.173007 # DEPENDENCYPART_ARC
(20,8),-6.76443 # DEPENDENCYPART_ARC
(20,9),-6.38485 # DEPENDENCYPART_ARC
(20,11),-4.98524 # DEPENDENCYPART_ARC
(20,12),0.0304273 # DEPENDENCYPART_ARC
(20,13),0.317003 # DEPENDENCYPART_ARC
(20,14),0.633257 # DEPENDENCYPART_ARC
(20,15),-2.2853 # DEPENDENCYPART_ARC
(20,17),-0.73149 # DEPENDENCYPART_ARC
(20,18),0.928902 # DEPENDENCYPART_ARC
(20,19),2.75974 # DEPENDENCYPART_ARC
(21,2),-1.1301 # DEPENDENCYPART_ARC
(21,3),-5.33763 # DEPENDENCYPART_ARC
(21,6),-1.43655 # DEPENDENCYPART_ARC
(21,8),-4.12688 # DEPENDENCYPART_ARC
(21,9),-3.70755 # DEPENDENCYPART_ARC
(21,11),-3.30756 # DEPENDENCYPART_ARC
(21,12),-1.14745 # DEPENDENCYPART_ARC
(21,13),-0.258727 # DEPENDENCYPART_ARC
(21,14),0.0429703 # DEPENDENCYPART_ARC
(21,15),-2.31581 # DEPENDENCYPART_ARC
(21,17),-1.31815 # DEPENDENCYPART_ARC
(21,18),-0.0265824 # DEPENDENCYPART_ARC
(21,19),-0.819662 # DEPENDENCYPART_ARC
(21,20),1.47803 # DEPENDENCYPART_ARC
