# _root_ Ana'nın _ orada_olmadığını _ söyledikten sonra ben , buna ne inanırmış , ne de inanmazmış gibi bir tavır takındım .
#goldHeads=2,3,4,5,6,19,15,0,15,11,18,0,15,13,16,18,18,19,20,0,
#predictedHeads=3,3,4,5,6,11,11,0,11,11,12,19,15,13,16,18,18,19,20,0,
(0,1),-0.690442 # DEPENDENCYPART_ARC
(0,8),1.38965 # DEPENDENCYPART_ARC
(0,11),-1.62304 # DEPENDENCYPART_ARC
(0,12),0.457812 # DEPENDENCYPART_ARC
(0,14),-0.847107 # DEPENDENCYPART_ARC
(0,15),-1.50774 # DEPENDENCYPART_ARC
(0,19),-1.39665 # DEPENDENCYPART_ARC
(0,20),2.05408 # DEPENDENCYPART_ARC
(1,2),0.229188 # DEPENDENCYPART_ARC
(2,1),2.37305 # DEPENDENCYPART_ARC
(2,3),0.172158 # DEPENDENCYPART_ARC
(2,4),-0.91946 # DEPENDENCYPART_ARC
(2,5),-0.531253 # DEPENDENCYPART_ARC
(2,6),-0.133569 # DEPENDENCYPART_ARC
(2,10),-0.915313 # DEPENDENCYPART_ARC
(2,11),-1.10088 # DEPENDENCYPART_ARC
(2,13),-1.06237 # DEPENDENCYPART_ARC
(2,15),-1.49685 # DEPENDENCYPART_ARC
(3,1),2.54641 # DEPENDENCYPART_ARC
(3,2),2.56261 # DEPENDENCYPART_ARC
(3,4),-0.663341 # DEPENDENCYPART_ARC
(4,1),1.27997 # DEPENDENCYPART_ARC
(4,2),0.0446991 # DEPENDENCYPART_ARC
(4,3),2.40158 # DEPENDENCYPART_ARC
(4,5),-0.198422 # DEPENDENCYPART_ARC
(4,6),-0.0408834 # DEPENDENCYPART_ARC
(4,7),-0.103632 # DEPENDENCYPART_ARC
(4,8),-0.766031 # DEPENDENCYPART_ARC
(4,10),-1.07597 # DEPENDENCYPART_ARC
(4,11),-1.52739 # DEPENDENCYPART_ARC
(4,12),-1.2175 # DEPENDENCYPART_ARC
(4,13),-1.22046 # DEPENDENCYPART_ARC
(4,15),-1.94908 # DEPENDENCYPART_ARC
(4,16),-0.741899 # DEPENDENCYPART_ARC
(5,1),-0.0742639 # DEPENDENCYPART_ARC
(5,3),-0.404446 # DEPENDENCYPART_ARC
(5,4),2.35627 # DEPENDENCYPART_ARC
(6,2),-0.660574 # DEPENDENCYPART_ARC
(6,4),0.0715145 # DEPENDENCYPART_ARC
(6,5),3.07564 # DEPENDENCYPART_ARC
(7,14),0.517147 # DEPENDENCYPART_ARC
