# _root_ Birkaç tane rapor ve kamuoyunda da bu olayın kaza _ olmadığı , suikast _ olduğu gibi yaygın bir kanaat _ vardı , o kadar .
#goldHeads=2,3,4,5,20,5,8,10,10,11,12,14,14,15,16,19,19,19,20,21,22,24,24,25,0,
#predictedHeads=2,3,4,5,10,5,8,11,10,11,21,0,15,15,16,21,19,19,21,21,25,0,24,21,0,
(0,12),1.08211 # DEPENDENCYPART_ARC
(0,22),0.997526 # DEPENDENCYPART_ARC
(0,25),3.16791 # DEPENDENCYPART_ARC
(1,24),-1.54462 # DEPENDENCYPART_ARC
(2,1),1.0415 # DEPENDENCYPART_ARC
(2,7),-1.29896 # DEPENDENCYPART_ARC
(3,1),-0.109532 # DEPENDENCYPART_ARC
(3,2),0.964431 # DEPENDENCYPART_ARC
(3,4),-0.470312 # DEPENDENCYPART_ARC
(3,6),-1.08451 # DEPENDENCYPART_ARC
(3,7),-1.50908 # DEPENDENCYPART_ARC
(3,18),-1.47406 # DEPENDENCYPART_ARC
(4,2),-0.146857 # DEPENDENCYPART_ARC
(4,3),1.68464 # DEPENDENCYPART_ARC
(5,1),-0.729755 # DEPENDENCYPART_ARC
(5,2),0.144362 # DEPENDENCYPART_ARC
(5,3),0.708921 # DEPENDENCYPART_ARC
(5,4),0.654459 # DEPENDENCYPART_ARC
(5,6),0.74429 # DEPENDENCYPART_ARC
(5,7),-0.53172 # DEPENDENCYPART_ARC
(5,8),0.0496976 # DEPENDENCYPART_ARC
(5,9),-0.588317 # DEPENDENCYPART_ARC
(5,10),-1.04531 # DEPENDENCYPART_ARC
(5,18),-0.632563 # DEPENDENCYPART_ARC
(6,3),-1.57323 # DEPENDENCYPART_ARC
(6,4),-1.49287 # DEPENDENCYPART_ARC
(6,5),-0.28428 # DEPENDENCYPART_ARC
(6,8),-1.00565 # DEPENDENCYPART_ARC
(7,5),-1.19077 # DEPENDENCYPART_ARC
(7,6),-0.283104 # DEPENDENCYPART_ARC
(8,1),-1.37094 # DEPENDENCYPART_ARC
(8,2),-1.09006 # DEPENDENCYPART_ARC
(8,3),-1.01726 # DEPENDENCYPART_ARC
(8,4),-0.772804 # DEPENDENCYPART_ARC
(8,5),-1.76289 # DEPENDENCYPART_ARC
(8,6),-0.875546 # DEPENDENCYPART_ARC
(8,7),1.07532 # DEPENDENCYPART_ARC
(8,9),-1.28566 # DEPENDENCYPART_ARC
(8,11),-1.4317 # DEPENDENCYPART_ARC
(8,23),-1.09051 # DEPENDENCYPART_ARC
(9,1),-1.68365 # DEPENDENCYPART_ARC
(9,2),-1.34276 # DEPENDENCYPART_ARC
(9,3),-1.33148 # DEPENDENCYPART_ARC
(9,4),-0.842016 # DEPENDENCYPART_ARC
(9,5),-2.11037 # DEPENDENCYPART_ARC
(9,6),-1.0195 # DEPENDENCYPART_ARC
(9,7),-0.496726 # DEPENDENCYPART_ARC
(9,8),0.325267 # DEPENDENCYPART_ARC
(9,10),-1.00029 # DEPENDENCYPART_ARC
(9,11),-0.828864 # DEPENDENCYPART_ARC
(9,18),-1.02151 # DEPENDENCYPART_ARC
(9,23),-0.851487 # DEPENDENCYPART_ARC
(10,1),-1.03582 # DEPENDENCYPART_ARC
(10,2),-0.190953 # DEPENDENCYPART_ARC
(10,3),-0.315877 # DEPENDENCYPART_ARC
