# _root_ Dışişleri_Bakanlığı , Türkiye'nin devlet _ olarak dava sürecine müdahil _ olmama kararını , Yunan mevzuatına _ dayanarak aldı .
#goldHeads=18,0,12,5,6,11,8,11,11,11,12,18,0,15,17,17,18,19,0,
#predictedHeads=18,0,5,5,6,10,8,10,10,11,12,18,0,15,16,17,18,19,0,
(0,2),1.36862 # DEPENDENCYPART_ARC
(0,13),0.931467 # DEPENDENCYPART_ARC
(0,19),2.8998 # DEPENDENCYPART_ARC
(1,2),-0.668275 # DEPENDENCYPART_ARC
(1,18),-2.02784 # DEPENDENCYPART_ARC
(2,1),0.016672 # DEPENDENCYPART_ARC
(2,16),-1.75845 # DEPENDENCYPART_ARC
(2,18),-1.46962 # DEPENDENCYPART_ARC
(3,1),-1.54577 # DEPENDENCYPART_ARC
(3,2),-0.717814 # DEPENDENCYPART_ARC
(4,1),-2.00053 # DEPENDENCYPART_ARC
(4,2),-1.1057 # DEPENDENCYPART_ARC
(4,3),0.127496 # DEPENDENCYPART_ARC
(4,5),-1.25796 # DEPENDENCYPART_ARC
(5,1),-0.944819 # DEPENDENCYPART_ARC
(5,2),-0.836018 # DEPENDENCYPART_ARC
(5,3),0.413726 # DEPENDENCYPART_ARC
(5,4),0.899449 # DEPENDENCYPART_ARC
(5,7),-1.04378 # DEPENDENCYPART_ARC
(5,8),-1.2485 # DEPENDENCYPART_ARC
(5,10),-1.85001 # DEPENDENCYPART_ARC
(5,11),-1.53013 # DEPENDENCYPART_ARC
(5,12),-1.19379 # DEPENDENCYPART_ARC
(5,13),-1.43804 # DEPENDENCYPART_ARC
(5,15),-2.0061 # DEPENDENCYPART_ARC
(5,16),-1.98295 # DEPENDENCYPART_ARC
(5,17),-1.23611 # DEPENDENCYPART_ARC
(5,18),-1.68372 # DEPENDENCYPART_ARC
(6,1),-0.885086 # DEPENDENCYPART_ARC
(6,2),-0.583855 # DEPENDENCYPART_ARC
(6,3),-0.125979 # DEPENDENCYPART_ARC
(6,4),0.595612 # DEPENDENCYPART_ARC
(6,5),1.68514 # DEPENDENCYPART_ARC
(7,3),-1.41832 # DEPENDENCYPART_ARC
(7,4),-0.631546 # DEPENDENCYPART_ARC
(7,5),-0.342027 # DEPENDENCYPART_ARC
(7,6),-0.324333 # DEPENDENCYPART_ARC
(7,8),-1.2037 # DEPENDENCYPART_ARC
(7,9),-1.21534 # DEPENDENCYPART_ARC
(7,18),-2.0534 # DEPENDENCYPART_ARC
(8,2),-0.96581 # DEPENDENCYPART_ARC
(8,3),0.25346 # DEPENDENCYPART_ARC
(8,4),-0.275751 # DEPENDENCYPART_ARC
(8,5),-1.02763 # DEPENDENCYPART_ARC
