# _root_ ATO Başkanı Sinan_Aygün , Maliye Bakanı Kemal_Yazıcıoğlu ziyaretinden sonra da Bakan'ın " Vergi_Barışı_Projesi " konusunda , ocak ayının ilk haftasında _ mükelleflere müjde _ _ verebileceklerini _ söylediğini _ bildirdi .
#goldHeads=2,3,30,0,6,7,8,9,27,9,13,0,15,0,24,0,18,20,20,24,22,24,24,25,26,27,28,30,30,31,0,
#predictedHeads=2,3,30,0,6,7,8,9,25,9,13,0,15,0,25,0,18,20,20,25,22,24,25,25,26,27,28,30,30,31,0,
(0,4),1.15281 # DEPENDENCYPART_ARC
(0,12),1.69704 # DEPENDENCYPART_ARC
(0,14),1.79857 # DEPENDENCYPART_ARC
(0,16),0.705923 # DEPENDENCYPART_ARC
(0,31),4.3263 # DEPENDENCYPART_ARC
(2,1),1.70868 # DEPENDENCYPART_ARC
(2,3),-0.769131 # DEPENDENCYPART_ARC
(2,4),-0.901475 # DEPENDENCYPART_ARC
(3,1),-0.560581 # DEPENDENCYPART_ARC
(3,2),0.726018 # DEPENDENCYPART_ARC
(3,5),-0.935616 # DEPENDENCYPART_ARC
(4,1),-1.3881 # DEPENDENCYPART_ARC
(4,2),-1.15523 # DEPENDENCYPART_ARC
(4,3),0.050057 # DEPENDENCYPART_ARC
(5,2),-1.7498 # DEPENDENCYPART_ARC
(5,3),-1.15993 # DEPENDENCYPART_ARC
(5,4),-0.701718 # DEPENDENCYPART_ARC
(5,7),-1.15726 # DEPENDENCYPART_ARC
(6,1),-1.05784 # DEPENDENCYPART_ARC
(6,2),-1.00603 # DEPENDENCYPART_ARC
(6,3),-0.712246 # DEPENDENCYPART_ARC
(6,4),-0.768289 # DEPENDENCYPART_ARC
(6,5),1.65315 # DEPENDENCYPART_ARC
(6,7),-0.647831 # DEPENDENCYPART_ARC
(6,10),-0.819143 # DEPENDENCYPART_ARC
(7,4),-1.23987 # DEPENDENCYPART_ARC
(7,5),-0.59827 # DEPENDENCYPART_ARC
(7,6),0.584262 # DEPENDENCYPART_ARC
(7,10),-0.793231 # DEPENDENCYPART_ARC
(8,4),-1.06878 # DEPENDENCYPART_ARC
(8,5),-0.240156 # DEPENDENCYPART_ARC
(8,6),0.224454 # DEPENDENCYPART_ARC
(8,7),1.62428 # DEPENDENCYPART_ARC
(8,10),-0.663203 # DEPENDENCYPART_ARC
(9,1),-1.87861 # DEPENDENCYPART_ARC
(9,2),-1.56032 # DEPENDENCYPART_ARC
(9,4),-0.819299 # DEPENDENCYPART_ARC
(9,5),-1.01194 # DEPENDENCYPART_ARC
(9,6),-0.61963 # DEPENDENCYPART_ARC
(9,7),-0.0311476 # DEPENDENCYPART_ARC
(9,8),1.98774 # DEPENDENCYPART_ARC
(9,10),0.912727 # DEPENDENCYPART_ARC
(9,13),-0.400078 # DEPENDENCYPART_ARC
(10,6),-2.38448 # DEPENDENCYPART_ARC
(10,7),-2.14072 # DEPENDENCYPART_ARC
(10,8),-1.52742 # DEPENDENCYPART_ARC
(10,9),-0.689216 # DEPENDENCYPART_ARC
(10,11),-0.771206 # DEPENDENCYPART_ARC
(11,5),-1.19435 # DEPENDENCYPART_ARC
(11,6),-1.20582 # DEPENDENCYPART_ARC
(11,8),-1.38721 # DEPENDENCYPART_ARC
(11,10),-0.254789 # DEPENDENCYPART_ARC
(11,13),-0.816416 # DEPENDENCYPART_ARC
(12,10),-1.32675 # DEPENDENCYPART_ARC
(12,11),-0.134154 # DEPENDENCYPART_ARC
(12,14),-1.08497 # DEPENDENCYPART_ARC
(12,25),-1.81678 # DEPENDENCYPART_ARC
(12,29),-1.7896 # DEPENDENCYPART_ARC
(12,30),-1.59672 # DEPENDENCYPART_ARC
(13,1),-0.614443 # DEPENDENCYPART_ARC
(13,2),-0.802682 # DEPENDENCYPART_ARC
(13,3),-0.670344 # DEPENDENCYPART_ARC
(13,4),-0.637176 # DEPENDENCYPART_ARC
(13,7),-0.384959 # DEPENDENCYPART_ARC
(13,8),-1.34855 # DEPENDENCYPART_ARC
(13,9),-0.69999 # DEPENDENCYPART_ARC
(13,10),-0.834768 # DEPENDENCYPART_ARC
(13,11),0.694807 # DEPENDENCYPART_ARC
(13,12),0.69206 # DEPENDENCYPART_ARC
(13,14),-0.567573 # DEPENDENCYPART_ARC
(13,15),-1.08312 # DEPENDENCYPART_ARC
(13,30),-2.07756 # DEPENDENCYPART_ARC
(14,12),-1.2579 # DEPENDENCYPART_ARC
(14,13),0.31487 # DEPENDENCYPART_ARC
(14,25),-1.83774 # DEPENDENCYPART_ARC
(14,30),-1.63813 # DEPENDENCYPART_ARC
(15,4),-0.584835 # DEPENDENCYPART_ARC
(15,6),-0.625062 # DEPENDENCYPART_ARC
(15,7),-0.355716 # DEPENDENCYPART_ARC
(15,8),-1.4508 # DEPENDENCYPART_ARC
(15,9),-0.733268 # DEPENDENCYPART_ARC
(15,10),-0.986719 # DEPENDENCYPART_ARC
(15,11),0.223407 # DEPENDENCYPART_ARC
(15,12),-0.543155 # DEPENDENCYPART_ARC
(15,13),0.115122 # DEPENDENCYPART_ARC
(15,14),0.687867 # DEPENDENCYPART_ARC
(15,19),-1.48288 # DEPENDENCYPART_ARC
(15,30),-2.09409 # DEPENDENCYPART_ARC
(16,14),-1.19068 # DEPENDENCYPART_ARC
(16,15),0.628563 # DEPENDENCYPART_ARC
(16,25),-1.83074 # DEPENDENCYPART_ARC
(16,29),-1.93173 # DEPENDENCYPART_ARC
(16,30),-1.59626 # DEPENDENCYPART_ARC
(17,15),-1.9695 # DEPENDENCYPART_ARC
(17,16),-0.698738 # DEPENDENCYPART_ARC
(17,19),-1.1195 # DEPENDENCYPART_ARC
(17,21),-1.40876 # DEPENDENCYPART_ARC
(18,12),-0.977696 # DEPENDENCYPART_ARC
(18,14),-1.00756 # DEPENDENCYPART_ARC
(18,15),-1.83773 # DEPENDENCYPART_ARC
(18,16),-0.558469 # DEPENDENCYPART_ARC
(18,17),1.71241 # DEPENDENCYPART_ARC
(18,19),-0.906226 # DEPENDENCYPART_ARC
(18,21),-1.44893 # DEPENDENCYPART_ARC
(19,16),-1.11331 # DEPENDENCYPART_ARC
(19,17),-0.889823 # DEPENDENCYPART_ARC
(19,18),0.0677896 # DEPENDENCYPART_ARC
(19,23),-1.13621 # DEPENDENCYPART_ARC
(20,11),-0.331336 # DEPENDENCYPART_ARC
(20,12),-1.01645 # DEPENDENCYPART_ARC
(20,14),-1.04261 # DEPENDENCYPART_ARC
(20,16),-0.821381 # DEPENDENCYPART_ARC
(20,17),0.398972 # DEPENDENCYPART_ARC
(20,18),1.283 # DEPENDENCYPART_ARC
(20,19),1.36894 # DEPENDENCYPART_ARC
(20,21),-0.984737 # DEPENDENCYPART_ARC
(20,22),-0.985628 # DEPENDENCYPART_ARC
(20,24),-1.67076 # DEPENDENCYPART_ARC
(21,19),-0.595159 # DEPENDENCYPART_ARC
(21,20),0.411974 # DEPENDENCYPART_ARC
(21,23),-0.829121 # DEPENDENCYPART_ARC
(22,9),-1.05998 # DEPENDENCYPART_ARC
(22,11),-1.69511 # DEPENDENCYPART_ARC
(22,12),-0.991609 # DEPENDENCYPART_ARC
(22,13),-1.76581 # DEPENDENCYPART_ARC
(22,14),-1.00233 # DEPENDENCYPART_ARC
(22,15),-2.61628 # DEPENDENCYPART_ARC
(22,16),-0.800808 # DEPENDENCYPART_ARC
(22,17),-0.642463 # DEPENDENCYPART_ARC
(22,18),-0.941847 # DEPENDENCYPART_ARC
(22,19),0.0636937 # DEPENDENCYPART_ARC
(22,20),-0.972073 # DEPENDENCYPART_ARC
(22,21),1.56295 # DEPENDENCYPART_ARC
(22,23),-1.08172 # DEPENDENCYPART_ARC
(22,24),-1.84912 # DEPENDENCYPART_ARC
(23,12),-1.12629 # DEPENDENCYPART_ARC
(23,16),-1.03818 # DEPENDENCYPART_ARC
(23,17),-1.0346 # DEPENDENCYPART_ARC
(23,18),-1.34832 # DEPENDENCYPART_ARC
(23,19),-0.749911 # DEPENDENCYPART_ARC
(23,20),-1.44592 # DEPENDENCYPART_ARC
(23,21),-0.33718 # DEPENDENCYPART_ARC
(23,22),0.203995 # DEPENDENCYPART_ARC
(23,24),-1.35578 # DEPENDENCYPART_ARC
(23,25),-1.4655 # DEPENDENCYPART_ARC
(24,3),-0.346006 # DEPENDENCYPART_ARC
(24,9),-0.568767 # DEPENDENCYPART_ARC
(24,11),-0.347424 # DEPENDENCYPART_ARC
(24,18),0.0662647 # DEPENDENCYPART_ARC
(24,20),0.0188242 # DEPENDENCYPART_ARC
(24,21),-1.86796 # DEPENDENCYPART_ARC
(24,22),0.621013 # DEPENDENCYPART_ARC
(24,23),0.638867 # DEPENDENCYPART_ARC
