# _root_ Uykusunu bir _ türlü _ _ alamayan eşeğin gönlünü _ almak için _ çeşitli _ komiklikler yapar , ona şeker verir , sağrısını sıvazlarmış .
#goldHeads=6,4,4,6,6,7,8,9,10,11,12,17,14,16,16,17,18,21,21,21,22,24,24,25,0,
#predictedHeads=17,4,4,6,6,7,8,9,10,11,12,17,14,15,16,17,18,21,21,21,22,24,24,25,0,
(0,18),1.02533 # DEPENDENCYPART_ARC
(0,22),0.465988 # DEPENDENCYPART_ARC
(0,25),3.17156 # DEPENDENCYPART_ARC
(1,2),-0.75006 # DEPENDENCYPART_ARC
(1,4),-1.61345 # DEPENDENCYPART_ARC
(2,1),-0.611799 # DEPENDENCYPART_ARC
(3,1),-0.72985 # DEPENDENCYPART_ARC
(3,2),-0.221292 # DEPENDENCYPART_ARC
(4,1),-0.300975 # DEPENDENCYPART_ARC
(4,2),0.298568 # DEPENDENCYPART_ARC
(4,3),1.98337 # DEPENDENCYPART_ARC
(4,23),-1.84254 # DEPENDENCYPART_ARC
(5,1),-0.439276 # DEPENDENCYPART_ARC
(5,2),-0.889544 # DEPENDENCYPART_ARC
(5,3),-0.247612 # DEPENDENCYPART_ARC
(5,4),0.238291 # DEPENDENCYPART_ARC
(5,17),-0.956342 # DEPENDENCYPART_ARC
(6,1),0.202483 # DEPENDENCYPART_ARC
(6,2),-0.33265 # DEPENDENCYPART_ARC
(6,3),-0.3195 # DEPENDENCYPART_ARC
(6,4),0.106157 # DEPENDENCYPART_ARC
(6,5),1.87764 # DEPENDENCYPART_ARC
(6,17),-1.84511 # DEPENDENCYPART_ARC
(7,1),-0.124851 # DEPENDENCYPART_ARC
(7,2),-0.114826 # DEPENDENCYPART_ARC
(7,3),-0.14666 # DEPENDENCYPART_ARC
(7,4),-0.265413 # DEPENDENCYPART_ARC
(7,5),-0.00131779 # DEPENDENCYPART_ARC
(7,6),1.62361 # DEPENDENCYPART_ARC
(8,3),-1.445 # DEPENDENCYPART_ARC
(8,4),0.229422 # DEPENDENCYPART_ARC
(8,5),-1.22631 # DEPENDENCYPART_ARC
(8,6),-0.641336 # DEPENDENCYPART_ARC
(8,7),1.39258 # DEPENDENCYPART_ARC
(9,4),-0.425885 # DEPENDENCYPART_ARC
(9,5),-1.93705 # DEPENDENCYPART_ARC
(9,6),-1.22571 # DEPENDENCYPART_ARC
(9,7),-0.0505446 # DEPENDENCYPART_ARC
(9,8),2.55566 # DEPENDENCYPART_ARC
(9,24),-2.31188 # DEPENDENCYPART_ARC
(10,1),-0.136205 # DEPENDENCYPART_ARC
(10,2),-0.649368 # DEPENDENCYPART_ARC
(10,3),-2.66313 # DEPENDENCYPART_ARC
(10,4),-1.26517 # DEPENDENCYPART_ARC
(10,5),-2.10903 # DEPENDENCYPART_ARC
(10,6),-1.72511 # DEPENDENCYPART_ARC
(10,7),-0.990794 # DEPENDENCYPART_ARC
(10,8),0.51681 # DEPENDENCYPART_ARC
(10,9),1.2765 # DEPENDENCYPART_ARC
(10,11),-0.690581 # DEPENDENCYPART_ARC
(10,13),-1.4484 # DEPENDENCYPART_ARC
(10,15),-1.63597 # DEPENDENCYPART_ARC
(10,16),-1.51247 # DEPENDENCYPART_ARC
(10,17),-1.67033 # DEPENDENCYPART_ARC
(10,21),-1.66218 # DEPENDENCYPART_ARC
(10,24),-1.35758 # DEPENDENCYPART_ARC
(11,1),-1.62847 # DEPENDENCYPART_ARC
(11,3),-2.47012 # DEPENDENCYPART_ARC
(11,4),-0.947888 # DEPENDENCYPART_ARC
(11,7),-0.445765 # DEPENDENCYPART_ARC
(11,8),-0.785827 # DEPENDENCYPART_ARC
(11,9),-0.0245321 # DEPENDENCYPART_ARC
(11,10),1.91433 # DEPENDENCYPART_ARC
(12,8),-0.992554 # DEPENDENCYPART_ARC
(12,9),-0.30126 # DEPENDENCYPART_ARC
